date,현대로템주가
2020-03-20,14.30349
2020-03-21,1.66414
2020-03-22,1.2001
2020-03-23,11.81438
2020-03-24,12.29264
2020-03-25,13.22784
2020-03-26,13.56031
2020-03-27,12.30509
2020-03-28,1.20544
2020-03-29,0.78584
2020-03-30,10.74228
2020-03-31,18.41763
2020-04-01,14.14881
2020-04-02,12.09529
2020-04-03,10.92008
2020-04-04,1.14143
2020-04-05,0.81785
2020-04-06,10.97519
2020-04-07,13.14783
2020-04-08,11.14054
2020-04-09,10.56805
2020-04-10,10.62138
2020-04-11,1.13254
2020-04-12,0.7574
2020-04-13,9.65241
2020-04-14,11.73437
2020-04-15,1.52546
2020-04-16,19.30482
2020-04-17,19.31193
2020-04-18,2.00373
2020-04-19,1.9575
2020-04-20,38.49586
2020-04-21,49.83731
2020-04-22,36.12765
2020-04-23,29.66308
2020-04-24,23.52742
2020-04-25,2.77002
2020-04-26,2.13707
2020-04-27,25.72495
2020-04-28,27.44243
2020-04-29,22.13174
2020-04-30,2.40021
2020-05-01,3.01004
2020-05-02,2.32376
2020-05-03,2.37887
2020-05-04,19.88621
2020-05-05,2.34154
2020-05-06,19.54307
2020-05-07,18.10649
2020-05-08,17.39176
2020-05-09,1.95572
2020-05-10,1.6108
2020-05-11,16.5668
2020-05-12,15.34536
2020-05-13,16.37656
2020-05-14,14.65908
2020-05-15,14.37994
2020-05-16,1.34411
2020-05-17,1.02942
2020-05-18,13.3594
2020-05-19,15.07689
2020-05-20,13.87856
2020-05-21,13.2634
2020-05-22,11.265
2020-05-23,0.96008
2020-05-24,0.93163
2020-05-25,11.59747
2020-05-26,14.32482
2020-05-27,13.52831
2020-05-28,12.86514
2020-05-29,11.02497
2020-05-30,1.17521
2020-05-31,0.7894
2020-06-01,12.29442
2020-06-02,12.55222
2020-06-03,13.38963
2020-06-04,12.87936
2020-06-05,12.58067
2020-06-06,1.31745
2020-06-07,0.99031
2020-06-08,12.61623
2020-06-09,13.20117
2020-06-10,15.29913
