date,사출금형
2020-03-20,44.51901
2020-03-21,20.80536
2020-03-22,17.00223
2020-03-23,38.70246
2020-03-24,49.44071
2020-03-25,38.47874
2020-03-26,41.38702
2020-03-27,39.14988
2020-03-28,21.92393
2020-03-29,16.10738
2020-03-30,36.46532
2020-03-31,35.12304
2020-04-01,30.64876
2020-04-02,30.20134
2020-04-03,31.99105
2020-04-04,15.21252
2020-04-05,13.64653
2020-04-06,39.82102
2020-04-07,36.91275
2020-04-08,45.41387
2020-04-09,45.86129
2020-04-10,40.71588
2020-04-11,16.5548
2020-04-12,15.65995
2020-04-13,47.42729
2020-04-14,42.95302
2020-04-15,15.88366
2020-04-16,34.89932
2020-04-17,36.68903
2020-04-18,14.54138
2020-04-19,17.67337
2020-04-20,39.59731
2020-04-21,34.67561
2020-04-22,34.89932
2020-04-23,35.57046
2020-04-24,28.63534
2020-04-25,15.43624
2020-04-26,12.30425
2020-04-27,34.67561
2020-04-28,34.67561
2020-04-29,46.97986
2020-04-30,14.54138
2020-05-01,13.1991
2020-05-02,10.29082
2020-05-03,14.09395
2020-05-04,18.56823
2020-05-05,15.88366
2020-05-06,33.10961
2020-05-07,30.42505
2020-05-08,30.20134
2020-05-09,12.97539
2020-05-10,12.08053
2020-05-11,30.87248
2020-05-12,37.8076
2020-05-13,31.31991
2020-05-14,36.91275
2020-05-15,29.30648
2020-05-16,10.73825
2020-05-17,8.2774
2020-05-18,34.4519
2020-05-19,31.99105
2020-05-20,39.3736
2020-05-21,42.50559
2020-05-22,29.75391
2020-05-23,11.85682
2020-05-24,17.44966
2020-05-25,29.75391
2020-05-26,34.22818
2020-05-27,36.91275
2020-05-28,33.78076
2020-05-29,29.08277
2020-05-30,12.30425
2020-05-31,10.29082
2020-06-01,33.55704
2020-06-02,40.26845
2020-06-03,36.91275
2020-06-04,31.76733
2020-06-05,34.4519
2020-06-06,13.87024
2020-06-07,16.5548
2020-06-08,31.54362
2020-06-09,37.8076
2020-06-10,36.01789
2020-06-11,38.70246
2020-06-12,30.64876
2020-06-13,18.1208
2020-06-14,13.87024
2020-06-15,34.67561
2020-06-16,35.34675
2020-06-17,32.8859
2020-06-18,32.66219
2020-06-19,24.83221
2020-06-20,16.33109
2020-06-21,11.18568
2020-06-22,30.87248
2020-06-23,28.63534
2020-06-24,34.67561
2020-06-25,27.74049
2020-06-26,24.83221
2020-06-27,14.09395
2020-06-28,12.08053
2020-06-29,31.99105
2020-06-30,35.57046
2020-07-01,31.31991
2020-07-02,23.26621
2020-07-03,27.9642
2020-07-04,12.97539
2020-07-05,15.65995
2020-07-06,33.55704
2020-07-07,32.43847
2020-07-08,30.87248
2020-07-09,28.85906
2020-07-10,25.50335
2020-07-11,10.73825
2020-07-12,12.52796
2020-07-13,27.51677
2020-07-14,29.5302
2020-07-15,36.01789
2020-07-16,38.25503
2020-07-17,27.51677
2020-07-18,11.40939
2020-07-19,13.1991
2020-07-20,25.27964
2020-07-21,31.09619
2020-07-22,29.97762
2020-07-23,28.85906
2020-07-24,25.50335
2020-07-25,16.33109
2020-07-26,10.51454
2020-07-27,30.20134
2020-07-28,31.76733
2020-07-29,25.05592
2020-07-30,26.84563
2020-07-31,25.27964
2020-08-01,9.39597
2020-08-02,8.2774
2020-08-03,14.09395
2020-08-04,15.65995
2020-08-05,20.80536
2020-08-06,19.6868
2020-08-07,22.59507
2020-08-08,10.73825
2020-08-09,9.8434
2020-08-10,27.74049
2020-08-11,27.06935
2020-08-12,29.75391
2020-08-13,27.51677
2020-08-14,25.05592
2020-08-15,16.10738
2020-08-16,9.39597
2020-08-17,14.54138
2020-08-18,30.42505
2020-08-19,28.63534
2020-08-20,34.89932
2020-08-21,27.06935
2020-08-22,12.52796
2020-08-23,9.8434
2020-08-24,23.26621
2020-08-25,25.95078
2020-08-26,32.43847
2020-08-27,29.97762
2020-08-28,30.64876
2020-08-29,10.06711
2020-08-30,7.38255
2020-08-31,27.74049
2020-09-01,41.16331
2020-09-02,28.41163
2020-09-03,33.55704
2020-09-04,25.27964
2020-09-05,13.42281
2020-09-06,7.82997
2020-09-07,31.54362
2020-09-08,35.34675
2020-09-09,33.78076
2020-09-10,37.36017
2020-09-11,28.18791
2020-09-12,11.6331
2020-09-13,20.13422
2020-09-14,30.64876
2020-09-15,33.33333
2020-09-16,36.01789
2020-09-17,27.29306
2020-09-18,23.0425
2020-09-19,12.75167
2020-09-20,14.09395
2020-09-21,30.87248
2020-09-22,33.78076
2020-09-23,29.30648
2020-09-24,25.27964
2020-09-25,22.37136
2020-09-26,15.21252
2020-09-27,16.33109
2020-09-28,23.93736
2020-09-29,26.62192
2020-09-30,10.29082
2020-10-01,6.48769
2020-10-02,10.96196
2020-10-03,10.06711
2020-10-04,14.54138
2020-10-05,29.5302
2020-10-06,32.21476
2020-10-07,25.27964
2020-10-08,21.25279
2020-10-09,15.65995
2020-10-10,10.73825
2020-10-11,11.40939
2020-10-12,26.62192
2020-10-13,27.06935
2020-10-14,25.72706
2020-10-15,33.33333
2020-10-16,26.17449
2020-10-17,12.75167
2020-10-18,10.73825
2020-10-19,24.83221
2020-10-20,34.00447
2020-10-21,34.89932
2020-10-22,32.43847
2020-10-23,24.6085
2020-10-24,11.6331
2020-10-25,13.87024
2020-10-26,29.5302
2020-10-27,34.67561
2020-10-28,29.5302
2020-10-29,22.37136
2020-10-30,19.46308
2020-10-31,10.73825
2020-11-01,11.18568
2020-11-02,23.0425
2020-11-03,32.43847
2020-11-04,33.78076
2020-11-05,28.63534
2020-11-06,21.02908
2020-11-07,13.87024
2020-11-08,17.89709
2020-11-09,30.42505
2020-11-10,36.91275
2020-11-11,31.76733
2020-11-12,29.97762
2020-11-13,27.74049
2020-11-14,15.88366
2020-11-15,13.87024
2020-11-16,34.00447
2020-11-17,28.18791
2020-11-18,24.83221
2020-11-19,27.51677
2020-11-20,26.84563
2020-11-21,13.87024
2020-11-22,10.73825
2020-11-23,23.48993
2020-11-24,30.87248
2020-11-25,31.54362
2020-11-26,28.85906
2020-11-27,31.31991
2020-11-28,13.64653
2020-11-29,10.73825
2020-11-30,28.85906
2020-12-01,28.85906
2020-12-02,29.30648
2020-12-03,34.00447
2020-12-04,100.0
2020-12-05,13.42281
2020-12-06,10.29082
2020-12-07,33.55704
2020-12-08,38.47874
2020-12-09,34.00447
2020-12-10,33.55704
2020-12-11,27.74049
2020-12-12,14.54138
2020-12-13,10.96196
2020-12-14,33.10961
2020-12-15,31.76733
2020-12-16,34.22818
2020-12-17,26.62192
2020-12-18,24.6085
2020-12-19,16.5548
2020-12-20,10.96196
2020-12-21,33.10961
2020-12-22,29.75391
2020-12-23,30.64876
2020-12-24,23.0425
2020-12-25,8.94854
2020-12-26,6.93512
2020-12-27,10.51454
2020-12-28,18.1208
2020-12-29,21.92393
2020-12-30,14.54138
2020-12-31,13.1991
2021-01-01,5.81655
2021-01-02,6.26398
2021-01-03,10.96196
2021-01-04,21.02908
2021-01-05,27.06935
2021-01-06,25.05592
2021-01-07,19.6868
2021-01-08,22.59507
2021-01-09,9.17225
2021-01-10,13.87024
2021-01-11,25.95078
2021-01-12,22.37136
2021-01-13,25.50335
2021-01-14,29.08277
2021-01-15,19.46308
2021-01-16,12.52796
2021-01-17,8.2774
2021-01-18,30.87248
2021-01-19,31.54362
2021-01-20,23.93736
2021-01-21,23.93736
2021-01-22,20.35794
2021-01-23,11.40939
2021-01-24,10.73825
2021-01-25,22.14765
2021-01-26,27.51677
2021-01-27,19.6868
2021-01-28,23.93736
2021-01-29,23.71364
2021-01-30,9.8434
2021-01-31,10.29082
2021-02-01,19.23937
2021-02-02,25.95078
2021-02-03,26.39821
2021-02-04,23.93736
2021-02-05,19.23937
2021-02-06,10.96196
2021-02-07,7.82997
2021-02-08,21.92393
2021-02-09,21.92393
