date,호텔신라주가
2020-11-07,1.61092
2020-11-08,1.31723
2020-11-09,17.79029
2020-11-10,38.38162
2020-11-11,31.65738
2020-11-12,30.66672
2020-11-13,27.31994
2020-11-14,3.04212
2020-11-15,2.172
2020-11-16,28.72046
2020-11-17,29.22675
2020-11-18,24.16166
2020-11-19,24.23837
2020-11-20,25.51615
2020-11-21,2.82295
2020-11-22,2.29693
2020-11-23,26.23284
2020-11-24,32.59764
2020-11-25,30.30728
2020-11-26,26.50681
2020-11-27,23.62687
2020-11-28,2.88432
2020-11-29,2.84267
2020-11-30,22.90799
2020-12-01,22.87949
2020-12-02,27.19282
2020-12-03,28.56704
2020-12-04,28.2339
2020-12-05,3.99772
2020-12-06,3.7106
2020-12-07,26.47174
2020-12-08,25.60601
2020-12-09,36.41344
2020-12-10,34.45184
2020-12-11,34.50006
2020-12-12,3.93635
2020-12-13,3.20431
2020-12-14,30.88809
2020-12-15,27.1994
2020-12-16,24.92219
2020-12-17,23.85701
2020-12-18,22.70635
2020-12-19,2.65199
2020-12-20,2.29693
2020-12-21,23.76934
2020-12-22,22.33156
2020-12-23,24.59781
2020-12-24,24.19015
2020-12-25,2.69802
2020-12-26,2.31666
2020-12-27,2.52706
2020-12-28,24.27782
2020-12-29,24.17919
2020-12-30,29.17196
2020-12-31,6.38232
2021-01-01,3.92758
2021-01-02,3.30294
2021-01-03,3.32047
2021-01-04,30.63165
2021-01-05,29.32319
2021-01-06,30.01358
2021-01-07,32.01025
2021-01-08,38.09669
2021-01-09,6.10835
2021-01-10,5.19002
2021-01-11,36.83645
2021-01-12,47.68772
2021-01-13,48.53153
2021-01-14,45.25928
2021-01-15,43.37877
2021-01-16,5.40481
2021-01-17,4.4251
2021-01-18,100.0
2021-01-19,50.6356
2021-01-20,38.9975
2021-01-21,43.64616
2021-01-22,57.87051
2021-01-23,7.09244
2021-01-24,5.98123
2021-01-25,49.31617
2021-01-26,43.5826
2021-01-27,41.69114
2021-01-28,38.44518
2021-01-29,39.46434
2021-01-30,4.68373
2021-01-31,3.15609
2021-02-01,43.60452
2021-02-02,37.963
2021-02-03,35.05019
2021-02-04,33.68254
2021-02-05,30.8048
2021-02-06,4.9818
2021-02-07,4.60483
2021-02-08,37.58164
2021-02-09,32.99653
2021-02-10,27.79774
2021-02-11,3.07938
2021-02-12,2.2794
2021-02-13,2.62131
2021-02-14,3.03993
2021-02-15,31.79546
2021-02-16,29.72866
2021-02-17,27.95116
2021-02-18,40.42651
2021-02-19,33.79651
2021-02-20,4.1073
2021-02-21,4.22785
2021-02-22,34.24363
2021-02-23,38.87914
2021-02-24,42.10757
2021-02-25,36.80357
2021-02-26,31.27383
2021-02-27,3.9758
2021-02-28,3.23938
2021-03-01,3.37746
2021-03-02,28.98566
2021-03-03,32.66339
2021-03-04,32.69407
2021-03-05,27.85473
2021-03-06,3.2591
2021-03-07,2.84048
2021-03-08,29.15662
2021-03-09,32.66339
2021-03-10,27.79336
2021-03-11,29.50729
2021-03-12,28.84101
2021-03-13,4.35058
2021-03-14,3.71279
2021-03-15,49.84438
2021-03-16,46.11405
2021-03-17,42.76289
2021-03-18,37.84684
2021-03-19,32.57572
2021-03-20,4.13579
2021-03-21,3.65581
2021-03-22,33.61679
2021-03-23,33.74391
2021-03-24,30.11879
2021-03-25,31.3615
2021-03-26,29.9566
2021-03-27,4.49305
2021-03-28,3.43663
2021-03-29,28.68539
2021-03-30,27.42296
2021-03-31,29.51825
2021-04-01,31.27821
2021-04-02,30.83768
2021-04-03,4.46675
2021-04-04,3.57909
2021-04-05,29.01854
2021-04-06,27.84815
2021-04-07,26.54845
2021-04-08,26.03559
2021-04-09,23.40551
2021-04-10,3.28759
2021-04-11,2.73309
2021-04-12,24.32165
2021-04-13,25.71121
2021-04-14,26.96488
2021-04-15,28.04322
2021-04-16,25.72655
