date,비트코인ETF
2020-03-20,0.01385
2020-03-21,0.00542
2020-03-22,0.01385
2020-03-23,0.01024
2020-03-24,0.03855
2020-03-25,0.01566
2020-03-26,0.01626
2020-03-27,0.01325
2020-03-28,0.01265
2020-03-29,0.01385
2020-03-30,0.00421
2020-03-31,0.01265
2020-04-01,0.02108
2020-04-02,0.03614
2020-04-03,0.01084
2020-04-04,0.00843
2020-04-05,0.00662
2020-04-06,0.00963
2020-04-07,0.01385
2020-04-08,0.00903
2020-04-09,0.01024
2020-04-10,0.01024
2020-04-11,0.00421
2020-04-12,0.01084
2020-04-13,0.01445
2020-04-14,0.02289
2020-04-15,0.00963
2020-04-16,0.00662
2020-04-17,0.00481
2020-04-18,0.01445
2020-04-19,0.01566
2020-04-20,0.01024
2020-04-21,0.00722
2020-04-22,0.01325
2020-04-23,0.00421
2020-04-24,0.01385
2020-04-25,0.00963
2020-04-26,0.01024
2020-04-27,0.01204
2020-04-28,0.01024
2020-04-29,0.01686
2020-04-30,0.02048
2020-05-01,0.00903
2020-05-02,0.01024
2020-05-03,0.00542
2020-05-04,0.00662
2020-05-05,0.00783
2020-05-06,0.01265
2020-05-07,0.01385
2020-05-08,0.00963
2020-05-09,0.00783
2020-05-10,0.01385
2020-05-11,0.00963
2020-05-12,0.00722
2020-05-13,0.00843
2020-05-14,0.00963
2020-05-15,0.01024
2020-05-16,0.00421
2020-05-17,0.00963
2020-05-18,0.01987
2020-05-19,0.01626
2020-05-20,0.00963
2020-05-21,0.01204
2020-05-22,0.00662
2020-05-23,0.00421
2020-05-24,0.00602
2020-05-25,0.01325
2020-05-26,0.00662
2020-05-27,0.01024
2020-05-28,0.00843
2020-05-29,0.01325
2020-05-30,0.01024
2020-05-31,0.01265
2020-06-01,0.01747
2020-06-02,0.01385
2020-06-03,0.01024
2020-06-04,0.00421
2020-06-05,0.01204
2020-06-06,0.00722
2020-06-07,0.00783
2020-06-08,0.01506
2020-06-09,0.00722
2020-06-10,0.01144
2020-06-11,0.01024
2020-06-12,0.00843
2020-06-13,0.00662
2020-06-14,0.00421
2020-06-15,0.00662
2020-06-16,0.00542
2020-06-17,0.00421
2020-06-18,0.01204
2020-06-19,0.00542
2020-06-20,0.00903
2020-06-21,0.00903
2020-06-22,0.00722
2020-06-23,0.00963
2020-06-24,0.01566
2020-06-25,0.01024
