date,에쏘팟
2020-03-20,0.63739
2020-03-29,0.3541
2020-04-05,0.42492
2020-04-08,0.42492
2020-04-15,0.56657
2020-04-17,0.49575
2020-04-20,0.42492
2020-05-09,0.63739
2020-05-10,0.3541
2020-05-14,0.3541
2020-05-24,0.3541
2020-06-02,0.42492
2020-06-16,0.56657
2020-06-19,3.11614
2020-06-20,2.26628
2020-06-21,1.55807
2020-06-22,1.55807
2020-06-23,2.12464
2020-06-24,1.91218
2020-06-25,1.3456
2020-06-26,1.983
2020-06-27,0.70821
2020-06-28,0.63739
2020-06-29,0.84985
2020-06-30,0.84985
2020-07-02,3.54107
2020-07-03,0.84985
2020-07-04,1.62889
2020-07-05,0.3541
2020-07-06,1.69971
2020-07-07,1.20396
2020-07-08,1.91218
2020-07-09,1.77053
2020-07-10,1.69971
2020-07-11,0.77903
2020-07-12,0.92067
2020-07-13,0.92067
2020-07-14,1.91218
2020-07-15,1.3456
2020-07-16,0.49575
2020-07-17,1.13314
2020-07-19,0.9915
2020-07-20,2.47875
2020-07-21,1.06232
2020-07-22,0.49575
2020-07-23,1.41643
2020-07-24,0.77903
2020-07-25,1.27478
2020-07-26,1.27478
2020-07-27,0.49575
2020-07-28,0.84985
2020-07-29,0.42492
2020-07-30,0.84985
2020-07-31,0.42492
2020-08-04,0.77903
2020-08-06,1.27478
2020-08-08,0.56657
2020-08-09,0.56657
2020-08-10,0.63739
2020-08-12,0.3541
2020-08-13,0.92067
2020-08-14,0.9915
2020-08-15,0.84985
2020-08-17,0.77903
2020-08-18,2.12464
2020-08-19,1.77053
2020-08-20,1.06232
2020-08-21,0.56657
2020-08-22,0.77903
2020-08-24,0.49575
2020-08-27,0.92067
2020-08-28,0.77903
2020-08-30,0.56657
2020-08-31,0.42492
2020-09-01,0.42492
2020-09-02,0.3541
2020-09-03,0.77903
2020-09-04,0.56657
2020-09-05,0.56657
2020-09-07,0.84985
2020-09-08,1.13314
2020-09-10,2.19546
2020-09-11,1.27478
2020-09-12,2.83286
2020-09-13,5.5949
2020-09-14,3.54107
2020-09-15,2.26628
2020-09-16,1.13314
2020-09-17,1.62889
2020-09-18,1.13314
2020-09-19,0.56657
2020-09-20,5.31161
2020-09-21,2.12464
2020-09-22,1.20396
2020-09-23,1.3456
2020-09-24,3.54107
2020-09-25,3.32861
