date,베트남주식
2020-03-20,23.78737
2020-03-21,17.14285
2020-03-22,14.95016
2020-03-23,25.11627
2020-03-24,29.96677
2020-03-25,28.90365
2020-03-26,26.31229
2020-03-27,20.46511
2020-03-28,18.93687
2020-03-29,20.66445
2020-03-30,21.3289
2020-03-31,29.70099
2020-04-01,20.99667
2020-04-02,20.19933
2020-04-03,16.41196
2020-04-04,13.75415
2020-04-05,11.76079
2020-04-06,19.46843
2020-04-07,20.39867
2020-04-08,15.48172
2020-04-09,18.33887
2020-04-10,21.19601
2020-04-11,14.68438
2020-04-12,16.27906
2020-04-13,15.21594
2020-04-14,18.40531
2020-04-15,20.06644
2020-04-16,13.28903
2020-04-17,18.47176
2020-04-18,15.1495
2020-04-19,15.01661
2020-04-20,16.81063
2020-04-21,13.42192
2020-04-22,17.2093
2020-04-23,17.00996
2020-04-24,13.95348
2020-04-25,12.02657
2020-04-26,11.69435
2020-04-27,14.48504
2020-04-28,15.01661
2020-04-29,25.38205
2020-04-30,13.88704
2020-05-01,13.62126
2020-05-02,11.09634
2020-05-03,12.49169
2020-05-04,13.6877
2020-05-05,13.02325
2020-05-06,13.6877
2020-05-07,12.95681
2020-05-08,12.09302
2020-05-09,11.0299
2020-05-10,13.62126
2020-05-11,13.6877
2020-05-12,11.89368
2020-05-13,10.76411
2020-05-14,9.63455
2020-05-15,8.50498
2020-05-16,6.97674
2020-05-17,6.1794
2020-05-18,10.69767
2020-05-19,13.95348
2020-05-20,10.96345
2020-05-21,19.46843
2020-05-22,14.68438
2020-05-23,9.30232
2020-05-24,10.36544
2020-05-25,11.56146
2020-05-26,15.01661
2020-05-27,17.34219
2020-05-28,14.75083
2020-05-29,10.03322
2020-05-30,14.35215
2020-05-31,11.29568
2020-06-01,13.22259
2020-06-02,16.34551
2020-06-03,17.00996
2020-06-04,12.69102
2020-06-05,14.88372
2020-06-06,12.42524
2020-06-07,10.69767
2020-06-08,16.4784
2020-06-09,18.27242
2020-06-10,13.42192
2020-06-11,14.75083
2020-06-12,12.15946
2020-06-13,8.77076
2020-06-14,8.63787
2020-06-15,11.22923
2020-06-16,12.42524
2020-06-17,11.96013
2020-06-18,9.63455
2020-06-19,12.69102
2020-06-20,7.77408
2020-06-21,8.03986
2020-06-22,9.70099
2020-06-23,10.49833
2020-06-24,10.16611
2020-06-25,10.56478
2020-06-26,11.42857
2020-06-27,6.1794
2020-06-28,7.84053
2020-06-29,8.2392
2020-06-30,12.55813
2020-07-01,8.77076
2020-07-02,9.63455
2020-07-03,9.36877
2020-07-04,6.57807
2020-07-05,9.70099
2020-07-06,15.34883
2020-07-07,13.6877
2020-07-08,12.09302
2020-07-09,13.42192
2020-07-10,8.43853
2020-07-11,8.43853
2020-07-12,8.50498
2020-07-13,13.6877
2020-07-14,10.56478
2020-07-15,11.89368
2020-07-16,11.36212
2020-07-17,9.63455
2020-07-18,8.03986
2020-07-19,7.17607
2020-07-20,10.83056
2020-07-21,14.28571
2020-07-22,14.35215
2020-07-23,12.89036
2020-07-24,11.89368
2020-07-25,8.8372
2020-07-26,8.50498
2020-07-27,31.96013
2020-07-28,27.77408
2020-07-29,20.86378
2020-07-30,14.95016
2020-07-31,11.42857
2020-08-01,8.10631
2020-08-02,10.03322
2020-08-03,13.02325
2020-08-04,14.01993
2020-08-05,14.95016
2020-08-06,14.08637
2020-08-07,15.68106
2020-08-08,10.63122
2020-08-09,11.29568
2020-08-10,18.47176
2020-08-11,21.12956
2020-08-12,16.34551
2020-08-13,19.53488
2020-08-14,13.42192
2020-08-15,6.91029
2020-08-16,8.90365
2020-08-17,12.02657
2020-08-18,12.82392
2020-08-19,13.82059
2020-08-20,13.0897
2020-08-21,10.76411
2020-08-22,9.5681
2020-08-23,7.37541
2020-08-24,15.28239
2020-08-25,15.08305
2020-08-26,14.28571
2020-08-27,15.81395
2020-08-28,12.89036
2020-08-29,9.23588
2020-08-30,11.42857
2020-08-31,18.87043
2020-09-01,22.25913
2020-09-02,22.99003
2020-09-03,23.32225
2020-09-04,21.26245
2020-09-05,10.63122
2020-09-06,12.49169
2020-09-07,20.598
2020-09-08,18.73754
2020-09-09,17.47508
2020-09-10,19.60132
2020-09-11,16.27906
2020-09-12,11.16279
2020-09-13,10.09966
2020-09-14,18.13953
2020-09-15,18.20598
2020-09-16,17.87375
2020-09-17,17.27574
2020-09-18,13.6877
2020-09-19,12.15946
2020-09-20,9.30232
2020-09-21,15.68106
2020-09-22,15.08305
2020-09-23,17.07641
2020-09-24,17.34219
2020-09-25,15.7475
2020-09-26,9.96677
2020-09-27,8.63787
2020-09-28,12.89036
2020-09-29,14.61794
2020-09-30,8.97009
2020-10-01,10.69767
2020-10-02,13.0897
2020-10-03,10.03322
2020-10-04,10.76411
2020-10-05,19.13621
