date,주식사기
2020-03-20,16.29353
2020-03-21,9.0796
2020-03-22,7.17247
2020-03-23,12.81094
2020-03-24,11.77446
2020-03-25,14.80099
2020-03-26,14.05472
2020-03-27,17.70315
2020-03-28,8.29187
2020-03-29,6.34328
2020-03-30,7.58706
2020-03-31,9.16252
2020-04-01,8.8723
2020-04-02,6.30182
2020-04-03,5.59701
2020-04-04,4.35323
2020-04-05,4.39469
2020-04-06,6.0116
2020-04-07,8.16749
2020-04-08,6.50912
2020-04-09,5.67993
2020-04-10,5.59701
2020-04-11,3.64842
2020-04-12,3.60696
2020-04-13,5.51409
2020-04-14,4.80928
2020-04-15,3.3582
2020-04-16,3.93864
2020-04-17,5.97014
2020-04-18,3.68988
2020-04-19,3.15091
2020-04-20,5.84577
2020-04-21,5.22388
2020-04-22,7.87728
2020-04-23,5.67993
2020-04-24,5.22388
2020-04-25,3.7728
2020-04-26,3.44112
2020-04-27,4.39469
2020-04-28,4.85074
2020-04-29,4.27031
2020-04-30,3.5655
2020-05-01,2.07296
2020-05-02,2.48756
2020-05-03,1.90713
2020-05-04,4.14593
2020-05-05,2.77777
2020-05-06,4.56053
2020-05-07,4.43615
2020-05-08,2.81923
2020-05-09,1.90713
2020-05-10,2.48756
2020-05-11,3.64842
2020-05-12,3.06799
2020-05-13,4.02155
2020-05-14,4.22885
2020-05-15,3.15091
2020-05-16,2.07296
2020-05-17,2.0315
2020-05-18,3.52404
2020-05-19,3.68988
2020-05-20,5.47263
2020-05-21,6.09452
2020-05-22,4.80928
2020-05-23,2.77777
2020-05-24,3.85572
2020-05-25,5.18242
2020-05-26,5.38971
2020-05-27,3.85572
2020-05-28,5.30679
2020-05-29,3.68988
2020-05-30,2.2388
2020-05-31,2.61194
2020-06-01,6.2189
2020-06-02,6.59203
2020-06-03,6.30182
2020-06-04,4.27031
2020-06-05,4.02155
2020-06-06,2.65339
2020-06-07,3.39966
2020-06-08,4.76782
2020-06-09,4.80928
2020-06-10,4.76782
2020-06-11,5.30679
2020-06-12,4.64344
2020-06-13,2.61194
2020-06-14,2.81923
2020-06-15,4.97512
2020-06-16,6.50912
2020-06-17,5.80431
2020-06-18,4.43615
2020-06-19,4.18739
2020-06-20,3.06799
2020-06-21,2.4461
2020-06-22,4.64344
2020-06-23,4.80928
2020-06-24,5.26533
2020-06-25,3.89718
2020-06-26,3.27529
2020-06-27,2.36318
2020-06-28,3.15091
2020-06-29,4.76782
2020-06-30,4.85074
2020-07-01,3.89718
2020-07-02,3.98009
2020-07-03,4.39469
2020-07-04,2.98507
2020-07-05,3.52404
2020-07-06,6.96517
2020-07-07,5.63847
2020-07-08,5.18242
2020-07-09,6.17744
