date,사업소득
2020-03-20,8.35227
2020-03-21,2.72727
2020-03-22,2.89772
2020-03-23,8.4659
2020-03-24,9.7159
2020-03-25,8.92045
2020-03-26,10.90909
2020-03-27,9.94318
2020-03-28,3.29545
2020-03-29,4.31818
2020-03-30,22.61363
2020-03-31,17.2159
2020-04-01,16.64772
2020-04-02,19.48863
2020-04-03,15.9659
2020-04-04,4.48863
2020-04-05,4.31818
2020-04-06,15.85227
2020-04-07,14.94318
2020-04-08,12.55681
2020-04-09,12.32954
2020-04-10,11.19318
2020-04-11,2.55681
2020-04-12,3.23863
2020-04-13,10.85227
2020-04-14,11.81818
2020-04-15,4.94318
2020-04-16,12.2159
2020-04-17,12.78409
2020-04-18,3.40909
2020-04-19,3.01136
2020-04-20,12.32954
2020-04-21,10.68181
2020-04-22,13.01136
2020-04-23,11.30681
2020-04-24,11.47727
2020-04-25,3.35227
2020-04-26,4.54545
2020-04-27,15.625
2020-04-28,20.05681
2020-04-29,17.8409
2020-04-30,7.8409
2020-05-01,14.82954
2020-05-02,8.29545
2020-05-03,9.54545
2020-05-04,24.26136
2020-05-05,11.25
2020-05-06,26.02272
2020-05-07,26.36363
2020-05-08,19.26136
2020-05-09,8.57954
2020-05-10,7.78409
2020-05-11,22.38636
2020-05-12,21.02272
2020-05-13,17.55681
2020-05-14,20.68181
2020-05-15,17.61363
2020-05-16,6.36363
2020-05-17,5.0
2020-05-18,20.17045
2020-05-19,19.20454
2020-05-20,16.875
2020-05-21,16.53409
2020-05-22,16.70454
2020-05-23,5.56818
2020-05-24,5.17045
2020-05-25,23.01136
2020-05-26,20.9659
2020-05-27,18.35227
2020-05-28,19.20454
2020-05-29,17.5
2020-05-30,5.3409
2020-05-31,6.30681
2020-06-01,16.70454
2020-06-02,14.77272
2020-06-03,13.125
2020-06-04,11.98863
2020-06-05,11.25
2020-06-06,3.52272
2020-06-07,3.52272
2020-06-08,12.10227
2020-06-09,13.23863
2020-06-10,59.0909
2020-06-11,23.4659
2020-06-12,16.02272
2020-06-13,5.22727
2020-06-14,5.39772
2020-06-15,17.89772
2020-06-16,15.28409
2020-06-17,13.29545
2020-06-18,16.875
2020-06-19,17.04545
2020-06-20,4.31818
2020-06-21,4.94318
2020-06-22,13.75
