date,위탁판매
2020-03-20,28.87931
2020-03-21,20.76149
2020-03-22,24.2816
2020-03-23,34.26724
2020-03-24,34.26724
2020-03-25,35.05747
2020-03-26,36.27873
2020-03-27,28.66379
2020-03-28,20.97701
2020-03-29,21.83908
2020-03-30,29.5977
2020-03-31,31.25
2020-04-01,33.8362
2020-04-02,33.33333
2020-04-03,24.49712
2020-04-04,18.24712
2020-04-05,20.25862
2020-04-06,37.5
2020-04-07,48.70689
2020-04-08,39.72701
2020-04-09,34.69827
2020-04-10,34.62643
2020-04-11,21.83908
2020-04-12,26.65229
2020-04-13,38.07471
2020-04-14,38.07471
2020-04-15,25.50287
2020-04-16,31.68103
2020-04-17,34.26724
2020-04-18,21.47988
2020-04-19,25.14367
2020-04-20,38.7931
2020-04-21,40.30172
2020-04-22,36.92528
2020-04-23,37.28448
2020-04-24,33.47701
2020-04-25,19.25287
2020-04-26,25.50287
2020-04-27,37.28448
2020-04-28,34.98563
2020-04-29,36.06321
2020-04-30,24.13793
2020-05-01,21.04885
2020-05-02,21.47988
2020-05-03,23.41954
2020-05-04,30.60344
2020-05-05,25.14367
2020-05-06,35.70402
2020-05-07,34.69827
2020-05-08,26.22126
2020-05-09,19.61206
2020-05-10,20.68965
2020-05-11,32.39942
2020-05-12,34.05172
2020-05-13,37.06896
2020-05-14,35.34482
2020-05-15,28.23275
2020-05-16,19.25287
2020-05-17,21.04885
2020-05-18,33.04597
2020-05-19,45.97701
2020-05-20,43.53448
2020-05-21,33.47701
2020-05-22,29.52586
2020-05-23,18.60632
2020-05-24,20.25862
2020-05-25,34.77011
2020-05-26,34.1954
2020-05-27,28.87931
2020-05-28,30.10057
2020-05-29,26.07758
2020-05-30,17.0977
2020-05-31,18.0316
2020-06-01,33.11781
2020-06-02,34.48275
2020-06-03,29.31034
2020-06-04,27.22701
2020-06-05,23.20402
2020-06-06,17.81609
2020-06-07,21.83908
2020-06-08,27.51436
2020-06-09,29.38218
2020-06-10,26.2931
2020-06-11,25.28735
2020-06-12,23.56321
2020-06-13,15.94827
2020-06-14,17.88793
2020-06-15,26.22126
2020-06-16,27.5862
2020-06-17,28.01724
2020-06-18,26.58045
2020-06-19,25.43103
2020-06-20,13.7931
2020-06-21,13.86494
2020-06-22,24.56896
2020-06-23,26.43678
2020-06-24,26.36494
2020-06-25,26.58045
2020-06-26,22.84482
2020-06-27,13.93678
2020-06-28,15.4454
2020-06-29,24.92816
2020-06-30,33.18965
2020-07-01,33.62068
2020-07-02,31.60919
2020-07-03,28.80747
2020-07-04,16.7385
2020-07-05,19.18103
2020-07-06,29.66954
2020-07-07,31.53735
2020-07-08,31.82471
2020-07-09,31.96839
2020-07-10,24.49712
2020-07-11,17.95977
2020-07-12,21.40804
