date,CI보험
2020-11-08,9.39379
2020-11-09,18.74132
2020-11-10,19.94447
2020-11-11,20.22211
2020-11-12,24.75705
2020-11-13,20.31466
2020-11-14,10.04164
2020-11-15,9.11614
2020-11-16,17.8621
2020-11-17,20.12956
2020-11-18,21.10134
2020-11-19,21.65664
2020-11-20,19.38917
2020-11-21,9.57889
2020-11-22,9.30124
2020-11-23,19.38917
2020-11-24,27.57982
2020-11-25,27.95002
2020-11-26,30.54141
2020-11-27,30.58769
2020-11-28,13.92873
2020-11-29,14.57658
2020-11-30,26.46922
2020-12-01,19.85192
2020-12-02,22.95233
2020-12-03,21.10134
2020-12-04,22.11938
2020-12-05,13.37343
2020-12-06,10.68949
2020-12-07,20.17584
2020-12-08,25.68255
2020-12-09,22.21193
2020-12-10,25.91392
2020-12-11,20.12956
2020-12-12,13.78991
2020-12-13,11.05969
2020-12-14,18.55622
2020-12-15,20.22211
2020-12-16,23.64645
2020-12-17,27.57982
2020-12-18,21.00879
2020-12-19,12.26284
2020-12-20,8.8385
2020-12-21,20.08329
2020-12-22,20.40721
2020-12-23,22.25821
2020-12-24,23.83155
2020-12-25,18.46367
2020-12-26,13.60481
2020-12-27,11.75381
2020-12-28,25.63627
2020-12-29,25.17353
2020-12-30,25.7751
2020-12-31,18.46367
2021-01-01,10.96714
2021-01-02,10.18047
2021-01-03,12.72559
2021-01-04,19.43544
2021-01-05,21.74919
2021-01-06,20.49976
2021-01-07,19.15779
2021-01-08,19.25034
2021-01-09,11.98519
2021-01-10,11.10596
2021-01-11,22.95233
2021-01-12,21.33271
2021-01-13,19.99074
2021-01-14,28.45904
2021-01-15,24.1092
2021-01-16,13.83618
2021-01-17,14.7154
2021-01-18,25.63627
2021-01-19,27.44099
2021-01-20,28.59787
2021-01-21,24.71078
2021-01-22,23.18371
2021-01-23,16.89032
2021-01-24,13.51226
2021-01-25,21.37899
2021-01-26,25.35863
2021-01-27,25.17353
2021-01-28,23.97038
2021-01-29,20.59231
2021-01-30,13.92873
2021-01-31,11.66126
2021-02-01,18.97269
2021-02-02,21.51781
2021-02-03,22.02683
2021-02-04,20.59231
2021-02-05,19.11152
2021-02-06,10.45812
2021-02-07,15.4558
2021-02-08,20.49976
2021-02-09,20.68486
2021-02-10,18.64877
2021-02-11,10.22674
2021-02-12,11.84636
2021-02-13,14.66913
2021-02-14,9.44007
2021-02-15,22.81351
2021-02-16,24.1092
2021-02-17,25.17353
2021-02-18,23.78528
2021-02-19,23.55391
2021-02-20,17.35307
2021-02-21,10.64322
2021-02-22,22.95233
