date,저축은행정기예금금리
2020-03-20,71.9053
2020-03-21,42.44152
2020-03-22,45.60752
2020-03-23,79.57786
2020-03-24,72.07644
2020-03-25,83.57102
2020-03-26,83.82772
2020-03-27,74.92869
2020-03-28,47.3474
2020-03-29,44.09583
2020-03-30,76.46891
2020-03-31,80.43354
2020-04-01,85.02567
2020-04-02,73.70222
2020-04-03,67.68397
2020-04-04,41.98516
2020-04-05,45.23673
2020-04-06,73.21734
2020-04-07,66.05818
2020-04-08,67.68397
2020-04-09,65.63034
2020-04-10,66.62863
2020-04-11,43.18311
2020-04-12,46.80547
2020-04-13,71.73416
2020-04-14,62.97775
2020-04-15,47.6041
2020-04-16,67.08499
2020-04-17,63.8049
2020-04-18,37.39304
2020-04-19,45.12264
2020-04-20,78.49401
2020-04-21,66.79977
2020-04-22,69.36679
2020-04-23,64.09013
2020-04-24,61.89389
2020-04-25,41.8996
2020-04-26,45.75014
2020-04-27,79.52082
2020-04-28,64.4324
2020-04-29,63.20593
2020-04-30,42.01369
2020-05-01,37.90644
2020-05-02,35.96691
2020-05-03,46.63434
2020-05-04,91.35767
2020-05-05,52.96634
2020-05-06,71.53451
2020-05-07,56.70279
2020-05-08,53.45122
2020-05-09,34.3126
2020-05-10,37.79235
2020-05-11,64.57501
2020-05-12,56.93097
2020-05-13,55.39075
2020-05-14,56.61722
2020-05-15,55.84711
2020-05-16,33.11466
2020-05-17,39.78893
2020-05-18,59.35539
2020-05-19,53.85054
2020-05-20,56.332
2020-05-21,52.05362
2020-05-22,50.96976
2020-05-23,30.69024
2020-05-24,38.76212
2020-05-25,64.11865
2020-05-26,61.55162
2020-05-27,55.50484
2020-05-28,63.49115
2020-05-29,57.07358
2020-05-30,31.28921
2020-05-31,41.2721
2020-06-01,74.35824
2020-06-02,59.64061
2020-06-03,54.42099
2020-06-04,50.08556
2020-06-05,46.89104
2020-06-06,28.89332
2020-06-07,30.69024
2020-06-08,57.01654
2020-06-09,51.48317
2020-06-10,53.79349
2020-06-11,50.14261
2020-06-12,43.0405
2020-06-13,24.50085
2020-06-14,32.08784
2020-06-15,54.67769
2020-06-16,47.40444
2020-06-17,45.66457
2020-06-18,44.06731
2020-06-19,43.9247
2020-06-20,28.89332
2020-06-21,33.20022
2020-06-22,55.73302
2020-06-23,47.14774
2020-06-24,50.57045
2020-06-25,54.47803
2020-06-26,47.06217
2020-06-27,31.11808
2020-06-28,31.51739
2020-06-29,59.89731
2020-06-30,53.05191
2020-07-01,64.11865
2020-07-02,56.78836
2020-07-03,50.5134
2020-07-04,30.46206
2020-07-05,37.4786
2020-07-06,58.69937
2020-07-07,49.28693
2020-07-08,50.62749
2020-07-09,44.78037
2020-07-10,42.1563
2020-07-11,25.92698
2020-07-12,31.43183
2020-07-13,54.79178
2020-07-14,51.19794
2020-07-15,51.31203
2020-07-16,50.57045
2020-07-17,42.69823
2020-07-18,23.33143
2020-07-19,30.86138
2020-07-20,71.50598
2020-07-21,72.98916
2020-07-22,59.18425
2020-07-23,52.48146
2020-07-24,50.0
2020-07-25,33.22875
2020-07-26,37.50713
2020-07-27,60.6389
2020-07-28,56.04677
2020-07-29,51.68282
2020-07-30,50.31374
2020-07-31,57.50142
2020-08-01,36.62293
2020-08-02,34.96862
2020-08-03,58.75641
2020-08-04,50.57045
2020-08-05,51.36908
2020-08-06,50.02852
2020-08-07,45.23673
2020-08-08,28.29435
2020-08-09,33.39988
2020-08-10,56.75984
2020-08-11,50.82715
2020-08-12,49.8859
2020-08-13,46.60581
2020-08-14,41.04392
2020-08-15,25.41357
2020-08-16,24.87164
2020-08-17,35.51055
2020-08-18,47.57558
2020-08-19,50.05704
2020-08-20,49.42954
2020-08-21,41.38619
2020-08-22,27.55276
2020-08-23,30.80433
2020-08-24,50.57045
2020-08-25,56.332
2020-08-26,46.4632
2020-08-27,48.77353
2020-08-28,40.98687
2020-08-29,29.80604
2020-08-30,32.40159
2020-08-31,52.93782
2020-09-01,52.45293
2020-09-02,50.99828
2020-09-03,40.84426
2020-09-04,44.86594
2020-09-05,27.3531
2020-09-06,32.51568
2020-09-07,44.40958
2020-09-08,44.75185
2020-09-09,41.0154
2020-09-10,43.86765
2020-09-11,37.64974
2020-09-12,23.84483
2020-09-13,26.35482
2020-09-14,40.24529
2020-09-15,41.38619
2020-09-16,45.49343
2020-09-17,40.70165
2020-09-18,41.15801
2020-09-19,23.95892
2020-09-20,28.20878
2020-09-21,52.2818
2020-09-22,44.78037
2020-09-23,43.46833
2020-09-24,43.41129
2020-09-25,49.77181
2020-09-26,32.94352
2020-09-27,36.67997
2020-09-28,57.35881
2020-09-29,50.59897
2020-09-30,26.01254
2020-10-01,23.81631
2020-10-02,23.55961
2020-10-03,30.37649
2020-10-04,40.01711
2020-10-05,77.89503
2020-10-06,61.5231
2020-10-07,52.39589
2020-10-08,52.2818
2020-10-09,28.97889
2020-10-10,25.86993
2020-10-11,30.69024
2020-10-12,61.32344
2020-10-13,48.26012
2020-10-14,46.26354
2020-10-15,45.46491
2020-10-16,41.95664
2020-10-17,24.47233
2020-10-18,26.81118
2020-10-19,50.65601
2020-10-20,49.08727
2020-10-21,47.74671
2020-10-22,44.80889
2020-10-23,42.09925
2020-10-24,25.0713
2020-10-25,27.18197
2020-10-26,50.62749
2020-10-27,44.1814
2020-10-28,45.92127
2020-10-29,42.29891
2020-10-30,38.41985
2020-10-31,21.76269
2020-11-01,29.72047
2020-11-02,46.74843
2020-11-03,40.53051
2020-11-04,39.247
2020-11-05,39.27552
2020-11-06,37.25042
2020-11-07,23.35995
2020-11-08,26.01254
2020-11-09,44.86594
2020-11-10,41.15801
2020-11-11,38.44837
2020-11-12,37.2219
2020-11-13,35.79577
2020-11-14,22.27609
2020-11-15,24.5579
2020-11-16,43.83913
2020-11-17,39.90302
2020-11-18,41.67142
2020-11-19,38.33428
2020-11-20,38.27723
2020-11-21,25.27096
2020-11-22,29.00741
2020-11-23,43.09754
2020-11-24,40.30233
2020-11-25,46.32059
2020-11-26,44.72333
2020-11-27,39.64632
2020-11-28,25.27096
2020-11-29,33.1717
2020-11-30,51.36908
2020-12-01,51.54021
2020-12-02,48.83057
2020-12-03,44.32401
2020-12-04,42.32743
2020-12-05,29.52082
2020-12-06,33.05761
2020-12-07,49.97147
2020-12-08,45.35082
2020-12-09,47.66115
2020-12-10,51.45464
2020-12-11,46.66286
2020-12-12,26.55447
2020-12-13,29.749
2020-12-14,43.95322
2020-12-15,43.95322
2020-12-16,47.29035
2020-12-17,44.4381
2020-12-18,41.55733
2020-12-19,29.72047
2020-12-20,35.16828
2020-12-21,57.61551
2020-12-22,51.6543
2020-12-23,52.39589
2020-12-24,45.97832
2020-12-25,34.65487
2020-12-26,40.50199
2020-12-27,46.43468
2020-12-28,71.81973
2020-12-29,58.18596
2020-12-30,66.0867
2020-12-31,58.75641
2021-01-01,48.77353
2021-01-02,48.4883
2021-01-03,60.15402
2021-01-04,90.3879
2021-01-05,71.79121
2021-01-06,66.11523
2021-01-07,64.28978
2021-01-08,55.27666
2021-01-09,38.6195
2021-01-10,46.54877
2021-01-11,67.34169
2021-01-12,60.58185
2021-01-13,65.5733
2021-01-14,72.98916
2021-01-15,68.4826
2021-01-16,43.95322
2021-01-17,46.12093
2021-01-18,73.73074
2021-01-19,65.2025
2021-01-20,69.93725
2021-01-21,66.60011
2021-01-22,58.04335
2021-01-23,42.92641
2021-01-24,45.12264
2021-01-25,71.2778
2021-01-26,64.0616
2021-01-27,60.21106
2021-01-28,66.17227
2021-01-29,66.11523
2021-01-30,40.30233
2021-01-31,48.97318
2021-02-01,74.92869
2021-02-02,65.2025
2021-02-03,67.65544
2021-02-04,68.88191
2021-02-05,64.31831
2021-02-06,43.89617
2021-02-07,45.92127
2021-02-08,72.5328
2021-02-09,61.63719
2021-02-10,61.66571
2021-02-11,39.70336
2021-02-12,35.79577
2021-02-13,40.55904
2021-02-14,54.59212
2021-02-15,100.0
2021-02-16,69.85168
2021-02-17,66.9709
2021-02-18,64.31831
2021-02-19,60.8956
2021-02-20,41.10096
2021-02-21,45.03707
2021-02-22,70.30804
2021-02-23,72.10496
2021-02-24,68.59669
2021-02-25,75.21391
2021-02-26,68.02624
2021-02-27,45.23673
2021-02-28,47.91785
2021-03-01,62.35025
2021-03-02,83.94181
2021-03-03,72.44723
2021-03-04,67.51283
2021-03-05,59.35539
2021-03-06,39.70336
2021-03-07,44.86594
2021-03-08,68.76782
2021-03-09,62.09355
2021-03-10,68.996
2021-03-11,61.5231
2021-03-12,58.69937
2021-03-13,36.56588
2021-03-14,47.17626
2021-03-15,74.27267
2021-03-16,67.28465
2021-03-17,64.60353
2021-03-18,54.05019
2021-03-19,48.97318
2021-03-20,32.68682
2021-03-21,32.62977
2021-03-22,53.25156
2021-03-23,47.31888
2021-03-24,49.3725
2021-03-25,63.49115
2021-03-26,56.47461
2021-03-27,38.30576
2021-03-28,44.63776
2021-03-29,66.37193
2021-03-30,64.14717
2021-03-31,58.92755
2021-04-01,63.12036
2021-04-02,55.36223
2021-04-03,35.48203
2021-04-04,35.62464
2021-04-05,60.15402
2021-04-06,58.44266
2021-04-07,49.25841
2021-04-08,47.40444
2021-04-09,47.94637
2021-04-10,29.20707
2021-04-11,32.0308
2021-04-12,56.64575
2021-04-13,50.5134
2021-04-14,48.63091
2021-04-15,49.60068
2021-04-16,43.78208
2021-04-17,31.28921
2021-04-18,31.7741
2021-04-19,51.88248
2021-04-20,54.24985
2021-04-21,48.60239
2021-04-22,45.46491
2021-04-23,45.12264
2021-04-24,30.06274
2021-04-25,31.06103
2021-04-26,48.88762
2021-04-27,48.11751
2021-04-28,46.63434
2021-04-29,43.24015
2021-04-30,44.78037
2021-05-01,33.31431
2021-05-02,30.46206
2021-05-03,50.17113
2021-05-04,48.94466
2021-05-05,34.88305
2021-05-06,48.08899
2021-05-07,44.12435
2021-05-08,26.38334
2021-05-09,32.45864
2021-05-10,56.98802
2021-05-11,50.17113
2021-05-12,47.3474
2021-05-13,40.92983
2021-05-14,41.87107
