date,건강종합보험
2020-03-20,27.80487
2020-03-21,14.63414
2020-03-22,8.04878
2020-03-23,15.12195
2020-03-24,22.68292
2020-03-25,18.29268
2020-03-26,20.4878
2020-03-27,17.07317
2020-03-28,14.63414
2020-03-29,14.39024
2020-03-30,23.65853
2020-03-31,25.60975
2020-04-01,12.43902
2020-04-02,16.34146
2020-04-03,9.75609
2020-04-04,4.87804
2020-04-05,7.56097
2020-04-06,17.56097
2020-04-07,15.12195
2020-04-08,17.80487
2020-04-09,13.41463
2020-04-10,22.19512
2020-04-11,12.43902
2020-04-12,8.53658
2020-04-13,17.07317
2020-04-14,25.60975
2020-04-15,10.9756
2020-04-16,22.19512
2020-04-17,20.2439
2020-04-18,7.56097
2020-04-19,11.46341
2020-04-20,24.63414
2020-04-21,18.53658
2020-04-22,19.75609
2020-04-23,25.12195
2020-04-24,21.21951
2020-04-25,8.04878
2020-04-26,9.75609
2020-04-27,45.85365
2020-04-28,25.12195
2020-04-29,24.14634
2020-04-30,15.36585
2020-05-01,35.12195
2020-05-02,26.34146
2020-05-03,16.82926
2020-05-04,37.56097
2020-05-05,23.17073
2020-05-06,27.80487
2020-05-07,32.92682
2020-05-08,41.46341
2020-05-09,42.92682
2020-05-10,23.65853
2020-05-11,33.17073
2020-05-12,20.7317
2020-05-13,25.60975
2020-05-14,25.12195
2020-05-15,22.92682
2020-05-16,13.17073
2020-05-17,13.17073
2020-05-18,25.85365
2020-05-19,26.58536
2020-05-20,21.70731
2020-05-21,27.80487
2020-05-22,20.0
2020-05-23,10.9756
2020-05-24,9.26829
2020-05-25,29.51219
2020-05-26,22.43902
2020-05-27,28.04878
2020-05-28,28.53658
2020-05-29,18.29268
2020-05-30,13.17073
2020-05-31,9.02439
2020-06-01,18.04878
2020-06-02,23.41463
2020-06-03,22.19512
2020-06-04,33.90243
2020-06-05,19.51219
2020-06-06,16.34146
2020-06-07,9.26829
2020-06-08,23.17073
2020-06-09,25.12195
2020-06-10,20.4878
2020-06-11,13.90243
2020-06-12,19.26829
2020-06-13,9.75609
2020-06-14,10.7317
2020-06-15,23.90243
2020-06-16,32.19512
2020-06-17,25.36585
2020-06-18,19.02439
2020-06-19,16.82926
2020-06-20,11.70731
2020-06-21,12.68292
2020-06-22,20.7317
2020-06-23,18.29268
2020-06-24,18.04878
2020-06-25,15.12195
2020-06-26,19.75609
2020-06-27,9.51219
2020-06-28,11.21951
2020-06-29,29.75609
2020-06-30,28.29268
2020-07-01,22.19512
2020-07-02,25.12195
2020-07-03,27.07317
2020-07-04,15.60975
2020-07-05,13.90243
2020-07-06,16.82926
2020-07-07,27.80487
2020-07-08,25.85365
2020-07-09,19.26829
2020-07-10,17.07317
2020-07-11,15.60975
2020-07-12,10.4878
2020-07-13,25.12195
2020-07-14,24.87804
2020-07-15,20.9756
2020-07-16,19.75609
2020-07-17,21.21951
2020-07-18,10.4878
2020-07-19,13.65853
2020-07-20,25.12195
2020-07-21,21.46341
2020-07-22,21.70731
2020-07-23,19.75609
2020-07-24,16.82926
2020-07-25,14.87804
2020-07-26,10.9756
2020-07-27,34.39024
2020-07-28,25.36585
2020-07-29,27.07317
2020-07-30,31.70731
2020-07-31,20.0
2020-08-01,17.07317
2020-08-02,11.46341
2020-08-03,24.39024
2020-08-04,17.07317
2020-08-05,16.82926
2020-08-06,19.26829
2020-08-07,15.12195
2020-08-08,9.51219
2020-08-09,4.63414
2020-08-10,18.04878
2020-08-11,24.14634
2020-08-12,20.9756
2020-08-13,16.58536
2020-08-14,13.90243
2020-08-15,10.2439
2020-08-16,11.95121
2020-08-17,13.17073
2020-08-18,15.85365
2020-08-19,17.80487
2020-08-20,21.70731
2020-08-21,22.92682
2020-08-22,14.39024
2020-08-23,11.21951
2020-08-24,17.07317
2020-08-25,16.34146
2020-08-26,17.80487
2020-08-27,27.80487
2020-08-28,19.26829
2020-08-29,14.63414
2020-08-30,13.90243
2020-08-31,16.09756
2020-09-01,26.34146
2020-09-02,31.21951
2020-09-03,21.95121
2020-09-04,17.80487
2020-09-05,12.19512
2020-09-06,8.53658
2020-09-07,29.51219
2020-09-08,23.65853
2020-09-09,25.85365
2020-09-10,15.12195
2020-09-11,22.19512
2020-09-12,13.17073
2020-09-13,7.07317
2020-09-14,23.41463
2020-09-15,25.85365
2020-09-16,21.95121
2020-09-17,24.14634
2020-09-18,19.26829
2020-09-19,13.90243
2020-09-20,8.29268
2020-09-21,20.2439
2020-09-22,21.70731
2020-09-23,23.65853
2020-09-24,28.78048
2020-09-25,17.31707
2020-09-26,12.68292
