date,국제원유가격
2020-03-20,17.52939
2020-03-21,9.77694
2020-03-22,6.45734
2020-03-23,18.00016
2020-03-24,13.79359
2020-03-25,10.60936
2020-03-26,10.47399
2020-03-27,10.771
2020-03-28,5.44308
2020-03-29,4.35406
2020-03-30,12.66416
2020-03-31,14.98767
2020-04-01,16.34541
2020-04-02,27.75285
2020-04-03,29.54095
2020-04-04,13.13492
2020-04-05,7.93833
2020-04-06,28.03774
2020-04-07,25.56471
2020-04-08,24.14029
2020-04-09,26.2557
2020-04-10,22.59465
2020-04-11,7.78882
2020-04-12,5.97446
2020-04-13,12.53485
2020-04-14,9.45569
2020-04-15,8.68994
2020-04-16,12.10045
2020-04-17,13.3006
2020-04-18,7.74033
2020-04-19,6.21287
2020-04-20,23.62104
2020-04-21,100.0
2020-04-22,53.68529
2020-04-23,84.21222
2020-04-24,22.66133
2020-04-25,10.40126
2020-04-26,7.17056
2020-04-27,23.00278
2020-04-28,21.48139
2020-04-29,17.88297
2020-04-30,11.10639
2020-05-01,9.60116
2020-05-02,6.92811
2020-05-03,5.57643
2020-05-04,10.62148
2020-05-05,8.2616
2020-05-06,15.49076
2020-05-07,14.44821
2020-05-08,10.48207
2020-05-09,6.1866
2020-05-10,4.59247
2020-05-11,8.08178
2020-05-12,7.85549
2020-05-13,6.48361
2020-05-14,5.55016
2020-05-15,6.47149
2020-05-16,4.32375
2020-05-17,3.19028
2020-05-18,7.72618
2020-05-19,7.97672
2020-05-20,7.09783
2020-05-21,7.43524
2020-05-22,9.28395
2020-05-23,3.43071
2020-05-24,2.72962
2020-05-25,5.26932
2020-05-26,6.1866
2020-05-27,5.30569
2020-05-28,6.36642
2020-05-29,4.57833
2020-05-30,3.1034
2020-05-31,2.37604
2020-06-01,5.71584
2020-06-02,5.8997
2020-06-03,7.12207
2020-06-04,6.62908
2020-06-05,5.12587
2020-06-06,3.46708
2020-06-07,2.471
2020-06-08,5.72392
2020-06-09,7.13419
2020-06-10,6.27348
2020-06-11,5.48753
2020-06-12,6.32197
2020-06-13,3.08118
2020-06-14,2.12955
2020-06-15,4.546
2020-06-16,4.5359
2020-06-17,3.88531
2020-06-18,3.4792
2020-06-19,3.57821
2020-06-20,2.14773
2020-06-21,1.57998
2020-06-22,3.18018
2020-06-23,3.80248
2020-06-24,3.60851
2020-06-25,4.27526
2020-06-26,3.09532
2020-06-27,1.98205
2020-06-28,1.23045
2020-06-29,2.90136
2020-06-30,3.07107
2020-07-01,3.10946
2020-07-02,2.76599
2020-07-03,2.53566
2020-07-04,1.4628
2020-07-05,1.10922
2020-07-06,2.21036
2020-07-07,2.48919
2020-07-08,2.35584
2020-07-09,2.11338
2020-07-10,2.15177
2020-07-11,1.0971
2020-07-12,0.80009
2020-07-13,1.6709
2020-07-14,2.06085
2020-07-15,2.01438
2020-07-16,1.96387
2020-07-17,1.7194
2020-07-18,0.86879
2020-07-19,0.62835
2020-07-20,1.384
2020-07-21,1.86891
2020-07-22,1.94771
2020-07-23,1.98003
2020-07-24,1.64262
2020-07-25,0.97183
2020-07-26,0.56976
2020-07-27,1.32945
2020-07-28,1.50927
2020-07-29,1.52947
2020-07-30,1.50927
2020-07-31,1.60221
2020-08-01,0.93142
2020-08-02,0.57178
2020-08-03,1.21832
2020-08-04,1.40623
2020-08-05,2.11944
2020-08-06,1.87497
2020-08-07,1.61635
2020-08-08,0.84454
2020-08-09,0.61219
2020-08-10,1.43855
2020-08-11,1.72748
2020-08-12,1.46886
2020-08-13,1.65474
2020-08-14,1.2951
2020-08-15,0.68695
2020-08-16,0.53339
2020-08-17,0.87687
2020-08-18,1.4527
2020-08-19,1.34359
2020-08-20,1.28904
2020-08-21,1.21024
2020-08-22,0.77181
2020-08-23,0.47076
2020-08-24,1.10518
2020-08-25,1.37188
2020-08-26,1.49311
2020-08-27,1.37794
2020-08-28,1.27086
2020-08-29,0.73342
2020-08-30,0.46874
2020-08-31,1.05265
2020-09-01,1.1961
2020-09-02,1.25267
2020-09-03,2.2144
2020-09-04,1.70323
2020-09-05,1.12336
2020-09-06,0.6627
2020-09-07,2.6488
2020-09-08,3.34383
2020-09-09,5.11981
2020-09-10,2.94379
2020-09-11,2.40635
2020-09-12,1.35167
2020-09-13,0.87283
2020-09-14,1.86487
2020-09-15,2.08106
2020-09-16,2.40231
2020-09-17,2.46494
2020-09-18,2.32553
2020-09-19,1.1274
2020-09-20,0.82838
2020-09-21,1.81234
2020-09-22,1.92346
2020-09-23,1.71131
2020-09-24,1.52139
2020-09-25,1.23449
2020-09-26,0.72534
2020-09-27,0.46268
2020-09-28,1.07083
2020-09-29,1.04255
2020-09-30,0.81221
2020-10-01,0.82434
2020-10-02,1.28298
2020-10-03,1.03042
2020-10-04,0.74352
2020-10-05,2.10328
2020-10-06,2.16187
2020-10-07,1.79213
2020-10-08,1.41835
2020-10-09,0.99203
2020-10-10,0.83848
2020-10-11,0.59603
2020-10-12,1.11326
2020-10-13,1.30116
2020-10-14,1.25469
2020-10-15,1.45068
2020-10-16,1.15973
2020-10-17,0.62835
2020-10-18,0.43843
2020-10-19,0.94961
2020-10-20,1.01224
2020-10-21,1.14963
2020-10-22,1.23247
2020-10-23,0.9092
2020-10-24,0.62633
2020-10-25,0.40206
2020-10-26,1.2062
2020-10-27,1.41229
2020-10-28,1.39208
2020-10-29,2.24471
2020-10-30,2.32755
2020-10-31,1.08497
2020-11-01,0.7617
2020-11-02,2.4811
2020-11-03,2.36392
2020-11-04,2.12753
2020-11-05,2.08106
2020-11-06,1.60019
2020-11-07,0.78999
2020-11-08,0.54956
2020-11-09,1.81032
2020-11-10,2.80235
2020-11-11,2.79831
2020-11-12,2.19218
2020-11-13,1.67293
2020-11-14,0.88495
2020-11-15,0.57986
2020-11-16,1.41229
2020-11-17,1.67697
2020-11-18,1.40825
2020-11-19,1.33753
2020-11-20,1.13751
2020-11-21,0.65462
2020-11-22,0.45864
2020-11-23,1.29106
2020-11-24,1.67899
2020-11-25,2.47706
2020-11-26,2.57202
2020-11-27,2.20632
2020-11-28,0.9981
2020-11-29,0.71725
2020-11-30,1.56584
2020-12-01,1.65474
2020-12-02,1.65878
2020-12-03,1.8386
2020-12-04,1.83254
2020-12-05,1.15569
2020-12-06,0.8506
2020-12-07,1.56988
2020-12-08,1.58403
2020-12-09,1.4729
2020-12-10,1.25671
2020-12-11,1.88103
2020-12-12,1.00012
2020-12-13,0.59401
2020-12-14,1.33753
2020-12-15,1.48906
2020-12-16,1.46886
2020-12-17,1.80425
2020-12-18,1.68505
2020-12-19,1.0284
2020-12-20,0.72736
2020-12-21,1.6507
2020-12-22,1.78001
2020-12-23,1.53756
2020-12-24,1.45068
2020-12-25,0.85262
2020-12-26,0.81019
2020-12-27,0.7415
2020-12-28,1.33147
2020-12-29,1.26277
2020-12-30,1.12336
2020-12-31,0.93748
2021-01-01,0.69705
2021-01-02,0.56168
2021-01-03,0.6425
2021-01-04,1.54968
2021-01-05,1.85881
2021-01-06,2.86095
2021-01-07,2.41443
2021-01-08,2.06287
2021-01-09,1.40219
2021-01-10,1.01426
2021-01-11,2.15581
2021-01-12,2.3922
2021-01-13,2.86095
2021-01-14,2.3619
2021-01-15,2.00226
2021-01-16,1.21226
2021-01-17,1.01022
2021-01-18,1.70121
2021-01-19,1.95781
2021-01-20,1.61635
2021-01-21,1.55978
2021-01-22,1.69515
2021-01-23,0.97789
2021-01-24,0.62431
2021-01-25,1.37592
2021-01-26,1.52341
2021-01-27,1.39814
2021-01-28,1.29914
2021-01-29,1.26075
2021-01-30,0.83646
2021-01-31,0.49702
2021-02-01,1.087
2021-02-02,1.76587
2021-02-03,1.93356
2021-02-04,2.15985
2021-02-05,2.03459
2021-02-06,1.1961
2021-02-07,0.7314
2021-02-08,1.96387
2021-02-09,2.95187
2021-02-10,2.1942
