date,미국주가
2020-03-20,84.20598
2020-03-21,58.48676
2020-03-22,20.10932
2020-03-23,59.89643
2020-03-24,100.0
2020-03-25,95.54085
2020-03-26,90.67894
2020-03-27,73.99309
2020-03-28,52.0138
2020-03-29,18.12428
2020-03-30,47.78481
2020-03-31,69.50517
2020-04-01,68.64211
2020-04-02,67.17491
2020-04-03,55.26467
2020-04-04,34.40736
2020-04-05,13.52128
2020-04-06,35.50057
2020-04-07,59.03337
2020-04-08,55.86881
2020-04-09,51.12197
2020-04-10,46.08745
2020-04-11,21.80667
2020-04-12,12.88837
2020-04-13,27.76179
2020-04-14,41.91599
2020-04-15,37.65822
2020-04-16,41.45569
2020-04-17,39.58573
2020-04-18,25.31645
2020-04-19,9.57997
2020-04-20,23.44649
2020-04-21,46.34637
2020-04-22,53.42347
2020-04-23,35.15535
2020-04-24,32.56616
2020-04-25,19.41887
2020-04-26,7.1634
2020-04-27,17.49136
2020-04-28,32.59493
2020-04-29,27.73302
2020-04-30,24.28078
2020-05-01,24.94246
2020-05-02,25.0863
2020-05-03,8.28538
2020-05-04,16.82968
2020-05-05,26.95627
2020-05-06,27.10011
2020-05-07,25.77675
2020-05-08,23.36018
2020-05-09,14.75834
2020-05-10,5.52359
2020-05-11,14.81588
2020-05-12,25.31645
2020-05-13,29.17146
2020-05-14,34.72382
2020-05-15,27.79056
2020-05-16,15.44879
2020-05-17,5.20713
2020-05-18,14.29804
2020-05-19,32.19217
2020-05-20,27.79056
2020-05-21,27.44533
2020-05-22,23.6191
2020-05-23,15.33371
2020-05-24,5.66743
2020-05-25,12.8596
2020-05-26,22.41081
2020-05-27,24.76985
2020-05-28,24.79861
2020-05-29,22.15189
2020-05-30,12.7733
2020-05-31,5.14959
2020-06-01,14.93095
2020-06-02,25.46029
2020-06-03,23.79171
2020-06-04,25.25891
2020-06-05,24.45339
2020-06-06,15.99539
2020-06-07,6.07019
2020-06-08,13.29113
2020-06-09,26.5535
2020-06-10,24.76985
2020-06-11,28.16455
2020-06-12,60.87456
2020-06-13,25.37399
2020-06-14,8.25661
2020-06-15,27.24395
2020-06-16,40.96662
