date,2차전지대장주
2020-03-20,34.12666
2020-03-21,22.38805
2020-03-22,21.66196
2020-03-23,27.6321
2020-03-24,31.2626
2020-03-25,46.30899
2020-03-26,40.54054
2020-03-27,36.66801
2020-03-28,31.34328
2020-03-29,34.08632
2020-03-30,33.9653
2020-03-31,34.6914
2020-04-01,37.03106
2020-04-02,34.97377
2020-04-03,34.04598
2020-04-04,15.93384
2020-04-05,12.90843
2020-04-06,20.41145
2020-04-07,29.68939
2020-04-08,44.93747
2020-04-09,36.74868
2020-04-10,31.30294
2020-04-11,39.12868
2020-04-12,29.72972
2020-04-13,25.17144
2020-04-14,28.19685
2020-04-15,24.88906
2020-04-16,41.10528
2020-04-17,47.3578
2020-04-18,31.50463
2020-04-19,30.81887
2020-04-20,31.02057
2020-04-21,25.01008
2020-04-22,23.96127
2020-04-23,25.81686
2020-04-24,18.67688
2020-04-25,10.60911
2020-04-26,11.89995
2020-04-27,18.35417
2020-04-28,24.48567
2020-04-29,22.06534
2020-04-30,17.95078
2020-05-01,14.40096
2020-05-02,6.93828
2020-05-03,8.14844
2020-05-04,10.44776
2020-05-05,8.02743
2020-05-06,11.81928
2020-05-07,13.59419
2020-05-08,14.40096
2020-05-09,10.77047
2020-05-10,9.84267
2020-05-11,13.83622
2020-05-12,11.45623
2020-05-13,51.99677
2020-05-14,47.31746
2020-05-15,32.63412
2020-05-16,19.76603
2020-05-17,16.57926
2020-05-18,34.97377
2020-05-19,43.04154
2020-05-20,38.40258
2020-05-21,42.55748
2020-05-22,26.01855
2020-05-23,17.42638
2020-05-24,22.10568
2020-05-25,48.40661
2020-05-26,62.32351
2020-05-27,43.929
2020-05-28,31.50463
2020-05-29,23.07382
2020-05-30,15.93384
2020-05-31,16.53892
2020-06-01,18.63654
2020-06-02,20.85518
2020-06-03,25.6555
2020-06-04,19.03993
2020-06-05,19.88705
2020-06-06,15.73215
2020-06-07,20.33077
2020-06-08,17.18434
2020-06-09,15.8935
2020-06-10,18.27349
2020-06-11,20.08874
2020-06-12,11.33521
2020-06-13,9.19725
2020-06-14,12.86809
2020-06-15,16.98265
2020-06-16,16.09519
2020-06-17,21.86365
2020-06-18,17.30536
2020-06-19,27.59177
2020-06-20,22.46873
2020-06-21,24.32432
2020-06-22,37.63614
2020-06-23,33.84429
2020-06-24,36.30496
2020-06-25,27.79346
2020-06-26,23.59822
2020-06-27,13.55385
2020-06-28,17.46672
2020-06-29,16.25655
2020-06-30,15.12706
2020-07-01,17.30536
2020-07-02,21.70229
2020-07-03,22.83178
2020-07-04,18.51553
2020-07-05,22.99314
2020-07-06,29.12464
2020-07-07,33.11819
2020-07-08,32.87615
2020-07-09,34.53005
2020-07-10,30.05244
2020-07-11,18.47519
2020-07-12,19.12061
2020-07-13,31.94836
2020-07-14,25.89753
2020-07-15,28.84227
2020-07-16,29.8104
2020-07-17,26.94634
2020-07-18,17.144
2020-07-19,16.41791
2020-07-20,24.64703
2020-07-21,25.01008
2020-07-22,28.84227
2020-07-23,35.13513
2020-07-24,20.12908
2020-07-25,14.68334
2020-07-26,16.53892
2020-07-27,21.25857
2020-07-28,31.74667
2020-07-29,25.29245
2020-07-30,22.71077
2020-07-31,33.15853
2020-08-01,25.17144
2020-08-02,27.71278
2020-08-03,53.93303
2020-08-04,46.14764
2020-08-05,55.90964
2020-08-06,59.41912
2020-08-07,72.93263
2020-08-08,48.12424
2020-08-09,57.48285
2020-08-10,68.53569
2020-08-11,56.51472
2020-08-12,39.81444
2020-08-13,31.34328
2020-08-14,32.91649
2020-08-15,15.61113
2020-08-16,13.9169
2020-08-17,16.78096
2020-08-18,18.5962
2020-08-19,17.58773
2020-08-20,18.27349
2020-08-21,23.63856
2020-08-22,14.76401
2020-08-23,14.48164
2020-08-24,23.6789
2020-08-25,26.46228
2020-08-26,27.26906
2020-08-27,31.38362
2020-08-28,25.53448
2020-08-29,15.44977
2020-08-30,17.8701
2020-08-31,27.6321
2020-09-01,27.30939
2020-09-02,31.78701
2020-09-03,32.55344
2020-09-04,26.46228
2020-09-05,14.40096
2020-09-06,15.1674
2020-09-07,28.68091
2020-09-08,30.13311
2020-09-09,25.97821
2020-09-10,25.25211
2020-09-11,23.15449
2020-09-12,15.8935
