date,재택근무
2020-03-20,1.92817
2020-03-21,1.2974
2020-03-22,1.52583
2020-03-23,5.26939
2020-03-24,2.21227
2020-03-25,1.83031
2020-03-26,1.78468
2020-03-27,1.44691
2020-03-28,0.63794
2020-03-29,0.79118
2020-03-30,1.73475
2020-03-31,1.84035
2020-04-01,1.84007
2020-04-02,1.79271
2020-04-03,2.49522
2020-04-04,1.05089
2020-04-05,0.8833
2020-04-06,1.55912
2020-04-07,2.3328
2020-04-08,2.76412
2020-04-09,1.64722
2020-04-10,1.08045
2020-04-11,0.45513
2020-04-12,0.47666
2020-04-13,0.91085
2020-04-14,0.74871
2020-04-15,0.41295
2020-04-16,0.82303
2020-04-17,0.73378
2020-04-18,0.33575
2020-04-19,0.49244
2020-04-20,0.77281
2020-04-21,0.61297
2020-04-22,0.56648
2020-04-23,0.55357
2020-04-24,0.48268
2020-04-25,0.24995
2020-04-26,0.27893
2020-04-27,0.54725
2020-04-28,0.49904
2020-04-29,0.40577
2020-04-30,0.22785
2020-05-01,0.25138
2020-05-02,0.18595
2020-05-03,0.24249
2020-05-04,0.3765
2020-05-05,0.26659
2020-05-06,0.44767
2020-05-07,0.38454
2020-05-08,0.45686
2020-05-09,0.2686
2020-05-10,0.44624
2020-05-11,0.93495
2020-05-12,0.79749
2020-05-13,0.70824
2020-05-14,0.8018
2020-05-15,0.52315
2020-05-16,0.22527
2020-05-17,0.27377
2020-05-18,0.46546
2020-05-19,0.43132
2020-05-20,0.41984
2020-05-21,0.4029
2020-05-22,0.40922
2020-05-23,0.28553
2020-05-24,0.28697
2020-05-25,0.45657
2020-05-26,0.41725
2020-05-27,0.44911
2020-05-28,0.69992
2020-05-29,0.61785
2020-05-30,0.23187
2020-05-31,0.27205
2020-06-01,0.53893
2020-06-02,0.46087
2020-06-03,0.47092
2020-06-04,0.39831
2020-06-05,0.33891
2020-06-06,0.18624
2020-06-07,0.25913
2020-06-08,0.45313
2020-06-09,0.41754
2020-06-10,0.44452
2020-06-11,0.41438
2020-06-12,0.36589
2020-06-13,0.17878
2020-06-14,0.23675
2020-06-15,0.4339
2020-06-16,0.39315
2020-06-17,0.41496
2020-06-18,0.38253
2020-06-19,0.30792
2020-06-20,0.1673
2020-06-21,0.2026
2020-06-22,0.39286
2020-06-23,0.38224
2020-06-24,0.41209
2020-06-25,0.3722
2020-06-26,0.28697
2020-06-27,0.16099
2020-06-28,0.24622
2020-06-29,0.43361
2020-06-30,0.38999
2020-07-01,0.38454
2020-07-02,0.35986
2020-07-03,0.33575
2020-07-04,0.17103
2020-07-05,0.29759
2020-07-06,0.41065
2020-07-07,0.37679
2020-07-08,0.49732
2020-07-09,0.60092
2020-07-10,0.52401
2020-07-11,0.21896
2020-07-12,0.22728
2020-07-13,0.44165
2020-07-14,0.3943
2020-07-15,0.38942
2020-07-16,0.33891
2020-07-17,0.28639
2020-07-18,0.17419
2020-07-19,0.19772
2020-07-20,0.36043
2020-07-21,0.35871
2020-07-22,0.3501
2020-07-23,0.33116
2020-07-24,0.30734
2020-07-25,0.16328
2020-07-26,0.165
2020-07-27,0.3128
2020-07-28,0.32514
2020-07-29,0.30132
2020-07-30,0.2554
2020-07-31,0.25282
2020-08-01,0.13459
2020-08-02,0.14291
2020-08-03,0.28266
2020-08-04,0.26057
2020-08-05,0.25454
2020-08-06,0.30046
2020-08-07,0.22814
2020-08-08,0.14807
2020-08-09,0.16759
2020-08-10,0.30132
2020-08-11,0.2841
2020-08-12,0.26946
2020-08-13,0.25942
2020-08-14,0.3128
2020-08-15,0.28955
2020-08-16,0.50564
2020-08-17,1.53186
2020-08-18,5.74347
2020-08-19,2.66913
2020-08-20,3.15268
2020-08-21,100.0
2020-08-22,1.4251
2020-08-23,1.84236
2020-08-24,3.61499
2020-08-25,2.80831
2020-08-26,2.07969
2020-08-27,2.66913
2020-08-28,4.34189
2020-08-29,1.36168
2020-08-30,1.68768
2020-08-31,6.58
2020-09-01,2.70873
2020-09-02,1.99015
2020-09-03,1.57863
2020-09-04,1.39411
2020-09-05,0.50392
2020-09-06,0.67352
2020-09-07,1.41793
2020-09-08,1.03711
2020-09-09,1.04486
2020-09-10,1.00756
2020-09-11,0.86579
2020-09-12,0.38683
2020-09-13,0.84857
2020-09-14,1.03281
2020-09-15,0.71341
2020-09-16,0.74038
2020-09-17,0.91085
2020-09-18,0.61354
2020-09-19,0.23216
2020-09-20,0.31825
2020-09-21,0.61326
2020-09-22,0.48412
2020-09-23,0.46087
2020-09-24,0.48383
2020-09-25,0.38655
2020-09-26,0.1828
2020-09-27,0.19973
2020-09-28,0.3656
2020-09-29,0.36101
2020-09-30,0.13516
2020-10-01,0.12971
2020-10-02,0.13688
2020-10-03,0.15697
2020-10-04,0.24593
2020-10-05,0.54926
2020-10-06,0.4626
2020-10-07,0.43648
2020-10-08,0.41094
2020-10-09,0.19715
2020-10-10,0.17993
2020-10-11,0.40176
2020-10-12,0.55615
2020-10-13,0.39745
2020-10-14,0.35297
2020-10-15,0.33633
2020-10-16,0.29558
2020-10-17,0.21781
2020-10-18,0.20375
2020-10-19,0.36904
2020-10-20,0.31825
2020-10-21,0.31366
2020-10-22,0.30447
2020-10-23,0.28209
2020-10-24,0.13746
2020-10-25,0.18624
2020-10-26,0.3016
2020-10-27,0.32284
2020-10-28,0.28783
2020-10-29,0.28582
2020-10-30,0.25167
2020-10-31,0.16013
2020-11-01,0.26831
2020-11-02,0.36072
2020-11-03,0.30763
2020-11-04,0.27291
2020-11-05,0.28266
2020-11-06,0.24335
2020-11-07,0.13631
2020-11-08,0.1696
2020-11-09,0.2973
2020-11-10,0.27979
2020-11-11,0.27147
2020-11-12,0.29156
2020-11-13,0.30878
2020-11-14,0.17476
2020-11-15,0.24335
2020-11-16,0.49445
2020-11-17,0.60292
2020-11-18,0.91946
2020-11-19,0.85517
2020-11-20,1.22967
2020-11-21,0.45571
2020-11-22,1.28936
2020-11-23,2.57098
2020-11-24,1.37517
2020-11-25,1.11488
2020-11-26,1.65841
2020-11-27,1.17171
2020-11-28,0.40032
2020-11-29,0.68988
2020-11-30,1.32036
2020-12-01,0.98316
2020-12-02,0.81643
2020-12-03,0.74211
2020-12-04,1.71724
2020-12-05,0.50076
2020-12-06,1.30027
2020-12-07,2.41717
