date,유안타
2020-03-20,9.47368
2020-03-21,2.5506
2020-03-22,2.99595
2020-03-23,9.83805
2020-03-24,9.47368
2020-03-25,12.44939
2020-03-26,10.66801
2020-03-27,9.73684
2020-03-28,3.03643
2020-03-29,2.59109
2020-03-30,8.74493
2020-03-31,8.50202
2020-04-01,9.21052
2020-04-02,7.4089
2020-04-03,7.6923
2020-04-04,2.1255
2020-04-05,2.2672
2020-04-06,8.58299
2020-04-07,8.15789
2020-04-08,7.53036
2020-04-09,8.17813
2020-04-10,7.04453
2020-04-11,2.63157
2020-04-12,2.93522
2020-04-13,7.53036
2020-04-14,6.94331
2020-04-15,3.78542
2020-04-16,7.73279
2020-04-17,8.86639
2020-04-18,2.4089
2020-04-19,2.87449
2020-04-20,8.44129
2020-04-21,9.25101
2020-04-22,7.61133
2020-04-23,7.85425
2020-04-24,7.28744
2020-04-25,3.36032
2020-04-26,2.91497
2020-04-27,8.29959
2020-04-28,6.88259
2020-04-29,8.17813
2020-04-30,2.71255
2020-05-01,3.2591
2020-05-02,1.88259
2020-05-03,2.16599
2020-05-04,8.1174
2020-05-05,3.29959
2020-05-06,7.9757
2020-05-07,6.92307
2020-05-08,6.15384
2020-05-09,2.48987
2020-05-10,2.59109
2020-05-11,7.77327
2020-05-12,6.51821
2020-05-13,7.16599
2020-05-14,6.03238
2020-05-15,7.24696
2020-05-16,1.92307
2020-05-17,2.38866
2020-05-18,6.74089
2020-05-19,6.61943
2020-05-20,7.18623
2020-05-21,7.16599
2020-05-22,6.57894
2020-05-23,2.30769
2020-05-24,2.51012
2020-05-25,8.84615
2020-05-26,7.95546
2020-05-27,7.1255
2020-05-28,7.28744
2020-05-29,6.31578
2020-05-30,1.9838
2020-05-31,2.34817
2020-06-01,7.87449
2020-06-02,8.01619
2020-06-03,8.1174
2020-06-04,9.61538
2020-06-05,7.10526
2020-06-06,1.9838
2020-06-07,1.96356
2020-06-08,7.53036
2020-06-09,8.1174
2020-06-10,7.00404
2020-06-11,7.91497
2020-06-12,6.49797
2020-06-13,2.18623
2020-06-14,1.74089
2020-06-15,7.28744
2020-06-16,6.76113
2020-06-17,6.68016
2020-06-18,6.63967
2020-06-19,6.90283
2020-06-20,2.00404
2020-06-21,2.16599
2020-06-22,6.43724
2020-06-23,6.5587
2020-06-24,7.30769
2020-06-25,7.59109
2020-06-26,6.39676
2020-06-27,2.00404
2020-06-28,1.92307
2020-06-29,7.20647
2020-06-30,6.82186
2020-07-01,6.68016
2020-07-02,6.2753
2020-07-03,6.51821
2020-07-04,1.86234
2020-07-05,1.96356
2020-07-06,6.86234
2020-07-07,6.86234
2020-07-08,7.04453
2020-07-09,6.49797
2020-07-10,6.68016
2020-07-11,1.90283
2020-07-12,2.30769
2020-07-13,7.32793
2020-07-14,6.53846
2020-07-15,7.46963
2020-07-16,7.10526
2020-07-17,7.06477
2020-07-18,2.04453
2020-07-19,2.34817
2020-07-20,7.71255
2020-07-21,8.09716
2020-07-22,6.72064
2020-07-23,7.81376
2020-07-24,6.94331
2020-07-25,2.02429
2020-07-26,2.04453
2020-07-27,7.04453
2020-07-28,7.34817
2020-07-29,7.53036
2020-07-30,7.22672
2020-07-31,7.20647
2020-08-01,2.36842
2020-08-02,2.71255
2020-08-03,8.01619
2020-08-04,7.36842
2020-08-05,8.34008
2020-08-06,9.04858
2020-08-07,7.28744
2020-08-08,2.34817
2020-08-09,2.67206
2020-08-10,9.23076
2020-08-11,7.77327
2020-08-12,8.78542
2020-08-13,7.06477
2020-08-14,7.51012
2020-08-15,2.4089
2020-08-16,1.86234
2020-08-17,2.59109
2020-08-18,7.77327
2020-08-19,7.22672
2020-08-20,6.61943
2020-08-21,6.45748
2020-08-22,2.32793
2020-08-23,2.30769
2020-08-24,6.68016
2020-08-25,8.29959
2020-08-26,8.21862
2020-08-27,7.28744
2020-08-28,7.51012
2020-08-29,2.75303
2020-08-30,2.28744
2020-08-31,8.36032
2020-09-01,8.05668
2020-09-02,7.9757
2020-09-03,7.95546
2020-09-04,6.9838
2020-09-05,2.00404
2020-09-06,2.34817
2020-09-07,9.69635
2020-09-08,7.48987
2020-09-09,8.15789
2020-09-10,8.15789
2020-09-11,6.9838
2020-09-12,2.61133
2020-09-13,2.28744
2020-09-14,8.54251
2020-09-15,7.61133
2020-09-16,8.01619
2020-09-17,7.20647
2020-09-18,7.10526
2020-09-19,2.5506
2020-09-20,2.04453
2020-09-21,7.95546
2020-09-22,6.88259
2020-09-23,6.76113
2020-09-24,6.7004
2020-09-25,6.21457
2020-09-26,1.90283
2020-09-27,2.08502
2020-09-28,7.08502
2020-09-29,6.33603
2020-09-30,2.1255
2020-10-01,1.76113
2020-10-02,1.68016
2020-10-03,1.94331
2020-10-04,2.4089
2020-10-05,7.67206
2020-10-06,7.34817
2020-10-07,6.17408
2020-10-08,6.07287
2020-10-09,2.48987
2020-10-10,1.90283
2020-10-11,1.59919
2020-10-12,6.39676
2020-10-13,5.87044
2020-10-14,5.54655
2020-10-15,6.07287
2020-10-16,5.36437
2020-10-17,2.14574
2020-10-18,1.8421
2020-10-19,5.52631
2020-10-20,5.80971
2020-10-21,6.19433
2020-10-22,5.16194
2020-10-23,5.5668
2020-10-24,2.08502
2020-10-25,2.2672
2020-10-26,6.78137
2020-10-27,5.76923
2020-10-28,5.34412
2020-10-29,6.96356
2020-10-30,5.36437
2020-10-31,1.88259
2020-11-01,2.18623
2020-11-02,5.8502
2020-11-03,5.68825
2020-11-04,5.0
2020-11-05,5.1417
2020-11-06,5.12145
2020-11-07,1.53846
2020-11-08,1.90283
2020-11-09,5.97165
2020-11-10,6.86234
2020-11-11,6.2753
2020-11-12,6.1336
2020-11-13,6.7004
2020-11-14,1.88259
2020-11-15,2.00404
2020-11-16,7.6923
2020-11-17,7.18623
2020-11-18,7.51012
2020-11-19,6.07287
2020-11-20,6.09311
2020-11-21,1.74089
2020-11-22,2.02429
2020-11-23,7.79352
2020-11-24,7.9757
2020-11-25,7.67206
2020-11-26,7.18623
2020-11-27,7.46963
2020-11-28,2.10526
2020-11-29,2.51012
2020-11-30,8.15789
2020-12-01,7.73279
2020-12-02,8.01619
2020-12-03,7.4089
2020-12-04,7.95546
2020-12-05,2.00404
2020-12-06,2.48987
2020-12-07,7.91497
2020-12-08,7.51012
2020-12-09,8.80566
2020-12-10,9.87854
2020-12-11,22.59109
2020-12-12,4.55465
2020-12-13,3.01619
2020-12-14,8.09716
2020-12-15,8.50202
2020-12-16,9.47368
2020-12-17,8.90688
2020-12-18,7.1255
2020-12-19,3.27935
2020-12-20,3.01619
2020-12-21,8.92712
2020-12-22,6.417
2020-12-23,7.93522
2020-12-24,9.83805
2020-12-25,3.38056
2020-12-26,2.38866
2020-12-27,3.72469
2020-12-28,9.35222
2020-12-29,8.72469
2020-12-30,9.00809
2020-12-31,6.61943
2021-01-01,3.1174
2021-01-02,3.05668
2021-01-03,3.46153
2021-01-04,10.76923
2021-01-05,10.18218
2021-01-06,12.1255
2021-01-07,10.38461
2021-01-08,13.1174
2021-01-09,4.55465
2021-01-10,4.14979
2021-01-11,14.81781
2021-01-12,10.78947
2021-01-13,11.33603
2021-01-14,9.55465
2021-01-15,10.44534
2021-01-16,3.34008
2021-01-17,3.29959
2021-01-18,9.51417
2021-01-19,10.46558
2021-01-20,10.52631
2021-01-21,10.50607
2021-01-22,10.87044
2021-01-23,3.44129
2021-01-24,3.01619
2021-01-25,12.42914
2021-01-26,8.98785
2021-01-27,8.78542
2021-01-28,8.56275
2021-01-29,8.07692
2021-01-30,3.13765
2021-01-31,3.17813
2021-02-01,9.45344
2021-02-02,8.84615
2021-02-03,8.34008
2021-02-04,7.93522
2021-02-05,9.00809
2021-02-06,3.01619
2021-02-07,2.89473
2021-02-08,8.68421
2021-02-09,8.27935
2021-02-10,8.38056
2021-02-11,3.42105
2021-02-12,2.67206
2021-02-13,2.6923
2021-02-14,3.36032
2021-02-15,10.18218
2021-02-16,9.75708
2021-02-17,9.06882
2021-02-18,9.63562
2021-02-19,8.4008
2021-02-20,2.73279
2021-02-21,2.95546
2021-02-22,9.93927
2021-02-23,9.35222
2021-02-24,9.02834
2021-02-25,9.49392
2021-02-26,8.23886
2021-02-27,4.25101
2021-02-28,3.13765
2021-03-01,4.75708
2021-03-02,10.20242
2021-03-03,8.4008
2021-03-04,7.5506
2021-03-05,7.20647
2021-03-06,2.57085
2021-03-07,2.32793
2021-03-08,7.67206
2021-03-09,6.39676
2021-03-10,8.58299
2021-03-11,7.71255
2021-03-12,8.70445
2021-03-13,2.73279
2021-03-14,2.44939
2021-03-15,8.38056
2021-03-16,7.22672
2021-03-17,6.86234
2021-03-18,8.56275
2021-03-19,7.59109
2021-03-20,3.03643
2021-03-21,2.4089
2021-03-22,9.57489
2021-03-23,8.05668
2021-03-24,8.86639
2021-03-25,9.31174
2021-03-26,8.27935
2021-03-27,2.93522
2021-03-28,2.20647
2021-03-29,7.4089
2021-03-30,8.68421
2021-03-31,10.48582
2021-04-01,8.92712
2021-04-02,8.42105
2021-04-03,3.07692
2021-04-04,3.23886
2021-04-05,8.92712
2021-04-06,8.1174
2021-04-07,20.58704
2021-04-08,11.63967
2021-04-09,8.34008
2021-04-10,2.93522
2021-04-11,2.4089
2021-04-12,7.93522
2021-04-13,8.2591
2021-04-14,8.56275
2021-04-15,8.17813
2021-04-16,8.88663
2021-04-17,2.65182
2021-04-18,2.71255
2021-04-19,8.05668
2021-04-20,11.74089
2021-04-21,8.84615
2021-04-22,6.88259
2021-04-23,7.63157
2021-04-24,2.6923
2021-04-25,2.04453
2021-04-26,7.61133
