date,벤처기업인증
2020-03-20,27.75665
2020-03-21,5.32319
2020-03-22,4.94296
2020-03-23,25.28517
2020-03-24,29.27756
2020-03-25,25.66539
2020-03-26,28.70722
2020-03-27,23.76425
2020-03-28,5.13307
2020-03-29,4.56273
2020-03-30,33.26996
2020-03-31,29.46768
2020-04-01,19.96197
2020-04-02,22.62357
2020-04-03,18.44106
2020-04-04,4.94296
2020-04-05,4.56273
2020-04-06,24.14448
2020-04-07,26.23574
2020-04-08,24.71482
2020-04-09,27.18631
2020-04-10,20.72243
2020-04-11,5.13307
2020-04-12,3.61216
2020-04-13,25.47528
2020-04-14,27.37642
2020-04-15,7.41444
2020-04-16,20.3422
2020-04-17,19.96197
2020-04-18,4.56273
2020-04-19,4.1825
2020-04-20,27.56653
2020-04-21,21.10266
2020-04-22,23.95437
2020-04-23,22.24334
2020-04-24,19.77186
2020-04-25,2.47148
2020-04-26,5.5133
2020-04-27,26.04562
2020-04-28,20.15209
2020-04-29,16.3498
2020-04-30,4.1825
2020-05-01,4.75285
2020-05-02,2.66159
2020-05-03,3.23193
2020-05-04,14.63878
2020-05-05,8.1749
2020-05-06,23.76425
2020-05-07,19.77186
2020-05-08,19.39163
2020-05-09,5.13307
2020-05-10,5.13307
2020-05-11,24.90494
2020-05-12,19.39163
2020-05-13,26.04562
2020-05-14,25.66539
2020-05-15,22.81368
2020-05-16,4.94296
2020-05-17,4.75285
2020-05-18,23.95437
2020-05-19,29.65779
2020-05-20,25.28517
2020-05-21,18.44106
2020-05-22,24.14448
2020-05-23,4.94296
2020-05-24,3.04182
2020-05-25,24.3346
2020-05-26,18.82129
2020-05-27,24.52471
2020-05-28,24.3346
2020-05-29,19.58174
2020-05-30,6.08365
2020-05-31,4.37262
2020-06-01,20.53231
2020-06-02,25.28517
2020-06-03,23.95437
2020-06-04,23.19391
2020-06-05,20.53231
2020-06-06,4.56273
2020-06-07,4.94296
2020-06-08,20.53231
2020-06-09,19.58174
2020-06-10,22.81368
2020-06-11,24.14448
2020-06-12,25.66539
2020-06-13,5.5133
2020-06-14,3.23193
2020-06-15,26.80608
2020-06-16,24.90494
2020-06-17,25.85551
2020-06-18,23.76425
2020-06-19,16.53992
2020-06-20,3.23193
2020-06-21,3.99239
2020-06-22,22.43346
2020-06-23,21.86311
2020-06-24,26.80608
2020-06-25,19.77186
2020-06-26,17.11026
2020-06-27,3.80228
2020-06-28,2.28136
2020-06-29,20.53231
2020-06-30,18.25095
2020-07-01,19.58174
2020-07-02,20.3422
2020-07-03,18.44106
2020-07-04,3.42205
2020-07-05,3.04182
2020-07-06,20.3422
2020-07-07,22.43346
2020-07-08,26.04562
2020-07-09,20.72243
2020-07-10,19.77186
2020-07-11,3.61216
2020-07-12,2.47148
2020-07-13,19.20152
2020-07-14,20.72243
2020-07-15,18.82129
2020-07-16,20.3422
2020-07-17,20.3422
2020-07-18,2.28136
2020-07-19,3.99239
2020-07-20,17.6806
2020-07-21,24.14448
2020-07-22,23.95437
2020-07-23,24.14448
2020-07-24,19.58174
2020-07-25,2.85171
2020-07-26,3.99239
2020-07-27,23.19391
2020-07-28,28.13688
2020-07-29,27.18631
2020-07-30,26.42585
2020-07-31,15.96958
2020-08-01,3.42205
2020-08-02,5.13307
2020-08-03,21.29277
2020-08-04,20.15209
2020-08-05,21.86311
2020-08-06,18.25095
2020-08-07,20.91254
2020-08-08,0.95057
2020-08-09,3.61216
2020-08-10,21.10266
2020-08-11,22.24334
2020-08-12,21.673
2020-08-13,20.72243
2020-08-14,19.39163
2020-08-15,3.04182
2020-08-16,1.52091
2020-08-17,7.41444
2020-08-18,18.06083
2020-08-19,25.85551
2020-08-20,21.86311
2020-08-21,22.43346
2020-08-22,4.1825
2020-08-23,5.89353
2020-08-24,22.81368
2020-08-25,25.47528
2020-08-26,27.94676
2020-08-27,27.75665
2020-08-28,25.47528
2020-08-29,4.37262
2020-08-30,4.56273
2020-08-31,21.673
2020-09-01,24.14448
2020-09-02,38.78326
2020-09-03,38.02281
2020-09-04,31.55893
2020-09-05,8.1749
2020-09-06,4.56273
2020-09-07,27.18631
2020-09-08,28.32699
2020-09-09,22.81368
2020-09-10,29.27756
2020-09-11,30.79847
2020-09-12,5.13307
2020-09-13,3.42205
2020-09-14,28.51711
2020-09-15,26.42585
2020-09-16,28.70722
2020-09-17,21.86311
2020-09-18,19.96197
2020-09-19,3.80228
2020-09-20,3.61216
2020-09-21,28.13688
2020-09-22,25.85551
2020-09-23,23.19391
2020-09-24,20.72243
2020-09-25,20.15209
2020-09-26,5.5133
2020-09-27,2.09125
2020-09-28,18.25095
2020-09-29,11.78707
2020-09-30,3.80228
2020-10-01,2.28136
2020-10-02,2.09125
2020-10-03,2.66159
2020-10-04,3.04182
2020-10-05,20.72243
2020-10-06,25.85551
2020-10-07,19.96197
2020-10-08,20.91254
2020-10-09,5.13307
2020-10-10,2.09125
2020-10-11,5.89353
2020-10-12,26.99619
2020-10-13,22.05323
2020-10-14,23.19391
2020-10-15,18.82129
2020-10-16,18.25095
2020-10-17,5.70342
2020-10-18,4.94296
2020-10-19,25.85551
2020-10-20,23.95437
2020-10-21,23.57414
2020-10-22,26.42585
2020-10-23,20.15209
2020-10-24,3.99239
2020-10-25,3.61216
2020-10-26,19.58174
2020-10-27,20.15209
2020-10-28,24.90494
2020-10-29,25.85551
2020-10-30,21.10266
2020-10-31,4.75285
2020-11-01,3.42205
2020-11-02,19.58174
2020-11-03,23.0038
2020-11-04,20.72243
2020-11-05,31.36882
2020-11-06,28.70722
2020-11-07,6.65399
2020-11-08,5.32319
2020-11-09,21.673
2020-11-10,21.29277
2020-11-11,27.75665
2020-11-12,25.47528
2020-11-13,22.24334
2020-11-14,3.80228
2020-11-15,4.1825
2020-11-16,22.81368
2020-11-17,25.85551
2020-11-18,27.18631
2020-11-19,22.43346
2020-11-20,25.66539
2020-11-21,3.23193
2020-11-22,3.61216
2020-11-23,23.38403
2020-11-24,27.94676
2020-11-25,24.14448
2020-11-26,25.09505
2020-11-27,22.43346
2020-11-28,4.37262
2020-11-29,5.32319
2020-11-30,23.19391
2020-12-01,26.04562
2020-12-02,23.95437
2020-12-03,33.26996
2020-12-04,31.74904
2020-12-05,10.45627
2020-12-06,7.03422
2020-12-07,22.62357
2020-12-08,29.65779
2020-12-09,28.51711
2020-12-10,24.71482
2020-12-11,28.89733
2020-12-12,6.65399
2020-12-13,5.5133
2020-12-14,28.51711
2020-12-15,31.1787
2020-12-16,27.75665
2020-12-17,39.16349
2020-12-18,30.79847
2020-12-19,7.03422
2020-12-20,6.27376
2020-12-21,29.8479
2020-12-22,25.85551
2020-12-23,25.66539
2020-12-24,28.70722
2020-12-25,6.27376
2020-12-26,4.1825
2020-12-27,5.89353
2020-12-28,27.37642
2020-12-29,29.46768
2020-12-30,24.52471
2020-12-31,15.01901
