date,뉴질랜드환율
2020-03-20,100.0
2020-03-21,28.96532
2020-03-22,21.45244
2020-03-23,79.67553
2020-03-24,57.81228
2020-03-25,53.54407
2020-03-26,58.801
2020-03-27,48.78846
2020-03-28,19.00153
2020-03-29,14.76813
2020-03-30,40.36345
2020-03-31,37.80114
2020-04-01,38.6506
2020-04-02,34.34062
2020-04-03,34.15958
2020-04-04,15.47138
2020-04-05,14.19022
2020-04-06,32.32836
2020-04-07,32.05681
2020-04-08,29.45272
2020-04-09,28.88177
2020-04-10,26.11753
2020-04-11,12.01086
2020-04-12,10.5417
2020-04-13,26.07575
2020-04-14,26.98788
2020-04-15,16.62721
2020-04-16,32.01503
2020-04-17,28.00445
2020-04-18,12.03871
2020-04-19,10.2423
2020-04-20,25.5605
2020-04-21,26.50745
2020-04-22,25.3168
2020-04-23,26.36819
2020-04-24,23.11655
2020-04-25,10.79933
2020-04-26,9.68528
2020-04-27,22.56649
2020-04-28,25.69976
2020-04-29,22.17657
2020-04-30,14.0997
2020-05-01,12.77677
2020-05-02,9.52513
2020-05-03,9.80364
2020-05-04,21.58473
2020-05-05,13.89778
2020-05-06,20.59601
2020-05-07,21.32711
2020-05-08,21.16696
2020-05-09,10.36067
2020-05-10,9.13521
2020-05-11,21.54296
2020-05-12,20.8049
2020-05-13,24.98259
2020-05-14,25.04525
2020-05-15,20.88845
2020-05-16,9.50424
2020-05-17,9.41373
2020-05-18,21.50814
2020-05-19,22.33672
2020-05-20,23.75017
2020-05-21,23.64573
2020-05-22,21.59866
2020-05-23,10.64614
2020-05-24,9.86631
2020-05-25,23.80587
2020-05-26,25.1497
2020-05-27,26.34034
2020-05-28,25.32377
2020-05-29,22.03732
2020-05-30,11.20317
2020-05-31,10.24926
2020-06-01,23.41595
2020-06-02,26.76507
2020-06-03,37.12574
2020-06-04,31.18646
2020-06-05,32.85057
2020-06-06,13.96741
2020-06-07,11.03606
2020-06-08,31.17253
2020-06-09,33.29619
2020-06-10,26.68152
2020-06-11,24.92689
2020-06-12,23.40203
2020-06-13,10.674
2020-06-14,9.24662
2020-06-15,24.56482
2020-06-16,24.76674
2020-06-17,22.62916
2020-06-18,21.82843
2020-06-19,19.50285
2020-06-20,9.36499
2020-06-21,8.59211
2020-06-22,20.93719
2020-06-23,21.79362
2020-06-24,23.17226
2020-06-25,23.07478
2020-06-26,20.55424
2020-06-27,9.54602
2020-06-28,8.34145
2020-06-29,20.8606
2020-06-30,20.92326
2020-07-01,21.19481
2020-07-02,19.37056
2020-07-03,17.9014
2020-07-04,8.64085
2020-07-05,7.93761
2020-07-06,20.11558
2020-07-07,18.84834
2020-07-08,18.37487
2020-07-09,19.78136
2020-07-10,18.35398
2020-07-11,8.94025
2020-07-12,8.8567
2020-07-13,21.48725
2020-07-14,20.58209
2020-07-15,20.53335
2020-07-16,18.9319
2020-07-17,17.28867
2020-07-18,8.67567
2020-07-19,7.97242
2020-07-20,18.20777
2020-07-21,19.0433
2020-07-22,23.66662
2020-07-23,25.65798
2020-07-24,21.48725
2020-07-25,10.09608
2020-07-26,8.37627
2020-07-27,20.53335
2020-07-28,22.07213
2020-07-29,20.72831
2020-07-30,19.18952
2020-07-31,18.70909
2020-08-01,9.55994
2020-08-02,8.18131
2020-08-03,19.55159
2020-08-04,19.54463
2020-08-05,18.85531
2020-08-06,19.8301
2020-08-07,17.37223
2020-08-08,9.21877
2020-08-09,7.29007
2020-08-10,20.52638
2020-08-11,21.85628
2020-08-12,26.591
2020-08-13,22.10694
2020-08-14,22.14872
2020-08-15,9.78276
2020-08-16,8.52248
2020-08-17,14.24592
2020-08-18,20.66564
2020-08-19,20.51246
2020-08-20,21.92591
2020-08-21,20.33839
2020-08-22,8.94025
2020-08-23,7.77746
2020-08-24,18.9319
2020-08-25,20.0738
2020-08-26,17.4906
2020-08-27,18.32613
2020-08-28,17.91533
2020-08-29,9.78972
2020-08-30,8.65478
2020-08-31,22.32279
2020-09-01,25.18451
2020-09-02,25.67887
2020-09-03,22.39938
2020-09-04,20.17128
2020-09-05,9.76187
2020-09-06,8.89848
2020-09-07,19.24523
2020-09-08,18.43058
2020-09-09,19.64907
2020-09-10,18.51413
2020-09-11,17.75518
2020-09-12,7.9585
2020-09-13,7.2831
2020-09-14,18.48628
2020-09-15,18.56983
2020-09-16,17.62985
2020-09-17,19.59337
2020-09-18,19.45411
2020-09-19,8.97507
2020-09-20,6.80963
2020-09-21,20.86756
2020-09-22,24.40467
2020-09-23,26.82773
2020-09-24,27.55883
2020-09-25,22.51775
2020-09-26,9.42765
2020-09-27,8.27182
2020-09-28,20.38016
