date,금값시세
2020-03-20,55.4948
2020-03-21,28.4211
2020-03-22,21.65425
2020-03-23,40.38244
2020-03-24,41.56056
2020-03-25,42.57982
2020-03-26,38.84043
2020-03-27,32.30804
2020-03-28,19.84837
2020-03-29,15.47172
2020-03-30,28.07304
2020-03-31,27.41768
2020-04-01,26.80214
2020-04-02,25.91459
2020-04-03,23.61402
2020-04-04,15.01369
2020-04-05,11.50693
2020-04-06,25.14788
2020-04-07,27.18776
2020-04-08,26.81753
2020-04-09,23.4452
2020-04-10,29.70331
2020-04-11,16.99382
2020-04-12,28.80943
2020-04-13,41.23876
2020-04-14,42.51284
2020-04-15,22.18968
2020-04-16,36.14519
2020-04-17,38.41499
2020-04-18,20.8536
2020-04-19,15.80393
2020-04-20,30.92172
2020-04-21,36.13478
2020-04-22,35.02002
2020-04-23,33.23994
2020-04-24,37.40342
2020-04-25,19.75469
2020-04-26,19.10203
2020-04-27,61.26094
2020-04-28,36.72226
2020-04-29,29.78569
2020-04-30,19.47588
2020-05-01,18.68021
2020-05-02,16.87207
2020-05-03,15.39523
2020-05-04,25.38912
2020-05-05,17.21559
2020-05-06,49.61958
2020-05-07,23.32978
2020-05-08,21.96293
2020-05-09,15.61655
2020-05-10,11.05026
2020-05-11,22.90796
2020-05-12,22.34809
2020-05-13,20.67799
2020-05-14,22.55719
2020-05-15,23.06954
2020-05-16,13.99081
2020-05-17,11.75812
2020-05-18,33.59388
2020-05-19,55.23546
2020-05-20,27.94767
2020-05-21,25.43483
2020-05-22,24.39385
2020-05-23,14.87655
2020-05-24,13.08651
2020-05-25,24.95191
2020-05-26,24.94738
2020-05-27,23.68779
2020-05-28,24.86093
2020-05-29,23.00844
2020-05-30,13.2671
2020-05-31,13.9469
2020-06-01,24.17615
2020-06-02,23.19174
2020-06-03,23.17137
2020-06-04,21.31706
2020-06-05,19.92894
2020-06-06,11.72961
2020-06-07,9.97714
2020-06-08,20.71782
2020-06-09,21.19713
2020-06-10,20.13623
2020-06-11,19.71486
2020-06-12,20.58747
2020-06-13,11.40329
2020-06-14,10.02557
2020-06-15,21.70449
2020-06-16,20.00226
2020-06-17,18.99115
2020-06-18,17.3903
2020-06-19,16.00669
2020-06-20,10.32021
2020-06-21,9.02894
2020-06-22,26.30428
2020-06-23,35.41107
2020-06-24,20.99436
2020-06-25,21.21251
2020-06-26,17.28077
2020-06-27,11.73504
2020-06-28,9.40912
2020-06-29,19.25547
2020-06-30,18.71959
2020-07-01,24.17569
2020-07-02,57.8085
2020-07-03,18.33533
2020-07-04,10.07626
2020-07-05,12.70497
2020-07-06,35.70255
2020-07-07,21.73979
2020-07-08,24.12953
2020-07-09,25.61497
2020-07-10,20.36343
2020-07-11,12.60177
2020-07-12,11.49245
2020-07-13,37.10289
2020-07-14,46.07164
2020-07-15,34.90914
2020-07-16,28.48129
2020-07-17,26.23548
2020-07-18,16.27644
2020-07-19,13.50879
2020-07-20,24.95326
2020-07-21,25.02975
2020-07-22,36.40046
2020-07-23,43.3153
2020-07-24,45.41944
2020-07-25,76.58919
2020-07-26,24.71927
2020-07-27,57.04496
2020-07-28,72.27771
2020-07-29,73.58437
2020-07-30,47.46656
2020-07-31,41.40215
2020-08-01,26.70438
2020-08-02,20.46889
2020-08-03,35.95148
2020-08-04,33.6509
2020-08-05,72.38317
2020-08-06,51.15073
2020-08-07,47.2475
2020-08-08,27.52494
2020-08-09,20.31727
2020-08-10,41.78687
2020-08-11,43.09307
2020-08-12,100.0
2020-08-13,57.74785
2020-08-14,40.89841
2020-08-15,24.16845
2020-08-16,20.25617
2020-08-17,24.91796
2020-08-18,47.20767
2020-08-19,39.4528
2020-08-20,38.52949
2020-08-21,32.55289
2020-08-22,18.0787
2020-08-23,14.56833
2020-08-24,31.53544
2020-08-25,29.57568
2020-08-26,27.32852
2020-08-27,27.89019
2020-08-28,24.97544
2020-08-29,16.81594
2020-08-30,14.40448
2020-08-31,27.38735
2020-09-01,26.40883
2020-09-02,24.94602
2020-09-03,23.83715
2020-09-04,27.88476
2020-09-05,14.61902
2020-09-06,12.31256
2020-09-07,23.03469
2020-09-08,22.79255
2020-09-09,24.9691
2020-09-10,22.69524
2020-09-11,20.81694
2020-09-12,12.98422
2020-09-13,11.53861
2020-09-14,21.17947
2020-09-15,21.84661
2020-09-16,20.61915
2020-09-17,20.10817
2020-09-18,19.59175
2020-09-19,12.53072
2020-09-20,9.60646
2020-09-21,20.03258
2020-09-22,22.43092
2020-09-23,22.05933
2020-09-24,25.86933
2020-09-25,27.35884
2020-09-26,12.70904
2020-09-27,10.51664
2020-09-28,19.44782
2020-09-29,19.40075
2020-09-30,10.9973
2020-10-01,13.45538
2020-10-02,12.32976
2020-10-03,11.91201
2020-10-04,10.59675
2020-10-05,20.76308
2020-10-06,19.70535
2020-10-07,18.70691
2020-10-08,17.6252
2020-10-09,11.24035
2020-10-10,10.7882
2020-10-11,9.39102
2020-10-12,19.90404
2020-10-13,18.37335
2020-10-14,18.39371
2020-10-15,18.18733
2020-10-16,16.59643
2020-10-17,10.36547
2020-10-18,8.83658
2020-10-19,17.65643
2020-10-20,17.3989
2020-10-21,17.70576
2020-10-22,18.01262
2020-10-23,15.92839
2020-10-24,10.39987
2020-10-25,8.88546
2020-10-26,17.4428
2020-10-27,17.27669
2020-10-28,17.08932
2020-10-29,17.79718
2020-10-30,20.73502
