date,오늘의주식시황
2020-03-20,26.27737
2020-03-21,2.18978
2020-03-22,1.21654
2020-03-23,22.38442
2020-03-24,12.65206
2020-03-25,10.46228
2020-03-26,11.92214
2020-03-27,9.24574
2020-03-28,1.21654
2020-03-30,9.24574
2020-03-31,4.37956
2020-04-01,8.2725
2020-04-02,3.89294
2020-04-03,2.67639
2020-04-06,7.29927
2020-04-07,3.16301
2020-04-08,1.94647
2020-04-09,2.67639
2020-04-10,5.10948
2020-04-13,3.64963
2020-04-14,3.40632
2020-04-16,1.70316
2020-04-17,2.43309
2020-04-20,3.16301
2020-04-21,3.89294
2020-04-22,3.40632
2020-04-24,2.43309
2020-04-27,1.45985
2020-05-04,5.10948
2020-05-11,1.94647
2020-05-12,1.94647
2020-05-13,2.18978
2020-05-15,1.45985
2020-05-19,1.70316
2020-05-20,1.94647
2020-05-21,1.70316
2020-05-22,2.9197
2020-05-25,1.45985
2020-05-26,1.21654
2020-05-27,2.18978
2020-05-28,6.08272
2020-05-29,1.70316
2020-06-02,2.43309
2020-06-03,1.94647
2020-06-04,3.64963
2020-06-05,1.45985
2020-06-08,2.43309
2020-06-09,1.94647
2020-06-10,2.67639
2020-06-11,4.37956
2020-06-12,10.21897
2020-06-15,30.17031
2020-06-16,4.37956
2020-06-17,1.70316
2020-06-18,1.94647
2020-06-19,1.45985
2020-06-22,1.45985
2020-06-23,2.67639
2020-06-25,4.86618
2020-06-26,1.21654
2020-06-29,3.16301
2020-07-02,1.21654
2020-07-08,1.45985
2020-07-09,1.94647
2020-07-14,1.45985
2020-07-16,1.21654
2020-07-20,2.9197
2020-07-22,1.21654
2020-07-23,1.94647
2020-07-24,1.45985
2020-07-27,3.16301
2020-07-28,1.21654
2020-08-03,1.21654
2020-08-10,1.45985
2020-08-11,1.21654
2020-08-12,4.13625
2020-08-13,2.18978
2020-08-14,9.00243
2020-08-17,1.94647
2020-08-18,10.46228
2020-08-19,3.40632
2020-08-20,19.46472
2020-08-21,3.16301
2020-08-24,1.94647
2020-08-25,2.43309
2020-08-26,1.70316
2020-08-27,3.40632
2020-08-28,2.18978
2020-08-31,5.83941
2020-09-01,5.35279
2020-09-02,3.64963
2020-09-03,6.81265
2020-09-04,4.86618
2020-09-08,2.67639
2020-09-09,2.9197
2020-09-10,1.70316
2020-09-11,1.45985
2020-09-14,1.70316
2020-09-15,1.45985
2020-09-16,3.64963
2020-09-17,5.83941
2020-09-18,2.18978
2020-09-21,5.10948
2020-09-22,13.38199
2020-09-23,3.40632
2020-09-24,12.16545
2020-09-25,4.37956
2020-09-28,4.62287
2020-09-29,1.21654
2020-10-05,5.10948
2020-10-06,2.18978
2020-10-07,4.37956
2020-10-08,3.16301
2020-10-12,2.43309
2020-10-13,5.83941
2020-10-14,4.37956
2020-10-15,7.54257
2020-10-16,7.54257
2020-10-19,5.10948
2020-10-20,7.29927
2020-10-21,5.35279
2020-10-22,5.35279
2020-10-23,2.43309
2020-10-26,8.02919
2020-10-27,5.35279
2020-10-28,4.37956
2020-10-29,8.02919
2020-10-30,9.97566
2020-11-02,6.32603
2020-11-03,8.75912
2020-11-04,10.9489
2020-11-05,15.08515
2020-11-06,13.86861
2020-11-07,2.18978
2020-11-09,9.97566
2020-11-10,12.40875
2020-11-11,12.16545
2020-11-12,15.32846
2020-11-13,9.73236
2020-11-14,2.43309
2020-11-16,9.00243
2020-11-17,10.9489
2020-11-18,9.97566
2020-11-19,11.67883
2020-11-20,12.65206
2020-11-21,1.45985
2020-11-23,5.5961
2020-11-24,8.75912
2020-11-25,14.59854
2020-11-26,8.2725
2020-11-27,10.21897
2020-11-28,2.67639
2020-11-30,11.19221
2020-12-01,9.24574
2020-12-02,10.70559
2020-12-03,14.11192
2020-12-04,8.51581
2020-12-06,1.21654
2020-12-07,9.48905
2020-12-08,14.59854
2020-12-09,11.67883
2020-12-10,12.16545
2020-12-11,7.29927
2020-12-12,2.67639
2020-12-14,8.02919
2020-12-15,9.00243
2020-12-16,9.24574
2020-12-17,12.16545
2020-12-18,9.24574
2020-12-19,1.45985
