date,오늘주식
2020-03-20,3.20149
2020-03-21,0.248
2020-03-22,0.09662
2020-03-23,2.26423
2020-03-24,2.50579
2020-03-25,2.3834
2020-03-26,2.54122
2020-03-27,2.46714
2020-03-28,0.29309
2020-03-29,0.11917
2020-03-30,2.11285
2020-03-31,1.55565
2020-04-01,2.53156
2020-04-02,2.00979
2020-04-03,1.51056
2020-04-04,0.19969
2020-04-05,0.04509
2020-04-06,1.70381
2020-04-07,1.68448
2020-04-08,1.55565
2020-04-09,1.33664
2020-04-10,1.57175
2020-04-11,0.16748
2020-04-12,0.12561
2020-04-13,1.60396
2020-04-14,1.16271
2020-04-15,4.6734
2020-04-16,1.60396
2020-04-17,1.58786
2020-04-18,0.17392
2020-04-19,0.05475
2020-04-20,1.2078
2020-04-21,1.96792
2020-04-22,1.7489
2020-04-23,1.37206
2020-04-24,1.52022
2020-04-25,0.13205
2020-04-26,0.09018
2020-04-27,1.21424
2020-04-28,1.20458
2020-04-29,0.96946
2020-04-30,1.33664
2020-05-01,4.81834
2020-05-02,0.16104
2020-05-03,0.05153
2020-05-04,2.07742
2020-05-05,0.36395
2020-05-06,1.14661
2020-05-07,1.02099
2020-05-08,0.98879
2020-05-09,0.11594
2020-05-10,0.05153
2020-05-11,1.12406
2020-05-12,1.30765
2020-05-13,1.12406
2020-05-14,1.24323
2020-05-15,1.13694
2020-05-16,0.08696
2020-05-17,0.06119
2020-05-18,1.10474
2020-05-19,1.27222
2020-05-20,1.34952
2020-05-21,1.32697
2020-05-22,1.39139
2020-05-23,0.09662
2020-05-24,0.05153
2020-05-25,1.16915
2020-05-26,1.49123
2020-05-27,1.31087
2020-05-28,1.95825
2020-05-29,1.19492
2020-05-30,0.11594
2020-05-31,0.06763
2020-06-01,1.21424
2020-06-02,1.18204
2020-06-03,1.6716
2020-06-04,1.40749
2020-06-05,1.31731
2020-06-06,0.13527
2020-06-07,0.05475
2020-06-08,1.38495
2020-06-09,1.44936
2020-06-10,1.22713
2020-06-11,1.42682
2020-06-12,2.74413
2020-06-13,0.1707
2020-06-14,0.05153
2020-06-15,5.46895
2020-06-16,2.29322
2020-06-17,2.12896
2020-06-18,1.37206
2020-06-19,1.35596
2020-06-20,0.10306
2020-06-21,0.05475
2020-06-22,1.34952
2020-06-23,1.32697
2020-06-24,1.39783
2020-06-25,1.63295
2020-06-26,1.10474
2020-06-27,0.11594
2020-06-28,0.05475
