date,부동산정보
2020-11-07,36.36363
2020-11-08,36.79653
2020-11-09,61.03896
2020-11-10,59.30735
2020-11-11,57.57575
2020-11-12,47.18614
2020-11-13,55.84415
2020-11-14,41.12554
2020-11-15,32.46753
2020-11-16,68.39826
2020-11-17,61.90476
2020-11-18,64.06926
2020-11-19,64.50216
2020-11-20,53.67965
2020-11-21,47.61904
2020-11-22,38.96103
2020-11-23,60.60606
2020-11-24,53.24675
2020-11-25,49.78354
2020-11-26,53.67965
2020-11-27,45.02164
2020-11-28,34.19913
2020-11-29,29.00432
2020-11-30,67.53246
2020-12-01,50.21645
2020-12-02,43.72294
2020-12-03,58.44155
2020-12-04,39.82683
2020-12-05,35.49783
2020-12-06,40.25974
2020-12-07,58.87445
2020-12-08,62.77056
2020-12-09,57.14285
2020-12-10,54.54545
2020-12-11,57.14285
2020-12-12,37.66233
2020-12-13,32.90043
2020-12-14,52.38095
2020-12-15,61.47186
2020-12-16,69.26406
2020-12-17,56.70995
2020-12-18,40.69264
2020-12-19,41.99134
2020-12-20,33.76623
2020-12-21,57.14285
2020-12-22,60.17316
2020-12-23,56.27705
2020-12-24,42.42424
2020-12-25,35.49783
2020-12-26,38.52813
2020-12-27,32.90043
2020-12-28,48.91774
2020-12-29,54.54545
2020-12-30,59.30735
2020-12-31,45.02164
2021-01-01,29.87012
2021-01-02,43.29004
2021-01-03,32.46753
2021-01-04,55.84415
2021-01-05,64.06926
2021-01-06,67.53246
2021-01-07,51.51515
2021-01-08,44.15584
2021-01-09,38.09523
2021-01-10,36.36363
2021-01-11,65.36796
2021-01-12,58.00865
2021-01-13,56.70995
2021-01-14,48.05194
2021-01-15,54.97835
2021-01-16,48.91774
2021-01-17,47.61904
2021-01-18,56.70995
2021-01-19,51.94805
2021-01-20,67.53246
2021-01-21,60.17316
2021-01-22,53.24675
2021-01-23,46.32034
2021-01-24,46.32034
2021-01-25,80.51948
2021-01-26,80.51948
2021-01-27,61.03896
2021-01-28,65.36796
2021-01-29,64.50216
2021-01-30,38.96103
2021-01-31,53.67965
2021-02-01,60.17316
2021-02-02,52.81385
2021-02-03,72.29437
2021-02-04,63.20346
2021-02-05,63.20346
2021-02-06,34.19913
2021-02-07,35.06493
2021-02-08,60.60606
2021-02-09,58.87445
2021-02-10,45.02164
2021-02-11,34.63203
2021-02-12,24.67532
2021-02-13,40.69264
2021-02-14,38.96103
2021-02-15,76.19047
2021-02-16,62.77056
2021-02-17,64.93506
2021-02-18,67.96536
2021-02-19,74.45887
2021-02-20,51.08225
2021-02-21,61.47186
2021-02-22,79.22077
2021-02-23,70.12987
2021-02-24,66.23376
2021-02-25,80.51948
2021-02-26,73.16017
2021-02-27,59.30735
2021-02-28,35.93073
2021-03-01,45.02164
2021-03-02,48.05194
2021-03-03,56.70995
2021-03-04,61.47186
2021-03-05,46.32034
2021-03-06,42.85714
2021-03-07,40.25974
2021-03-08,57.14285
2021-03-09,60.60606
2021-03-10,60.17316
2021-03-11,64.93506
2021-03-12,55.84415
2021-03-13,44.15584
2021-03-14,42.85714
2021-03-15,74.89177
2021-03-16,100.0
2021-03-17,73.16017
2021-03-18,77.92207
2021-03-19,66.23376
2021-03-20,48.91774
2021-03-21,43.72294
2021-03-22,64.93506
2021-03-23,59.74025
2021-03-24,45.88744
2021-03-25,58.00865
2021-03-26,51.94805
2021-03-27,49.78354
2021-03-28,51.08225
2021-03-29,49.78354
