date,부동산시세
2020-03-20,89.27419
2020-03-21,70.64516
2020-03-22,74.19354
2020-03-23,100.0
2020-03-24,90.96774
2020-03-25,81.6129
2020-03-26,81.77419
2020-03-27,72.98387
2020-03-28,68.06451
2020-03-29,66.6129
2020-03-30,79.19354
2020-03-31,68.30645
2020-04-01,82.98387
2020-04-02,76.53225
2020-04-03,76.77419
2020-04-04,59.1129
2020-04-05,57.25806
2020-04-06,77.17741
2020-04-07,67.82258
2020-04-08,75.40322
2020-04-09,67.74193
2020-04-10,68.38709
2020-04-11,54.67741
2020-04-12,60.7258
2020-04-13,73.38709
2020-04-14,70.96774
2020-04-15,58.87096
2020-04-16,71.85483
2020-04-17,63.79032
2020-04-18,64.35483
2020-04-19,66.04838
2020-04-20,79.1129
2020-04-21,77.25806
2020-04-22,73.46774
2020-04-23,72.17741
2020-04-24,59.35483
2020-04-25,54.59677
2020-04-26,61.45161
2020-04-27,76.37096
2020-04-28,78.46774
2020-04-29,64.43548
2020-04-30,58.46774
2020-05-01,61.12903
2020-05-02,49.43548
2020-05-03,56.77419
2020-05-04,66.37096
2020-05-05,54.91935
2020-05-06,65.32258
2020-05-07,67.98387
2020-05-08,58.79032
2020-05-09,46.45161
2020-05-10,49.75806
2020-05-11,69.51612
2020-05-12,60.0
2020-05-13,61.12903
2020-05-14,61.12903
2020-05-15,52.09677
2020-05-16,48.46774
2020-05-17,46.69354
2020-05-18,63.06451
2020-05-19,62.58064
2020-05-20,63.46774
2020-05-21,57.01612
2020-05-22,54.43548
2020-05-23,48.14516
2020-05-24,51.12903
2020-05-25,64.35483
2020-05-26,63.30645
2020-05-27,55.24193
2020-05-28,57.5
2020-05-29,53.06451
2020-05-30,47.98387
2020-05-31,45.96774
2020-06-01,62.41935
2020-06-02,59.27419
2020-06-03,60.7258
2020-06-04,61.12903
2020-06-05,58.95161
2020-06-06,50.08064
2020-06-07,54.91935
2020-06-08,62.41935
2020-06-09,60.88709
2020-06-10,60.24193
2020-06-11,69.1129
2020-06-12,69.59677
2020-06-13,53.2258
2020-06-14,52.17741
2020-06-15,70.24193
2020-06-16,69.8387
2020-06-17,84.59677
2020-06-18,78.70967
2020-06-19,69.1129
2020-06-20,59.8387
2020-06-21,59.03225
2020-06-22,76.29032
2020-06-23,70.96774
2020-06-24,59.67741
2020-06-25,63.87096
2020-06-26,62.41935
2020-06-27,56.29032
2020-06-28,64.43548
2020-06-29,74.75806
2020-06-30,61.85483
2020-07-01,72.74193
2020-07-02,74.19354
2020-07-03,74.27419
2020-07-04,60.80645
2020-07-05,57.74193
2020-07-06,79.19354
2020-07-07,75.08064
2020-07-08,73.30645
2020-07-09,83.87096
2020-07-10,74.91935
2020-07-11,62.66129
2020-07-12,57.01612
2020-07-13,72.09677
2020-07-14,76.77419
2020-07-15,72.82258
2020-07-16,74.1129
2020-07-17,75.16129
2020-07-18,65.48387
2020-07-19,63.79032
2020-07-20,79.35483
2020-07-21,73.2258
2020-07-22,79.03225
2020-07-23,80.48387
2020-07-24,73.46774
2020-07-25,61.29032
2020-07-26,65.40322
2020-07-27,75.24193
2020-07-28,73.30645
2020-07-29,87.25806
2020-07-30,70.64516
2020-07-31,68.46774
2020-08-01,62.41935
2020-08-02,60.88709
2020-08-03,84.75806
2020-08-04,81.04838
2020-08-05,66.77419
2020-08-06,72.98387
2020-08-07,69.67741
2020-08-08,56.69354
2020-08-09,51.45161
2020-08-10,80.32258
2020-08-11,72.98387
2020-08-12,74.67741
2020-08-13,65.56451
2020-08-14,62.82258
2020-08-15,46.20967
2020-08-16,55.32258
2020-08-17,65.32258
2020-08-18,71.69354
2020-08-19,70.32258
2020-08-20,65.64516
2020-08-21,71.37096
2020-08-22,57.25806
2020-08-23,54.51612
2020-08-24,72.3387
2020-08-25,66.93548
2020-08-26,68.2258
2020-08-27,61.45161
2020-08-28,54.91935
2020-08-29,55.0
2020-08-30,50.48387
2020-08-31,67.01612
2020-09-01,59.8387
2020-09-02,64.35483
2020-09-03,56.53225
2020-09-04,53.14516
2020-09-05,47.5
2020-09-06,55.88709
2020-09-07,70.64516
2020-09-08,63.70967
2020-09-09,56.37096
2020-09-10,65.16129
2020-09-11,58.95161
2020-09-12,53.70967
2020-09-13,58.06451
2020-09-14,68.2258
2020-09-15,66.29032
2020-09-16,62.66129
2020-09-17,59.8387
2020-09-18,58.46774
2020-09-19,53.46774
2020-09-20,51.04838
2020-09-21,60.56451
2020-09-22,59.59677
2020-09-23,50.0
2020-09-24,51.04838
2020-09-25,42.3387
2020-09-26,39.51612
2020-09-27,41.77419
2020-09-28,51.69354
2020-09-29,43.30645
2020-09-30,37.01612
2020-10-01,38.70967
2020-10-02,48.2258
2020-10-03,47.5
2020-10-04,53.70967
2020-10-05,68.14516
2020-10-06,60.64516
2020-10-07,62.5
2020-10-08,53.38709
2020-10-09,56.53225
2020-10-10,47.41935
2020-10-11,50.48387
2020-10-12,75.32258
2020-10-13,67.74193
2020-10-14,63.95161
2020-10-15,67.66129
2020-10-16,65.0
2020-10-17,51.53225
2020-10-18,47.66129
2020-10-19,65.7258
2020-10-20,59.8387
2020-10-21,63.54838
2020-10-22,59.51612
2020-10-23,57.25806
2020-10-24,49.27419
2020-10-25,48.38709
2020-10-26,66.45161
2020-10-27,71.53225
2020-10-28,69.1129
2020-10-29,68.62903
2020-10-30,58.06451
2020-10-31,63.95161
2020-11-01,52.74193
2020-11-02,65.48387
2020-11-03,67.41935
2020-11-04,61.6129
2020-11-05,69.27419
2020-11-06,66.53225
2020-11-07,47.41935
2020-11-08,51.45161
2020-11-09,71.77419
2020-11-10,65.80645
2020-11-11,74.8387
2020-11-12,78.62903
2020-11-13,75.0
2020-11-14,60.40322
2020-11-15,65.40322
2020-11-16,83.54838
2020-11-17,84.67741
2020-11-18,97.5
2020-11-19,94.19354
2020-11-20,84.35483
2020-11-21,65.64516
2020-11-22,68.54838
2020-11-23,93.62903
2020-11-24,87.58064
2020-11-25,81.6129
2020-11-26,76.20967
2020-11-27,77.09677
2020-11-28,69.75806
2020-11-29,67.17741
2020-11-30,82.41935
2020-12-01,79.91935
2020-12-02,73.95161
2020-12-03,84.27419
2020-12-04,82.82258
2020-12-05,66.04838
2020-12-06,66.69354
2020-12-07,84.1129
2020-12-08,75.64516
2020-12-09,77.90322
2020-12-10,96.6129
2020-12-11,95.32258
2020-12-12,72.3387
2020-12-13,76.45161
