date,차용
2020-03-20,68.28046
2020-03-21,36.89482
2020-03-22,38.06343
2020-03-23,74.62437
2020-03-24,84.80801
2020-03-25,80.80133
2020-03-26,78.79799
2020-03-27,71.11853
2020-03-28,39.39899
2020-03-29,35.72621
2020-03-30,71.95325
2020-03-31,83.13856
2020-04-01,79.29883
2020-04-02,71.78631
2020-04-03,61.43572
2020-04-04,33.38898
2020-04-05,34.72454
2020-04-06,70.78464
2020-04-07,73.28881
2020-04-08,71.45242
2020-04-09,71.11853
2020-04-10,71.95325
2020-04-11,32.55425
2020-04-12,39.39899
2020-04-13,75.29215
2020-04-14,86.47746
2020-04-15,40.73455
2020-04-16,78.13021
2020-04-17,66.77796
2020-04-18,39.0651
2020-04-19,42.23706
2020-04-20,76.29382
2020-04-21,76.9616
2020-04-22,82.80467
2020-04-23,84.47412
2020-04-24,85.30884
2020-04-25,38.56427
2020-04-26,43.57262
2020-04-27,77.79632
2020-04-28,82.13689
2020-04-29,74.12353
2020-04-30,44.40734
2020-05-01,44.57429
2020-05-02,37.22871
2020-05-03,43.73956
2020-05-04,64.94156
2020-05-05,47.41235
2020-05-06,86.81135
2020-05-07,70.45075
2020-05-08,80.3005
2020-05-09,34.55759
2020-05-10,52.25375
2020-05-11,73.45575
2020-05-12,74.95826
2020-05-13,77.62938
2020-05-14,77.12854
2020-05-15,67.94657
2020-05-16,37.06176
2020-05-17,38.73121
2020-05-18,72.95492
2020-05-19,81.63606
2020-05-20,75.45909
2020-05-21,70.61769
2020-05-22,72.45409
2020-05-23,40.23372
2020-05-24,41.40233
2020-05-25,72.45409
2020-05-26,71.95325
2020-05-27,69.44908
2020-05-28,77.29549
2020-05-29,59.93322
2020-05-30,45.90984
2020-05-31,43.40567
2020-06-01,65.94323
2020-06-02,72.62103
2020-06-03,68.7813
2020-06-04,69.61602
2020-06-05,60.601
2020-06-06,37.06176
2020-06-07,41.56928
2020-06-08,70.95158
2020-06-09,69.94991
2020-06-10,81.803
2020-06-11,70.78464
2020-06-12,68.94824
2020-06-13,42.07011
2020-06-14,47.74624
2020-06-15,75.29215
2020-06-16,86.6444
2020-06-17,75.79298
2020-06-18,81.46911
2020-06-19,70.11686
2020-06-20,46.74457
2020-06-21,49.0818
2020-06-22,79.79966
2020-06-23,81.46911
2020-06-24,78.13021
2020-06-25,74.29048
2020-06-26,63.43906
2020-06-27,34.89148
2020-06-28,45.07512
2020-06-29,74.95826
2020-06-30,73.95659
2020-07-01,71.78631
2020-07-02,63.60601
2020-07-03,56.42737
2020-07-04,33.72287
2020-07-05,36.89482
2020-07-06,64.44073
2020-07-07,60.601
2020-07-08,70.2838
2020-07-09,58.59766
2020-07-10,51.58597
2020-07-11,31.55258
2020-07-12,29.88313
2020-07-13,64.44073
2020-07-14,56.26043
2020-07-15,68.11352
2020-07-16,58.7646
2020-07-17,53.9232
2020-07-18,34.55759
2020-07-19,35.39232
2020-07-20,63.43906
2020-07-21,58.09682
2020-07-22,65.4424
2020-07-23,59.26544
2020-07-24,60.76794
2020-07-25,29.88313
2020-07-26,35.72621
2020-07-27,67.77963
2020-07-28,65.10851
2020-07-29,70.45075
2020-07-30,59.93322
2020-07-31,58.09682
2020-08-01,30.8848
2020-08-02,36.72787
2020-08-03,60.10016
2020-08-04,55.09181
2020-08-05,59.76627
2020-08-06,61.26878
2020-08-07,50.08347
2020-08-08,26.0434
2020-08-09,32.55425
2020-08-10,63.43906
2020-08-11,60.26711
2020-08-12,50.91819
2020-08-13,57.42904
2020-08-14,56.59432
2020-08-15,28.21368
2020-08-16,28.21368
2020-08-17,36.22704
2020-08-18,57.76293
2020-08-19,58.43071
2020-08-20,66.27712
2020-08-21,59.26544
2020-08-22,30.05008
2020-08-23,26.71118
2020-08-24,62.43739
2020-08-25,69.11519
2020-08-26,66.11018
2020-08-27,70.2838
2020-08-28,60.43405
2020-08-29,35.55926
2020-08-30,30.38397
2020-08-31,68.94824
2020-09-01,69.28213
2020-09-02,77.96327
2020-09-03,61.60267
2020-09-04,61.93656
2020-09-05,36.56093
2020-09-06,37.72954
2020-09-07,71.11853
2020-09-08,78.96494
2020-09-09,69.78297
2020-09-10,80.3005
2020-09-11,67.27879
2020-09-12,39.0651
2020-09-13,41.90317
2020-09-14,70.95158
2020-09-15,74.12353
2020-09-16,71.78631
2020-09-17,70.78464
2020-09-18,62.93823
2020-09-19,39.56594
2020-09-20,38.23038
2020-09-21,71.28547
2020-09-22,76.12687
2020-09-23,72.62103
2020-09-24,69.78297
2020-09-25,62.77128
2020-09-26,38.06343
2020-09-27,40.56761
2020-09-28,67.27879
2020-09-29,61.26878
2020-09-30,31.71953
2020-10-01,26.71118
2020-10-02,33.05509
2020-10-03,34.39065
2020-10-04,47.41235
2020-10-05,75.62604
2020-10-06,84.97495
2020-10-07,80.80133
2020-10-08,78.79799
2020-10-09,46.74457
2020-10-10,39.56594
2020-10-11,49.74958
2020-10-12,80.80133
2020-10-13,78.29716
2020-10-14,82.80467
2020-10-15,71.78631
2020-10-16,76.46076
2020-10-17,38.89816
2020-10-18,45.7429
2020-10-19,77.62938
2020-10-20,78.29716
2020-10-21,72.28714
2020-10-22,82.30383
2020-10-23,63.60601
2020-10-24,42.07011
2020-10-25,48.91485
2020-10-26,70.95158
2020-10-27,72.28714
2020-10-28,72.95492
2020-10-29,70.45075
2020-10-30,63.27212
2020-10-31,37.39565
2020-11-01,46.41068
2020-11-02,70.61769
2020-11-03,71.45242
2020-11-04,61.76961
2020-11-05,60.76794
2020-11-06,64.94156
2020-11-07,30.21702
2020-11-08,35.39232
2020-11-09,64.27378
2020-11-10,68.7813
2020-11-11,66.77796
2020-11-12,65.27545
2020-11-13,58.93155
2020-11-14,30.55091
2020-11-15,43.57262
2020-11-16,71.45242
2020-11-17,80.13355
2020-11-18,70.95158
