date,재결
2020-11-08,17.29729
2020-11-09,28.37837
2020-11-10,37.02702
2020-11-11,31.35135
2020-11-12,31.89189
2020-11-13,32.16216
2020-11-14,22.16216
2020-11-15,17.29729
2020-11-16,30.0
2020-11-17,27.29729
2020-11-18,33.78378
2020-11-19,31.62162
2020-11-20,31.62162
2020-11-21,24.05405
2020-11-22,17.83783
2020-11-23,30.54054
2020-11-24,31.35135
2020-11-25,30.54054
2020-11-26,42.43243
2020-11-27,28.1081
2020-11-28,19.45945
2020-11-29,16.21621
2020-11-30,39.45945
2020-12-01,33.24324
2020-12-02,32.7027
2020-12-03,40.0
2020-12-04,31.08108
2020-12-05,22.43243
2020-12-06,28.64864
2020-12-07,32.43243
2020-12-08,36.48648
2020-12-09,39.18918
2020-12-10,43.51351
2020-12-11,31.08108
2020-12-12,25.4054
2020-12-13,28.91891
2020-12-14,33.24324
2020-12-15,39.45945
2020-12-16,41.89189
2020-12-17,44.59459
2020-12-18,29.18918
2020-12-19,22.16216
2020-12-20,20.54054
2020-12-21,36.21621
2020-12-22,36.21621
2020-12-23,35.13513
2020-12-24,27.29729
2020-12-25,15.13513
2020-12-26,18.91891
2020-12-27,18.37837
2020-12-28,26.48648
2020-12-29,39.18918
2020-12-30,33.51351
2020-12-31,27.56756
2021-01-01,23.24324
2021-01-02,24.32432
2021-01-03,24.86486
2021-01-04,38.64864
2021-01-05,56.21621
2021-01-06,40.81081
2021-01-07,39.18918
2021-01-08,38.1081
2021-01-09,25.67567
2021-01-10,22.7027
2021-01-11,38.1081
2021-01-12,38.91891
2021-01-13,47.56756
2021-01-14,39.18918
2021-01-15,42.16216
2021-01-16,25.13513
2021-01-17,22.7027
2021-01-18,38.91891
2021-01-19,44.86486
2021-01-20,36.75675
2021-01-21,40.0
2021-01-22,40.27027
2021-01-23,32.16216
2021-01-24,18.91891
2021-01-25,32.97297
2021-01-26,38.91891
2021-01-27,38.91891
2021-01-28,31.08108
2021-01-29,40.54054
2021-01-30,26.21621
2021-01-31,26.48648
2021-02-01,44.59459
2021-02-02,49.18918
2021-02-03,43.51351
2021-02-04,40.0
2021-02-05,39.72972
2021-02-06,28.91891
2021-02-07,23.78378
2021-02-08,45.4054
2021-02-09,49.18918
2021-02-10,42.43243
2021-02-11,24.86486
2021-02-12,15.94594
2021-02-13,27.56756
2021-02-14,22.97297
2021-02-15,45.94594
2021-02-16,44.59459
2021-02-17,49.45945
2021-02-18,46.21621
2021-02-19,36.75675
2021-02-20,22.97297
2021-02-21,28.64864
2021-02-22,41.62162
2021-02-23,36.75675
2021-02-24,40.27027
2021-02-25,48.37837
2021-02-26,39.45945
2021-02-27,28.91891
2021-02-28,27.02702
2021-03-01,30.27027
2021-03-02,43.51351
2021-03-03,44.05405
2021-03-04,46.21621
2021-03-05,43.24324
2021-03-06,30.54054
2021-03-07,29.45945
2021-03-08,49.18918
2021-03-09,54.05405
2021-03-10,46.21621
2021-03-11,54.86486
2021-03-12,38.37837
2021-03-13,31.62162
2021-03-14,29.18918
2021-03-15,49.45945
2021-03-16,48.64864
2021-03-17,55.4054
2021-03-18,57.29729
2021-03-19,43.78378
2021-03-20,29.18918
2021-03-21,31.08108
2021-03-22,44.05405
2021-03-23,51.08108
2021-03-24,45.67567
2021-03-25,38.1081
2021-03-26,39.72972
2021-03-27,24.86486
2021-03-28,24.59459
2021-03-29,42.97297
2021-03-30,48.64864
2021-03-31,53.51351
2021-04-01,50.27027
2021-04-02,46.75675
2021-04-03,28.37837
2021-04-04,25.67567
2021-04-05,54.32432
2021-04-06,47.29729
2021-04-07,46.75675
2021-04-08,49.18918
2021-04-09,49.18918
2021-04-10,30.54054
2021-04-11,31.89189
2021-04-12,50.27027
2021-04-13,55.13513
2021-04-14,54.05405
2021-04-15,54.86486
2021-04-16,43.78378
2021-04-17,25.13513
2021-04-18,29.72972
2021-04-19,44.32432
2021-04-20,49.45945
2021-04-21,46.75675
2021-04-22,40.27027
2021-04-23,51.08108
2021-04-24,29.45945
2021-04-25,31.08108
2021-04-26,48.1081
2021-04-27,47.83783
2021-04-28,45.94594
2021-04-29,50.54054
2021-04-30,43.24324
2021-05-01,32.97297
2021-05-02,30.27027
2021-05-03,59.72972
2021-05-04,49.45945
2021-05-05,36.48648
2021-05-06,45.67567
2021-05-07,52.16216
2021-05-08,33.51351
2021-05-09,29.45945
2021-05-10,51.08108
2021-05-11,50.0
2021-05-12,43.51351
2021-05-13,44.05405
2021-05-14,42.97297
2021-05-15,33.51351
2021-05-16,29.45945
2021-05-17,44.59459
2021-05-18,52.97297
2021-05-19,32.7027
2021-05-20,47.56756
2021-05-21,53.51351
2021-05-22,33.51351
2021-05-23,26.48648
2021-05-24,49.72972
2021-05-25,46.48648
2021-05-26,50.27027
2021-05-27,51.89189
2021-05-28,51.62162
2021-05-29,33.24324
2021-05-30,34.59459
2021-05-31,52.7027
2021-06-01,56.75675
2021-06-02,52.97297
2021-06-03,44.86486
2021-06-04,55.94594
2021-06-05,31.08108
2021-06-06,31.62162
2021-06-07,46.75675
2021-06-08,40.81081
2021-06-09,55.94594
2021-06-10,47.29729
2021-06-11,47.02702
2021-06-12,29.72972
2021-06-13,30.0
2021-06-14,52.7027
2021-06-15,50.54054
2021-06-16,47.83783
2021-06-17,50.54054
2021-06-18,39.72972
2021-06-19,30.54054
2021-06-20,27.29729
2021-06-21,42.16216
2021-06-22,44.59459
2021-06-23,43.78378
2021-06-24,45.4054
2021-06-25,39.18918
2021-06-26,29.72972
2021-06-27,24.05405
2021-06-28,46.21621
2021-06-29,44.05405
2021-06-30,36.48648
2021-07-01,43.51351
2021-07-02,38.37837
2021-07-03,32.97297
2021-07-04,26.21621
2021-07-05,45.13513
2021-07-06,37.83783
2021-07-07,42.7027
2021-07-08,47.02702
2021-07-09,36.75675
2021-07-10,25.13513
2021-07-11,29.18918
2021-07-12,47.56756
2021-07-13,46.48648
2021-07-14,50.27027
2021-07-15,46.48648
2021-07-16,39.72972
2021-07-17,32.7027
2021-07-18,33.51351
2021-07-19,47.02702
2021-07-20,49.45945
2021-07-21,43.24324
2021-07-22,42.7027
2021-07-23,46.48648
2021-07-24,29.45945
2021-07-25,26.48648
2021-07-26,41.62162
2021-07-27,45.67567
2021-07-28,43.51351
2021-07-29,46.75675
2021-07-30,28.91891
2021-07-31,23.51351
2021-08-01,26.75675
2021-08-02,41.35135
2021-08-03,37.02702
2021-08-04,36.48648
2021-08-05,40.81081
2021-08-06,39.18918
2021-08-07,27.02702
2021-08-08,25.94594
2021-08-09,45.94594
2021-08-10,44.86486
2021-08-11,41.08108
2021-08-12,46.48648
2021-08-13,35.67567
2021-08-14,31.62162
2021-08-15,23.78378
2021-08-16,31.62162
2021-08-17,47.83783
2021-08-18,46.21621
2021-08-19,44.32432
2021-08-20,48.1081
2021-08-21,33.51351
2021-08-22,23.24324
2021-08-23,37.56756
2021-08-24,42.43243
2021-08-25,51.08108
2021-08-26,48.91891
2021-08-27,34.05405
2021-08-28,22.97297
2021-08-29,26.21621
2021-08-30,37.83783
2021-08-31,51.35135
2021-09-01,53.78378
2021-09-02,54.05405
2021-09-03,42.7027
2021-09-04,30.81081
2021-09-05,28.1081
2021-09-06,40.81081
2021-09-07,54.86486
2021-09-08,54.59459
2021-09-09,55.94594
2021-09-10,51.62162
2021-09-11,31.08108
2021-09-12,34.05405
2021-09-13,45.94594
2021-09-14,54.59459
2021-09-15,51.62162
2021-09-16,57.02702
2021-09-17,49.45945
2021-09-18,26.48648
2021-09-19,23.24324
2021-09-20,28.37837
2021-09-21,22.43243
2021-09-22,25.67567
2021-09-23,52.7027
2021-09-24,47.83783
2021-09-25,35.4054
2021-09-26,29.18918
2021-09-27,50.27027
2021-09-28,58.37837
2021-09-29,55.94594
2021-09-30,56.48648
2021-10-01,49.18918
2021-10-02,42.97297
2021-10-03,31.62162
2021-10-04,41.89189
2021-10-05,52.7027
2021-10-06,53.24324
2021-10-07,55.94594
2021-10-08,50.27027
2021-10-09,45.94594
2021-10-10,35.13513
2021-10-11,44.05405
2021-10-12,66.48648
2021-10-13,69.18918
2021-10-14,64.05405
2021-10-15,57.83783
2021-10-16,41.89189
2021-10-17,42.7027
2021-10-18,54.32432
2021-10-19,58.1081
2021-10-20,64.05405
2021-10-21,58.64864
2021-10-22,59.72972
2021-10-23,40.27027
2021-10-24,40.0
2021-10-25,57.29729
2021-10-26,55.67567
2021-10-27,64.86486
2021-10-28,65.67567
2021-10-29,44.05405
2021-10-30,24.05405
2021-10-31,25.67567
2021-11-01,50.54054
2021-11-02,50.54054
2021-11-03,51.89189
2021-11-04,50.81081
2021-11-05,38.1081
2021-11-06,34.59459
2021-11-07,24.86486
2021-11-08,50.81081
2021-11-09,49.18918
2021-11-10,52.16216
2021-11-11,53.51351
2021-11-12,44.59459
2021-11-13,33.78378
2021-11-14,25.4054
2021-11-15,48.37837
2021-11-16,40.54054
2021-11-17,47.02702
2021-11-18,44.05405
2021-11-19,39.45945
2021-11-20,29.45945
2021-11-21,20.27027
2021-11-22,46.48648
2021-11-23,47.83783
2021-11-24,47.56756
2021-11-25,52.7027
2021-11-26,43.78378
2021-11-27,29.45945
2021-11-28,26.48648
2021-11-29,42.97297
2021-11-30,50.54054
2021-12-01,56.21621
2021-12-02,47.83783
2021-12-03,38.64864
2021-12-04,32.16216
2021-12-05,26.48648
2021-12-06,49.45945
2021-12-07,51.08108
2021-12-08,49.18918
2021-12-09,55.4054
2021-12-10,51.35135
2021-12-11,40.27027
2021-12-12,44.05405
2021-12-13,51.08108
2021-12-14,50.81081
2021-12-15,55.67567
2021-12-16,53.51351
2021-12-17,39.45945
2021-12-18,33.24324
2021-12-19,32.43243
2021-12-20,47.29729
2021-12-21,50.27027
2021-12-22,47.56756
2021-12-23,53.24324
2021-12-24,36.75675
2021-12-25,25.94594
2021-12-26,30.27027
2021-12-27,38.37837
2021-12-28,43.24324
2021-12-29,48.37837
2021-12-30,40.0
2021-12-31,38.37837
2022-01-01,33.24324
2022-01-02,26.48648
2022-01-03,50.27027
2022-01-04,60.27027
2022-01-05,60.54054
2022-01-06,57.56756
2022-01-07,54.32432
2022-01-08,37.02702
2022-01-09,34.32432
2022-01-10,56.21621
2022-01-11,56.48648
2022-01-12,57.83783
2022-01-13,60.27027
2022-01-14,58.64864
2022-01-15,35.13513
2022-01-16,32.43243
2022-01-17,59.18918
2022-01-18,50.27027
2022-01-19,57.56756
2022-01-20,61.08108
2022-01-21,55.94594
2022-01-22,32.43243
2022-01-23,33.51351
2022-01-24,54.32432
2022-01-25,58.64864
2022-01-26,55.67567
2022-01-27,59.18918
2022-01-28,51.62162
2022-01-29,36.75675
2022-01-30,31.35135
2022-01-31,36.75675
2022-02-01,31.89189
2022-02-02,37.02702
2022-02-03,55.94594
2022-02-04,53.51351
2022-02-05,36.75675
2022-02-06,40.0
2022-02-07,58.64864
2022-02-08,64.86486
2022-02-09,59.18918
2022-02-10,59.72972
2022-02-11,51.62162
2022-02-12,45.94594
2022-02-13,36.48648
2022-02-14,53.78378
2022-02-15,67.02702
2022-02-16,50.54054
2022-02-17,63.78378
2022-02-18,52.43243
2022-02-19,41.08108
2022-02-20,33.78378
2022-02-21,60.0
2022-02-22,53.78378
2022-02-23,60.54054
2022-02-24,57.56756
2022-02-25,57.83783
2022-02-26,44.86486
2022-02-27,32.97297
2022-02-28,55.67567
2022-03-01,46.48648
2022-03-02,60.54054
2022-03-03,57.56756
2022-03-04,48.1081
2022-03-05,40.0
2022-03-06,40.81081
2022-03-07,50.54054
2022-03-08,61.89189
2022-03-09,36.48648
2022-03-10,65.13513
2022-03-11,60.0
2022-03-12,41.89189
2022-03-13,40.0
2022-03-14,61.35135
2022-03-15,71.35135
2022-03-16,70.0
2022-03-17,62.43243
2022-03-18,54.05405
2022-03-19,45.4054
2022-03-20,38.91891
2022-03-21,58.91891
2022-03-22,61.62162
2022-03-23,75.13513
2022-03-24,51.62162
2022-03-25,66.21621
2022-03-26,47.02702
2022-03-27,43.78378
2022-03-28,61.08108
2022-03-29,59.72972
2022-03-30,72.97297
2022-03-31,66.21621
2022-04-01,60.81081
2022-04-02,100.0
2022-04-03,38.91891
2022-04-04,51.89189
2022-04-05,71.89189
2022-04-06,57.02702
2022-04-07,58.64864
2022-04-08,54.05405
2022-04-09,34.59459
2022-04-10,29.18918
2022-04-11,50.0
2022-04-12,47.83783
2022-04-13,51.62162
2022-04-14,55.13513
2022-04-15,54.05405
2022-04-16,40.81081
2022-04-17,36.48648
2022-04-18,55.4054
2022-04-19,58.1081
2022-04-20,55.94594
2022-04-21,57.56756
2022-04-22,50.27027
2022-04-23,38.91891
2022-04-24,34.32432
2022-04-25,56.48648
2022-04-26,59.72972
2022-04-27,55.13513
2022-04-28,61.35135
2022-04-29,51.89189
2022-04-30,39.18918
2022-05-01,35.67567
2022-05-02,46.75675
2022-05-03,57.83783
2022-05-04,48.91891
2022-05-05,45.13513
2022-05-06,41.35135
2022-05-07,38.1081
2022-05-08,33.24324
2022-05-09,61.62162
2022-05-10,57.29729
2022-05-11,51.35135
2022-05-12,53.78378
2022-05-13,53.78378
