date,아파트청약
2020-03-20,7.90019
2020-03-21,9.53281
2020-03-22,8.9886
2020-03-23,17.52525
2020-03-24,38.65701
2020-03-25,18.1663
2020-03-26,12.58128
2020-03-27,8.9886
2020-03-28,5.32214
2020-03-29,6.54429
2020-03-30,18.12018
2020-03-31,22.41387
2020-04-01,18.25393
2020-04-02,12.88105
2020-04-03,8.10312
2020-04-04,5.71876
2020-04-05,5.88479
2020-04-06,11.05013
2020-04-07,15.77733
2020-04-08,11.45597
2020-04-09,10.56588
2020-04-10,7.33293
2020-04-11,4.75948
2020-04-12,4.9993
2020-04-13,8.69805
2020-04-14,11.55282
2020-04-15,6.04159
2020-04-16,15.73582
2020-04-17,8.22764
2020-04-18,5.23912
2020-04-19,5.90324
2020-04-20,12.81649
2020-04-21,17.35922
2020-04-22,15.78656
2020-04-23,10.58432
2020-04-24,7.45745
2020-04-25,4.39053
2020-04-26,6.12
2020-04-27,13.4806
2020-04-28,14.66586
2020-04-29,11.05474
2020-04-30,4.98547
2020-05-01,4.78716
2020-05-02,3.94779
2020-05-03,4.98547
2020-05-04,10.20615
2020-05-05,6.61808
2020-05-06,13.35608
2020-05-07,11.33145
2020-05-08,8.93326
2020-05-09,4.2245
2020-05-10,4.90245
2020-05-11,12.82571
2020-05-12,16.6951
2020-05-13,8.91942
2020-05-14,8.07545
2020-05-15,7.90481
2020-05-16,4.4551
2020-05-17,4.86095
2020-05-18,12.68274
2020-05-19,19.12097
2020-05-20,35.73767
2020-05-21,10.83798
2020-05-22,8.78568
2020-05-23,4.0308
2020-05-24,4.9578
2020-05-25,11.64045
2020-05-26,23.24862
2020-05-27,15.32537
2020-05-28,9.57893
2020-05-29,6.81178
2020-05-30,3.68952
2020-05-31,4.87017
2020-06-01,12.7842
2020-06-02,31.02891
2020-06-03,25.57302
2020-06-04,15.42683
2020-06-05,8.366
2020-06-06,4.75487
2020-06-07,5.25296
2020-06-08,14.02942
2020-06-09,20.91039
2020-06-10,18.85347
2020-06-11,17.20702
2020-06-12,10.63505
2020-06-13,4.57501
2020-06-14,4.51505
2020-06-15,13.96024
2020-06-16,16.83807
2020-06-17,11.52515
2020-06-18,10.50131
2020-06-19,8.60582
2020-06-20,4.08615
2020-06-21,4.70414
2020-06-22,11.53438
2020-06-23,18.67361
2020-06-24,9.94788
2020-06-25,10.2661
2020-06-26,7.46667
2020-06-27,3.59728
2020-06-28,4.80099
2020-06-29,10.4183
2020-06-30,15.27463
2020-07-01,13.84033
2020-07-02,9.86487
2020-07-03,7.04238
2020-07-04,4.27062
2020-07-05,4.85172
2020-07-06,9.72651
2020-07-07,10.83798
2020-07-08,11.1562
2020-07-09,9.83258
2020-07-10,7.50357
2020-07-11,4.12765
2020-07-12,4.30752
2020-07-13,8.8318
2020-07-14,12.35991
2020-07-15,10.93944
2020-07-16,9.82797
2020-07-17,14.18622
2020-07-18,4.45049
2020-07-19,5.25296
2020-07-20,14.27846
2020-07-21,25.43928
2020-07-22,13.7112
2020-07-23,9.1823
2020-07-24,9.13157
2020-07-25,4.58884
2020-07-26,5.40054
2020-07-27,10.44597
2020-07-28,12.36913
2020-07-29,15.00714
2020-07-30,11.85721
2020-07-31,8.92865
2020-08-01,4.42281
2020-08-02,4.83327
2020-08-03,13.62357
2020-08-04,27.50541
2020-08-05,10.81031
2020-08-06,9.44979
2020-08-07,13.16238
2020-08-08,5.67725
2020-08-09,7.01471
2020-08-10,21.77281
2020-08-11,37.99289
2020-08-12,18.73818
2020-08-13,17.94493
2020-08-14,19.78047
2020-08-15,4.66263
2020-08-16,4.12765
2020-08-17,5.85251
2020-08-18,13.01019
2020-08-19,18.57676
2020-08-20,12.34607
2020-08-21,13.00558
2020-08-22,3.89245
2020-08-23,3.79098
2020-08-24,9.25609
2020-08-25,8.44901
2020-08-26,10.55665
2020-08-27,8.16307
2020-08-28,7.34676
2020-08-29,3.89245
2020-08-30,4.40898
2020-08-31,9.75418
2020-09-01,16.85652
2020-09-02,9.65272
2020-09-03,6.65037
2020-09-04,5.09615
2020-09-05,3.40358
2020-09-06,4.15071
2020-09-07,7.84024
2020-09-08,15.08555
2020-09-09,10.07701
2020-09-10,7.22685
2020-09-11,5.59885
2020-09-12,3.57422
2020-09-13,4.05386
2020-09-14,9.53742
2020-09-15,16.61209
2020-09-16,9.20536
2020-09-17,6.14767
2020-09-18,5.48355
2020-09-19,3.26523
2020-09-20,3.90167
2020-09-21,7.07927
2020-09-22,7.72494
2020-09-23,9.16847
2020-09-24,12.12009
2020-09-25,39.57478
2020-09-26,3.34824
2020-09-27,3.37591
2020-09-28,8.50897
2020-09-29,8.58276
