date,쓰레스홀드코인
2022-03-02,84.14969
2022-03-03,97.57842
2022-03-04,64.44689
2022-03-05,24.10566
2022-03-06,20.74848
2022-03-07,30.82003
2022-03-08,20.19812
2022-03-09,13.59383
2022-03-10,18.82223
2022-03-11,33.07649
2022-03-12,23.44523
2022-03-13,26.69235
2022-03-14,38.80022
2022-03-15,13.04347
2022-03-16,11.3924
2022-03-17,68.07925
2022-03-18,32.30599
2022-03-19,21.90423
2022-03-20,14.69455
2022-03-21,13.59383
2022-03-22,15.46505
2022-03-23,12.71326
2022-03-24,15.96037
2022-03-25,10.6219
2022-03-26,10.73197
2022-03-27,19.31755
2022-03-28,22.94991
2022-03-29,22.67473
2022-03-30,19.53769
2022-03-31,16.07044
2022-04-01,4.73307
2022-04-02,4.84314
2022-04-03,11.22729
2022-04-04,7.98018
2022-04-05,3.68739
2022-04-06,2.69675
2022-04-07,5.50357
2022-04-08,5.3935
2022-04-09,3.52228
2022-04-10,3.24711
2022-04-11,4.623
2022-04-12,3.52228
2022-04-13,3.57732
2022-04-14,3.41221
2022-04-15,4.95321
2022-04-16,2.80682
2022-04-17,2.53164
2022-04-18,4.29279
2022-04-19,3.63236
2022-04-20,2.4766
2022-04-21,3.63236
2022-04-22,2.3115
2022-04-23,0.60539
2022-04-24,0.88057
2022-04-25,0.82553
2022-04-26,1.32085
2022-04-27,1.10071
2022-04-28,2.64171
2022-04-29,0.82553
2022-04-30,0.49532
2022-05-01,1.15575
2022-05-02,1.21078
2022-05-03,0.49532
2022-05-04,0.38525
2022-05-05,0.49532
2022-05-06,0.99064
2022-05-07,0.99064
2022-05-08,0.82553
2022-05-09,1.26582
2022-05-10,0.71546
2022-05-11,1.10071
2022-05-12,0.82553
2022-05-13,0.66042
2022-05-14,0.71546
2022-05-15,0.49532
2022-05-16,0.49532
2022-05-17,0.44028
2022-05-18,0.49532
2022-05-19,3.57732
2022-05-20,1.37589
2022-05-21,0.71546
2022-05-22,0.99064
2022-05-24,0.82553
2022-05-25,0.55035
2022-05-27,0.27517
2022-05-28,0.44028
2022-05-30,0.33021
2022-05-31,0.49532
2022-06-01,5.94386
2022-06-02,2.14639
2022-06-03,1.26582
2022-06-04,0.38525
2022-06-05,0.99064
2022-06-06,1.04567
2022-06-07,1.15575
2022-06-08,0.71546
2022-06-09,0.55035
2022-06-10,0.49532
2022-06-11,0.38525
2022-06-12,0.66042
2022-06-13,0.82553
2022-06-14,0.9356
2022-06-16,0.38525
2022-06-17,0.33021
2022-06-18,0.44028
2022-06-19,0.27517
2022-06-20,0.33021
2022-06-21,0.82553
2022-06-22,0.27517
2022-06-25,0.27517
