date,S&P500선물
2020-03-20,29.9732
2020-03-21,9.4943
2020-03-22,4.6718
2020-03-23,34.8292
2020-03-24,30.35833
2020-03-25,35.18084
2020-03-26,34.94641
2020-03-27,27.16008
2020-03-28,7.63563
2020-03-29,3.65036
2020-03-30,24.96651
2020-03-31,19.22304
2020-04-01,22.53851
2020-04-02,25.10046
2020-04-03,17.48158
2020-04-04,4.15271
2020-04-05,2.0931
2020-04-06,14.95311
2020-04-07,16.61085
2020-04-08,17.01272
2020-04-09,12.62558
2020-04-10,7.2505
2020-04-11,1.08841
2020-04-12,1.03817
2020-04-13,12.22371
2020-04-14,9.05894
2020-04-15,8.07099
2020-04-16,9.27662
2020-04-17,7.95378
2020-04-18,1.40656
2020-04-19,1.02143
2020-04-20,8.53985
2020-04-21,8.97521
2020-04-22,8.42263
2020-04-23,6.74815
2020-04-24,6.11185
2020-04-25,1.38981
2020-04-26,0.65304
2020-04-27,4.15271
2020-04-28,4.52109
2020-04-29,4.77227
2020-04-30,2.66242
2020-05-01,4.35365
2020-05-02,0.80375
2020-05-03,0.61955
2020-05-04,6.43
2020-05-05,4.73878
2020-05-06,5.12391
2020-05-07,4.90622
2020-05-08,4.47086
2020-05-09,1.00468
2020-05-10,0.6363
2020-05-11,5.20763
2020-05-12,5.87742
2020-05-13,6.37977
2020-05-14,7.04956
2020-05-15,5.69323
2020-05-16,0.80375
2020-05-17,0.3014
2020-05-18,3.49966
2020-05-19,4.6718
2020-05-20,4.13596
2020-05-21,4.68854
2020-05-22,3.93503
2020-05-23,0.48559
2020-05-24,0.23442
2020-05-25,3.215
2020-05-26,3.13127
2020-05-27,3.81781
2020-05-28,4.15271
2020-05-29,2.52846
2020-05-30,0.80375
2020-05-31,0.3014
2020-06-01,3.31547
2020-06-02,2.81312
2020-06-03,2.34427
2020-06-04,2.3945
2020-06-05,2.21031
2020-06-06,0.48559
2020-06-07,0.3014
2020-06-08,2.89685
2020-06-09,2.76289
2020-06-10,2.37776
2020-06-11,3.16476
2020-06-12,5.54253
2020-06-13,0.98794
2020-06-14,0.21768
2020-06-15,7.56865
2020-06-16,6.48024
2020-06-17,5.86068
2020-06-18,4.38713
2020-06-19,2.56195
2020-06-20,0.53583
2020-06-21,0.36838
2020-06-22,3.33221
2020-06-23,3.75083
2020-06-24,4.1862
2020-06-25,6.69792
2020-06-26,4.21969
2020-06-27,0.83724
2020-06-28,0.48559
2020-06-29,5.44206
2020-06-30,4.38713
2020-07-01,4.21969
2020-07-02,3.5164
2020-07-03,2.69591
2020-07-04,0.65304
2020-07-05,0.26791
2020-07-06,3.38245
2020-07-07,3.65036
2020-07-08,4.13596
2020-07-09,3.3657
2020-07-10,3.24849
2020-07-11,0.53583
2020-07-13,2.05961
2020-07-14,3.09778
2020-07-15,2.7294
2020-07-16,2.32752
2020-07-17,2.17682
2020-07-18,0.35164
2020-07-19,0.25117
2020-07-20,3.16476
2020-07-21,2.12659
2020-07-22,2.21031
2020-07-23,2.10984
2020-07-24,2.5787
2020-07-25,0.40187
2020-07-26,0.31815
2020-07-27,2.41125
2020-07-28,1.94239
2020-07-29,2.52846
2020-07-30,3.0643
2020-07-31,1.99263
2020-08-01,0.31815
2020-08-02,0.13395
2020-08-03,1.74146
2020-08-04,1.59075
2020-08-05,1.47354
2020-08-06,1.6075
2020-08-07,1.18888
2020-08-08,0.16744
2020-08-09,0.08372
2020-08-10,1.47354
2020-08-11,1.38981
2020-08-12,1.77494
2020-08-13,1.80843
2020-08-14,1.44005
2020-08-15,0.23442
2020-08-16,0.18419
2020-08-17,1.74146
2020-08-18,1.95914
2020-08-19,1.54052
2020-08-20,2.94708
2020-08-21,1.79169
2020-08-22,0.25117
2020-08-23,0.26791
2020-08-24,1.92565
2020-08-25,2.22705
2020-08-26,1.80843
2020-08-27,2.07635
2020-08-28,1.79169
2020-08-29,0.26791
2020-08-30,0.16744
2020-08-31,1.74146
2020-09-01,1.92565
2020-09-02,1.64099
2020-09-03,1.6075
2020-09-04,3.65036
2020-09-05,0.58606
2020-09-06,0.41862
2020-09-07,3.01406
2020-09-08,3.68385
2020-09-09,4.57133
2020-09-10,4.08573
2020-09-11,3.46617
2020-09-12,0.73677
2020-09-13,0.16744
2020-09-14,2.41125
