date,리뷰알바
2020-03-20,2.18934
2020-03-21,2.4852
2020-03-22,2.78106
2020-03-23,4.43786
2020-03-24,4.14201
2020-03-25,4.14201
2020-03-26,2.84023
2020-03-27,3.55029
2020-03-28,2.13017
2020-03-29,1.6568
2020-03-30,3.43195
2020-03-31,3.19526
2020-04-01,4.31952
2020-04-02,4.91124
2020-04-03,2.72189
2020-04-04,3.3136
2020-04-05,2.8994
2020-04-06,4.49704
2020-04-07,3.07692
2020-04-08,5.08875
2020-04-09,3.90532
2020-04-10,3.49112
2020-04-11,2.4852
2020-04-12,3.19526
2020-04-13,4.08284
2020-04-14,4.02366
2020-04-15,2.84023
2020-04-16,4.08284
2020-04-17,3.3136
2020-04-18,1.71597
2020-04-19,2.54437
2020-04-20,2.72189
2020-04-21,2.72189
2020-04-22,3.66863
2020-04-23,2.66272
2020-04-24,2.8994
2020-04-25,3.01775
2020-04-26,2.60355
2020-04-27,3.49112
2020-04-28,4.26035
2020-04-29,3.19526
2020-04-30,1.95266
2020-05-01,2.01183
2020-05-02,1.89349
2020-05-03,1.47928
2020-05-04,2.95857
2020-05-05,1.53846
2020-05-06,2.42603
2020-05-07,3.72781
2020-05-08,1.77514
2020-05-09,1.95266
2020-05-10,1.47928
2020-05-11,2.30769
2020-05-12,2.8994
2020-05-13,3.25443
2020-05-14,4.02366
2020-05-15,2.66272
2020-05-16,2.071
2020-05-17,2.071
2020-05-18,3.78698
2020-05-19,4.43786
2020-05-20,4.67455
2020-05-21,3.55029
2020-05-22,2.54437
2020-05-23,2.42603
2020-05-24,0.94674
2020-05-25,3.60946
2020-05-26,3.55029
2020-05-27,3.49112
2020-05-28,3.43195
2020-05-29,2.8994
2020-05-30,1.89349
2020-05-31,1.53846
2020-06-01,4.02366
2020-06-02,3.3136
2020-06-03,2.78106
2020-06-04,2.4852
2020-06-05,2.071
2020-06-06,1.71597
2020-06-07,1.83431
2020-06-08,3.3136
2020-06-09,2.84023
2020-06-10,3.07692
2020-06-11,2.60355
2020-06-12,2.30769
2020-06-13,1.77514
2020-06-14,1.95266
2020-06-15,3.43195
2020-06-16,4.43786
2020-06-17,3.96449
2020-06-18,3.19526
2020-06-19,3.49112
2020-06-20,2.071
2020-06-21,2.95857
2020-06-22,4.37869
2020-06-23,14.97041
