date,증권사순위
2020-03-20,76.50574
2020-03-21,41.60919
2020-03-22,38.66666
2020-03-23,70.06896
2020-03-24,63.40229
2020-03-25,73.93103
2020-03-26,66.3908
2020-03-27,56.64367
2020-03-28,32.73563
2020-03-29,32.22988
2020-03-30,46.43678
2020-03-31,44.13793
2020-04-01,46.71264
2020-04-02,38.52873
2020-04-03,34.02298
2020-04-04,22.94252
2020-04-05,24.68965
2020-04-06,40.87356
2020-04-07,41.74712
2020-04-08,36.13793
2020-04-09,35.5862
2020-04-10,32.22988
2020-04-11,23.86206
2020-04-12,22.29885
2020-04-13,26.16091
2020-04-14,25.97701
2020-04-15,21.74712
2020-04-16,21.60919
2020-04-17,26.20689
2020-04-18,20.96551
2020-04-19,20.04597
2020-04-20,26.43678
2020-04-21,27.35632
2020-04-22,30.06896
2020-04-23,28.32183
2020-04-24,23.49425
2020-04-25,16.64367
2020-04-26,18.62068
2020-04-27,25.01149
2020-04-28,24.32183
2020-04-29,22.34482
2020-04-30,16.87356
2020-05-01,14.75862
2020-05-02,10.06896
2020-05-03,12.91954
2020-05-04,20.7816
2020-05-05,17.83908
2020-05-06,21.1954
2020-05-07,20.87356
2020-05-08,16.27586
2020-05-09,14.57471
2020-05-10,16.91954
2020-05-11,23.26436
2020-05-12,20.0
2020-05-13,20.27586
2020-05-14,21.37931
2020-05-15,19.08045
2020-05-16,11.26436
2020-05-17,12.22988
2020-05-18,17.74712
2020-05-19,22.06896
2020-05-20,20.5977
2020-05-21,20.73563
2020-05-22,15.03448
2020-05-23,10.34482
2020-05-24,11.77011
2020-05-25,17.51724
2020-05-26,20.64367
2020-05-27,18.20689
2020-05-28,18.34482
2020-05-29,13.1954
2020-05-30,11.49425
2020-05-31,11.40229
2020-06-01,21.28735
2020-06-02,21.05747
2020-06-03,28.73563
2020-06-04,24.36781
2020-06-05,18.52873
2020-06-06,12.41379
2020-06-07,13.47126
2020-06-08,21.60919
2020-06-09,19.86206
2020-06-10,21.88505
2020-06-11,18.16091
2020-06-12,16.55172
2020-06-13,12.5977
