date,좌담회
2020-03-20,15.68938
2020-03-21,7.92393
2020-03-22,8.55784
2020-03-23,16.00633
2020-03-24,14.10459
2020-03-25,16.00633
2020-03-26,19.17591
2020-03-27,15.21394
2020-03-28,9.19175
2020-03-29,9.82567
2020-03-30,17.90808
2020-03-31,19.65134
2020-04-01,21.39461
2020-04-02,19.65134
2020-04-03,17.7496
2020-04-04,13.62916
2020-04-05,15.05546
2020-04-06,21.87004
2020-04-07,25.83201
2020-04-08,19.80982
2020-04-09,22.187
2020-04-10,16.79873
2020-04-11,11.88589
2020-04-12,9.98415
2020-04-13,19.01743
2020-04-14,15.21394
2020-04-15,16.79873
2020-04-16,26.6244
2020-04-17,18.22503
2020-04-18,9.03328
2020-04-19,10.77654
2020-04-20,40.88748
2020-04-21,26.6244
2020-04-22,21.39461
2020-04-23,21.39461
2020-04-24,20.28526
2020-04-25,8.8748
2020-04-26,11.56893
2020-04-27,18.54199
2020-04-28,22.66244
2020-04-29,20.76069
2020-04-30,10.61806
2020-05-01,9.98415
2020-05-02,6.81458
2020-05-03,7.29001
2020-05-04,13.15372
2020-05-05,8.24088
2020-05-06,22.50396
2020-05-07,18.54199
2020-05-08,26.30744
2020-05-09,14.26307
2020-05-10,14.42155
2020-05-11,25.67353
2020-05-12,19.33438
2020-05-13,22.02852
2020-05-14,23.45483
2020-05-15,18.06656
2020-05-16,9.50871
2020-05-17,8.8748
2020-05-18,19.80982
2020-05-19,27.73375
2020-05-20,22.66244
2020-05-21,22.66244
2020-05-22,16.95721
2020-05-23,11.41045
2020-05-24,8.8748
2020-05-25,21.87004
2020-05-26,64.97622
2020-05-27,27.73375
2020-05-28,24.56418
2020-05-29,20.76069
2020-05-30,19.80982
2020-05-31,21.23613
2020-06-01,27.57527
2020-06-02,23.77179
2020-06-03,21.39461
2020-06-04,20.28526
2020-06-05,21.55309
2020-06-06,12.04437
2020-06-07,12.99524
2020-06-08,24.72266
2020-06-09,19.9683
2020-06-10,20.60221
2020-06-11,23.93026
2020-06-12,19.80982
2020-06-13,9.98415
2020-06-14,9.66719
2020-06-15,19.80982
2020-06-16,20.76069
2020-06-17,22.50396
2020-06-18,23.77179
2020-06-19,24.88114
2020-06-20,11.88589
2020-06-21,9.98415
2020-06-22,24.4057
2020-06-23,23.61331
2020-06-24,24.24722
2020-06-25,26.78288
2020-06-26,22.187
2020-06-27,11.25198
2020-06-28,10.14263
2020-06-29,20.60221
2020-06-30,24.08874
2020-07-01,28.05071
2020-07-02,24.72266
2020-07-03,30.11093
2020-07-04,10.45958
2020-07-05,11.41045
2020-07-06,23.29635
2020-07-07,26.78288
2020-07-08,23.13787
2020-07-09,27.25832
2020-07-10,22.187
2020-07-11,12.67828
2020-07-12,10.77654
2020-07-13,25.35657
2020-07-14,32.32963
2020-07-15,25.83201
2020-07-16,27.73375
2020-07-17,19.65134
2020-07-18,9.66719
2020-07-19,10.61806
2020-07-20,22.97939
2020-07-21,25.83201
