date,레버리지ETF
2020-03-20,33.62318
2020-03-21,19.27536
2020-03-22,15.07246
2020-03-23,29.13043
2020-03-24,21.88405
2020-03-25,19.56521
2020-03-26,14.49275
2020-03-27,13.91304
2020-03-28,11.44927
2020-03-29,40.14492
2020-03-30,20.28985
2020-03-31,11.5942
2020-04-01,9.71014
2020-04-02,11.88405
2020-04-03,8.11594
2020-04-04,8.40579
2020-04-05,8.40579
2020-04-06,8.11594
2020-04-07,11.30434
2020-04-08,12.17391
2020-04-09,10.43478
2020-04-10,8.40579
2020-04-11,3.1884
2020-04-12,3.62318
2020-04-13,8.11594
2020-04-14,10.86956
2020-04-15,4.20289
2020-04-16,5.50724
2020-04-17,8.9855
2020-04-18,10.0
2020-04-19,8.84057
2020-04-20,6.95652
2020-04-21,9.71014
2020-04-22,12.17391
2020-04-23,8.26086
2020-04-24,4.7826
2020-04-25,2.46376
2020-04-26,3.91304
2020-04-27,4.34782
2020-04-28,5.50724
2020-04-29,5.07246
2020-04-30,4.49275
2020-05-01,0.86956
2020-05-02,2.60869
2020-05-03,4.49275
2020-05-04,2.31884
2020-05-05,2.89855
2020-05-06,3.04347
2020-05-07,6.66666
2020-05-08,8.26086
2020-05-09,3.76811
2020-05-10,2.31884
2020-05-11,4.05797
2020-05-12,4.92753
2020-05-13,4.34782
2020-05-14,4.20289
2020-05-15,2.89855
2020-05-16,1.15942
2020-05-17,29.27536
2020-05-18,31.88405
2020-05-19,11.73913
2020-05-20,7.97101
2020-05-21,4.92753
2020-05-22,3.62318
2020-05-23,3.33333
2020-05-24,3.47826
2020-05-25,5.94202
2020-05-26,4.34782
2020-05-27,6.23188
2020-05-28,5.21739
2020-05-29,4.34782
2020-05-30,0.86956
2020-05-31,3.33333
2020-06-01,4.7826
2020-06-02,4.92753
2020-06-03,5.94202
2020-06-04,4.34782
2020-06-05,7.3913
2020-06-06,5.36231
2020-06-07,3.1884
2020-06-08,6.52173
2020-06-09,6.52173
2020-06-10,5.21739
2020-06-11,3.47826
2020-06-12,3.91304
2020-06-13,4.05797
2020-06-14,3.91304
2020-06-15,4.7826
2020-06-16,5.50724
2020-06-17,3.91304
2020-06-18,2.75362
2020-06-19,2.75362
2020-06-20,3.62318
2020-06-21,2.02898
2020-06-22,3.33333
2020-06-23,4.7826
2020-06-24,5.21739
2020-06-25,3.04347
2020-06-26,2.60869
2020-06-27,1.15942
2020-06-28,1.5942
2020-06-29,4.34782
2020-06-30,2.17391
2020-07-01,2.89855
2020-07-02,2.46376
2020-07-03,3.76811
2020-07-05,1.15942
2020-07-06,3.62318
2020-07-07,5.07246
2020-07-08,2.60869
2020-07-09,4.20289
2020-07-10,2.46376
2020-07-11,1.88405
2020-07-12,5.36231
2020-07-13,6.81159
2020-07-14,4.34782
2020-07-15,4.05797
2020-07-16,3.47826
2020-07-17,3.91304
2020-07-18,1.01449
2020-07-19,4.20289
2020-07-20,3.33333
2020-07-21,4.63768
2020-07-22,24.20289
2020-07-23,81.73913
2020-07-24,43.33333
2020-07-25,10.28985
2020-07-26,21.01449
2020-07-27,12.02898
2020-07-28,7.53623
2020-07-29,10.0
2020-07-30,5.65217
2020-07-31,9.71014
2020-08-01,8.55072
2020-08-02,6.81159
2020-08-03,5.65217
2020-08-04,8.40579
2020-08-05,10.57971
2020-08-06,6.95652
2020-08-07,9.71014
2020-08-08,5.21739
2020-08-09,5.65217
2020-08-10,8.40579
2020-08-11,8.69565
2020-08-12,7.53623
2020-08-13,8.26086
2020-08-14,4.7826
2020-08-15,3.04347
2020-08-16,4.20289
2020-08-17,4.05797
2020-08-18,5.94202
2020-08-19,5.94202
2020-08-20,7.3913
2020-08-21,5.65217
2020-08-22,2.31884
2020-08-23,3.91304
2020-08-24,11.30434
2020-08-25,8.69565
2020-08-26,7.53623
2020-08-27,5.65217
2020-08-28,6.81159
2020-08-29,5.07246
2020-08-30,4.7826
2020-08-31,17.97101
2020-09-01,7.68115
