date,간병보험
2020-11-08,7.55429
2020-11-09,12.46458
2020-11-10,13.03116
2020-11-11,13.5033
2020-11-12,11.33144
2020-11-13,9.72615
2020-11-14,4.06043
2020-11-15,7.83758
2020-11-16,11.99244
2020-11-17,15.39187
2020-11-18,12.1813
2020-11-19,11.99244
2020-11-20,9.63172
2020-11-21,6.70443
2020-11-22,6.42115
2020-11-23,11.33144
2020-11-24,9.53729
2020-11-25,10.48158
2020-11-26,10.57601
2020-11-27,10.00944
2020-11-28,4.91029
2020-11-29,8.12086
2020-11-30,9.82058
2020-12-01,11.14258
2020-12-02,7.83758
2020-12-03,10.00944
2020-12-04,7.45986
2020-12-05,6.13786
2020-12-06,9.63172
2020-12-07,10.10387
2020-12-08,11.42587
2020-12-09,9.91501
2020-12-10,9.34844
2020-12-11,9.15958
2020-12-12,8.30972
2020-12-13,5.66572
2020-12-14,10.00944
2020-12-15,9.34844
2020-12-16,11.99244
2020-12-17,16.43059
2020-12-18,12.37016
2020-12-19,8.59301
2020-12-20,9.82058
2020-12-21,9.15958
2020-12-22,10.1983
2020-12-23,11.04815
2020-12-24,11.70915
2020-12-25,8.59301
2020-12-26,7.55429
2020-12-27,6.98772
2020-12-28,10.76487
2020-12-29,10.00944
2020-12-30,9.06515
2020-12-31,8.02644
2021-01-01,6.51558
2021-01-02,7.55429
2021-01-03,6.61
2021-01-04,8.87629
2021-01-05,11.61473
2021-01-06,10.76487
2021-01-07,8.12086
2021-01-08,8.21529
2021-01-09,5.288
2021-01-10,6.04343
2021-01-11,10.1983
2021-01-12,12.08687
2021-01-13,8.68744
2021-01-14,10.57601
2021-01-15,11.89801
2021-01-16,10.1983
2021-01-17,7.74315
2021-01-18,11.04815
2021-01-19,11.80358
2021-01-20,12.27573
2021-01-21,11.70915
2021-01-22,12.74787
2021-01-23,7.64872
2021-01-24,12.1813
2021-01-25,14.25873
2021-01-26,13.69216
2021-01-27,11.89801
2021-01-28,12.1813
2021-01-29,9.82058
2021-01-30,5.57129
2021-01-31,7.17658
2021-02-01,11.80358
2021-02-02,10.29272
2021-02-03,10.1983
2021-02-04,10.95372
2021-02-05,9.25401
2021-02-06,7.74315
2021-02-07,51.08593
2021-02-08,26.25118
2021-02-09,18.50802
2021-02-10,14.35316
2021-02-11,10.57601
2021-02-12,14.1643
