date,정보공개법
2020-03-20,30.53691
2020-03-21,8.38926
2020-03-22,9.73154
2020-03-23,43.95973
2020-03-24,48.99328
2020-03-25,36.57718
2020-03-26,38.25503
2020-03-27,30.87248
2020-03-28,11.74496
2020-03-29,6.37583
2020-03-30,36.91275
2020-03-31,47.31543
2020-04-01,39.93288
2020-04-02,43.28859
2020-04-03,26.17449
2020-04-04,10.73825
2020-04-05,9.0604
2020-04-06,37.58389
2020-04-07,41.27516
2020-04-08,43.62416
2020-04-09,42.95302
2020-04-10,29.19463
2020-04-11,11.40939
2020-04-12,9.39597
2020-04-13,38.5906
2020-04-14,35.90604
2020-04-15,9.0604
2020-04-16,42.28187
2020-04-17,31.87919
2020-04-18,8.72483
2020-04-19,9.73154
2020-04-20,30.87248
2020-04-21,41.61073
2020-04-22,37.24832
2020-04-23,43.28859
2020-04-24,27.85234
2020-04-25,8.72483
2020-04-26,6.04026
2020-04-27,40.60402
2020-04-28,40.26845
2020-04-29,41.27516
2020-04-30,11.74496
2020-05-01,18.1208
2020-05-02,7.71812
2020-05-03,6.04026
2020-05-04,26.17449
2020-05-05,9.0604
2020-05-06,47.31543
2020-05-07,42.28187
2020-05-08,35.57046
2020-05-09,7.04697
2020-05-10,8.72483
2020-05-11,36.91275
2020-05-12,40.60402
2020-05-13,44.63087
2020-05-14,46.64429
2020-05-15,34.89932
2020-05-16,8.72483
2020-05-17,10.73825
2020-05-18,46.97986
2020-05-19,46.64429
2020-05-20,45.63758
2020-05-21,49.32885
2020-05-22,37.24832
2020-05-23,7.38255
2020-05-24,12.08053
2020-05-25,49.32885
2020-05-26,52.34899
2020-05-27,42.61744
2020-05-28,36.57718
2020-05-29,29.86577
2020-05-30,11.07382
2020-05-31,8.38926
2020-06-01,37.91946
2020-06-02,40.93959
2020-06-03,35.90604
2020-06-04,35.57046
2020-06-05,32.8859
2020-06-06,8.72483
2020-06-07,5.70469
2020-06-08,38.5906
2020-06-09,41.61073
2020-06-10,43.95973
2020-06-11,46.97986
2020-06-12,39.59731
2020-06-13,9.39597
2020-06-14,12.08053
2020-06-15,42.28187
2020-06-16,46.30872
2020-06-17,44.63087
2020-06-18,46.97986
2020-06-19,39.93288
2020-06-20,15.77181
2020-06-21,15.77181
2020-06-22,44.63087
2020-06-23,53.69127
2020-06-24,57.04697
2020-06-25,45.97315
2020-06-26,38.25503
2020-06-27,12.75167
2020-06-28,7.38255
2020-06-29,35.57046
2020-06-30,39.93288
2020-07-01,39.93288
2020-07-02,40.26845
2020-07-03,34.22818
2020-07-04,6.37583
2020-07-05,7.71812
2020-07-06,47.98657
2020-07-07,51.00671
2020-07-08,45.30201
2020-07-09,46.64429
2020-07-10,37.24832
2020-07-11,10.40268
2020-07-12,12.08053
2020-07-13,46.97986
2020-07-14,57.71812
2020-07-15,43.95973
2020-07-16,50.33557
2020-07-17,42.61744
2020-07-18,10.40268
2020-07-19,5.36912
2020-07-20,45.97315
2020-07-21,48.65771
2020-07-22,49.66442
2020-07-23,40.26845
2020-07-24,39.26174
2020-07-25,5.70469
2020-07-26,8.05369
2020-07-27,49.66442
2020-07-28,43.95973
2020-07-29,45.63758
2020-07-30,39.59731
2020-07-31,36.57718
2020-08-01,7.71812
2020-08-02,9.0604
2020-08-03,37.58389
2020-08-04,52.01342
2020-08-05,48.99328
2020-08-06,38.25503
2020-08-07,38.5906
2020-08-08,6.7114
2020-08-09,9.0604
2020-08-10,42.61744
2020-08-11,42.95302
2020-08-12,43.95973
2020-08-13,43.28859
2020-08-14,27.1812
2020-08-15,5.70469
2020-08-16,2.01342
2020-08-17,8.38926
2020-08-18,40.26845
2020-08-19,39.93288
2020-08-20,38.25503
2020-08-21,38.92617
2020-08-22,6.04026
2020-08-23,6.7114
2020-08-24,44.63087
2020-08-25,43.95973
2020-08-26,51.00671
2020-08-27,53.69127
2020-08-28,34.56375
2020-08-29,6.37583
2020-08-30,7.71812
2020-08-31,45.63758
2020-09-01,40.26845
2020-09-02,42.28187
2020-09-03,57.04697
2020-09-04,38.5906
2020-09-05,7.04697
2020-09-06,12.08053
2020-09-07,52.34899
2020-09-08,58.38926
2020-09-09,49.32885
2020-09-10,49.66442
2020-09-11,35.57046
