date,ISA계좌추천
2020-03-25,1.0989
2020-03-31,2.1978
2020-07-08,1.31868
2020-07-23,1.31868
2020-09-09,1.0989
2020-11-12,1.0989
2020-11-19,1.53846
2020-11-22,1.31868
2020-12-01,1.53846
2020-12-06,1.0989
2020-12-09,1.75824
2020-12-11,1.0989
2020-12-13,1.0989
2020-12-14,2.41758
2020-12-17,1.53846
2020-12-20,1.31868
2020-12-21,2.63736
2020-12-24,1.0989
2020-12-27,1.0989
2020-12-29,1.97802
2020-12-30,3.51648
2020-12-31,1.0989
2021-01-02,1.53846
2021-01-03,1.97802
2021-01-04,5.05494
2021-01-05,1.53846
2021-01-07,2.41758
2021-01-08,3.73626
2021-01-10,1.53846
2021-01-11,1.97802
2021-01-12,3.2967
2021-01-13,1.75824
2021-01-19,1.0989
2021-01-21,3.51648
2021-01-24,1.31868
2021-01-25,1.53846
2021-01-26,1.53846
2021-01-31,2.41758
2021-02-01,1.31868
2021-02-02,1.31868
2021-02-03,1.97802
2021-02-07,1.0989
2021-02-08,1.0989
2021-02-16,1.97802
2021-02-21,1.0989
2021-02-22,4.61538
2021-02-24,1.0989
2021-02-25,3.07692
2021-02-27,1.75824
2021-02-28,1.0989
2021-03-01,1.31868
2021-03-02,1.53846
2021-03-03,1.31868
2021-03-04,2.85714
2021-03-06,1.31868
2021-03-07,1.31868
2021-03-08,1.0989
2021-03-11,1.75824
2021-03-12,4.17582
2021-03-13,1.0989
2021-03-14,1.75824
2021-03-15,3.2967
2021-03-16,1.0989
2021-03-17,4.17582
2021-03-18,1.0989
2021-03-19,1.53846
2021-03-20,1.0989
2021-03-22,3.07692
2021-03-23,4.17582
2021-03-24,4.3956
2021-03-25,2.63736
2021-03-26,3.07692
2021-03-27,1.75824
2021-03-28,2.1978
2021-03-29,1.0989
2021-03-30,1.31868
2021-03-31,1.97802
2021-04-01,2.41758
2021-04-02,1.53846
2021-04-03,1.31868
2021-04-04,1.0989
2021-04-05,1.53846
2021-04-06,2.85714
2021-04-07,1.0989
2021-04-08,1.0989
2021-04-11,2.41758
2021-04-12,4.83516
2021-04-13,5.93406
2021-04-14,2.41758
2021-04-15,2.41758
2021-04-16,3.07692
2021-04-17,1.75824
2021-04-18,2.85714
2021-04-19,2.63736
2021-04-20,3.07692
2021-04-22,2.85714
2021-04-23,2.63736
2021-04-24,1.75824
2021-04-25,1.75824
2021-04-26,1.0989
2021-04-27,1.97802
2021-04-28,5.93406
2021-04-29,1.0989
2021-05-02,2.1978
2021-05-03,2.1978
2021-05-04,2.1978
2021-05-05,2.41758
2021-05-06,1.31868
2021-05-07,3.95604
2021-05-09,1.0989
2021-05-10,2.1978
2021-05-11,2.1978
2021-05-12,1.53846
2021-05-13,2.41758
2021-05-14,1.53846
2021-05-17,3.07692
2021-05-19,1.0989
2021-05-20,2.63736
2021-05-21,1.31868
2021-05-22,1.53846
2021-05-23,1.31868
2021-05-24,1.31868
2021-05-25,3.07692
2021-05-26,1.53846
2021-05-27,1.0989
2021-05-30,1.75824
2021-05-31,1.0989
2021-06-01,3.51648
2021-06-02,2.63736
2021-06-03,1.0989
2021-06-04,3.2967
2021-06-06,1.97802
2021-06-07,2.1978
2021-06-10,1.53846
2021-06-11,1.53846
2021-06-14,1.31868
2021-06-15,1.75824
2021-06-16,2.1978
2021-06-17,1.31868
2021-06-18,1.0989
2021-06-24,1.0989
2021-06-26,1.53846
2021-06-28,1.31868
2021-06-29,3.51648
2021-06-30,1.31868
2021-07-01,1.0989
2021-07-02,1.0989
2021-07-03,1.31868
2021-07-04,1.31868
2021-07-06,3.2967
2021-07-07,2.63736
2021-07-11,1.0989
2021-07-12,3.2967
2021-07-13,2.41758
2021-07-14,1.0989
2021-07-16,3.07692
2021-07-18,1.31868
2021-07-19,2.1978
2021-07-20,1.0989
2021-07-22,1.0989
2021-07-24,1.75824
2021-07-26,6.5934
2021-07-27,16.70329
2021-07-28,11.20879
2021-07-29,5.4945
2021-07-30,5.93406
2021-07-31,5.05494
2021-08-01,7.25274
2021-08-02,8.35164
2021-08-03,8.35164
2021-08-04,6.37362
2021-08-05,8.13186
2021-08-06,5.27472
2021-08-07,1.53846
2021-08-08,5.27472
2021-08-09,4.61538
2021-08-10,5.4945
2021-08-11,7.25274
2021-08-12,9.23076
2021-08-13,7.47252
2021-08-14,3.95604
2021-08-15,3.07692
2021-08-16,6.5934
2021-08-17,14.50549
2021-08-18,13.40659
2021-08-19,7.25274
2021-08-20,3.51648
2021-08-21,4.17582
2021-08-22,1.75824
2021-08-23,4.61538
2021-08-24,5.93406
2021-08-25,3.73626
2021-08-26,5.4945
2021-08-27,7.03296
2021-08-28,3.51648
