date,비트코인하는법
2020-03-20,1.31266
2020-03-21,0.81677
2020-03-22,0.87122
2020-03-23,1.31266
2020-03-24,1.29711
2020-03-25,1.47407
2020-03-26,1.21154
2020-03-27,1.04041
2020-03-28,0.94123
2020-03-29,0.85566
2020-03-30,0.89066
2020-03-31,0.90428
2020-04-01,0.84399
2020-04-02,0.76231
2020-04-03,0.65341
2020-04-04,0.492
2020-04-05,0.49395
2020-04-06,0.95484
2020-04-07,1.04041
2020-04-08,0.89455
2020-04-09,0.77593
2020-04-10,0.57757
2020-04-11,0.492
2020-04-12,0.65147
2020-04-13,0.79537
2020-04-14,0.59118
2020-04-15,0.57951
2020-04-16,0.52117
2020-04-17,0.45311
2020-04-18,0.40838
2020-04-19,0.4006
2020-04-20,0.48033
2020-04-21,0.50367
2020-04-22,0.50173
2020-04-23,0.52312
2020-04-24,0.59702
2020-04-25,0.51534
2020-04-26,0.49006
2020-04-27,0.55423
2020-04-28,0.57368
2020-04-29,0.92567
2020-04-30,1.64326
2020-05-01,0.67869
2020-05-02,0.42783
2020-05-03,0.52312
2020-05-04,0.43561
2020-05-05,0.40644
2020-05-06,0.63591
2020-05-07,0.6223
2020-05-08,0.63202
2020-05-09,0.55423
2020-05-10,0.52312
2020-05-11,0.5834
2020-05-12,0.52117
2020-05-13,0.46672
2020-05-14,0.56979
2020-05-15,0.51534
2020-05-16,0.44338
2020-05-17,0.35782
2020-05-18,0.46867
2020-05-19,0.51534
2020-05-20,0.48228
2020-05-21,0.57951
2020-05-22,0.44727
2020-05-23,0.37143
2020-05-24,0.38893
2020-05-25,0.47644
2020-05-26,0.46478
2020-05-27,0.38115
2020-05-28,0.35004
2020-05-29,0.35782
2020-05-30,0.38893
2020-05-31,0.39282
2020-06-01,0.33837
2020-06-02,0.40255
2020-06-03,0.39477
2020-06-04,0.33059
2020-06-05,0.30726
2020-06-06,0.32476
2020-06-07,0.35587
2020-06-08,0.492
2020-06-09,0.40449
2020-06-10,0.39866
2020-06-11,0.38115
2020-06-12,0.31115
2020-06-13,0.2353
2020-06-14,0.30531
2020-06-15,0.3481
2020-06-16,0.46283
2020-06-17,0.38504
2020-06-18,0.38504
2020-06-19,0.32087
2020-06-20,0.25086
2020-06-21,0.36171
2020-06-22,0.36171
2020-06-23,0.41033
2020-06-24,0.34032
2020-06-25,0.33448
2020-06-26,1.03846
2020-06-27,0.79149
2020-06-28,0.7662
2020-06-29,0.68258
2020-06-30,0.72731
2020-07-01,0.83816
2020-07-02,0.58146
2020-07-03,0.57757
2020-07-04,0.54451
2020-07-05,0.47644
2020-07-06,0.55618
2020-07-07,0.6223
2020-07-08,0.61841
2020-07-09,0.49784
2020-07-10,0.4395
2020-07-11,0.42977
2020-07-12,0.38115
2020-07-13,0.59313
2020-07-14,0.61646
2020-07-15,0.46089
2020-07-16,0.43366
2020-07-17,0.48617
2020-07-18,0.35004
2020-07-19,0.42199
2020-07-20,0.49006
2020-07-21,0.48811
2020-07-22,0.5095
2020-07-23,0.38115
2020-07-24,0.3267
2020-07-25,0.35587
2020-07-26,0.41616
2020-07-27,1.59464
2020-07-28,1.65687
2020-07-29,1.26016
2020-07-30,0.96845
2020-07-31,0.79343
2020-08-01,0.78176
2020-08-02,1.17848
2020-08-03,0.87705
2020-08-04,0.88872
2020-08-05,0.7137
2020-08-06,0.73509
2020-08-07,0.66119
2020-08-08,0.457
2020-08-09,0.57173
2020-08-10,0.85955
2020-08-11,0.7662
2020-08-12,0.68453
2020-08-13,0.72731
2020-08-14,0.78371
2020-08-15,0.54062
2020-08-16,0.55423
2020-08-17,0.81871
2020-08-18,0.79926
2020-08-19,0.66508
2020-08-20,0.64758
2020-08-21,0.69231
2020-08-22,0.5309
2020-08-23,0.64952
2020-08-24,0.78371
2020-08-25,0.914
2020-08-26,0.79149
2020-08-27,0.7312
2020-08-28,0.6223
2020-08-29,0.55618
2020-08-30,0.6223
2020-08-31,0.74481
2020-09-01,0.70203
2020-09-02,0.66314
2020-09-03,0.54062
2020-09-04,0.52701
2020-09-05,0.52117
2020-09-06,0.60091
2020-09-07,0.57757
2020-09-08,0.56785
2020-09-09,0.61452
2020-09-10,0.90622
2020-09-11,0.79537
2020-09-12,0.61063
2020-09-13,0.55618
2020-09-14,0.6223
2020-09-15,0.56201
2020-09-16,0.51145
2020-09-17,0.46478
2020-09-18,0.51145
2020-09-19,0.41616
2020-09-20,0.5309
2020-09-21,0.51728
2020-09-22,0.37338
2020-09-23,0.35004
2020-09-24,0.42783
2020-09-25,0.41616
2020-09-26,0.34421
2020-09-27,0.39088
2020-09-28,0.41616
2020-09-29,0.35004
2020-09-30,0.35198
2020-10-01,0.35393
2020-10-02,0.34615
2020-10-03,0.35198
2020-10-04,0.35587
2020-10-05,0.39477
2020-10-06,0.43561
2020-10-07,0.44922
2020-10-08,0.43755
2020-10-09,0.4395
2020-10-10,0.47839
2020-10-11,0.46867
2020-10-12,0.50173
2020-10-13,0.41227
2020-10-14,0.46089
2020-10-15,0.52701
2020-10-16,0.61063
2020-10-17,0.40255
2020-10-18,0.3481
2020-10-19,0.38115
2020-10-20,0.55812
2020-10-21,0.55812
2020-10-22,0.80121
2020-10-23,0.52312
2020-10-24,0.35004
2020-10-25,0.43561
2020-10-26,0.41421
2020-10-27,0.41421
2020-10-28,0.6223
2020-10-29,0.38699
2020-10-30,0.43561
2020-10-31,0.46672
2020-11-01,0.42977
2020-11-02,0.62424
2020-11-03,0.58729
2020-11-04,0.42977
2020-11-05,0.73703
2020-11-06,1.54408
2020-11-07,0.80315
2020-11-08,0.73703
2020-11-09,0.68064
2020-11-10,0.69231
2020-11-11,0.98401
2020-11-12,0.79926
2020-11-13,1.0054
2020-11-14,0.89066
2020-11-15,0.72731
2020-11-16,0.63202
2020-11-17,1.24265
2020-11-18,6.03632
2020-11-19,4.41834
2020-11-20,3.54128
2020-11-21,6.02076
2020-11-22,4.92201
2020-11-23,4.44167
2020-11-24,6.68002
2020-11-25,5.00758
2020-11-26,4.38722
2020-11-27,2.87814
2020-11-28,3.22041
2020-11-29,2.95398
2020-11-30,3.02594
2020-12-01,7.29454
2020-12-02,4.3775
2020-12-03,3.57434
2020-12-04,2.87036
2020-12-05,2.56893
2020-12-06,3.516
2020-12-07,3.20096
2020-12-08,2.46781
2020-12-09,2.59227
2020-12-10,2.75174
2020-12-11,2.04581
2020-12-12,1.58492
2020-12-13,1.69382
2020-12-14,1.72299
2020-12-15,1.40017
2020-12-16,1.86496
2020-12-17,11.85679
2020-12-18,6.82781
2020-12-19,4.75088
2020-12-20,4.80922
2020-12-21,5.29734
2020-12-22,4.1383
2020-12-23,3.88938
2020-12-24,3.19513
2020-12-25,2.9851
2020-12-26,4.02356
2020-12-27,16.26346
2020-12-28,9.68846
2020-12-29,4.69059
2020-12-30,6.72863
2020-12-31,7.28676
2021-01-01,5.86908
2021-01-02,7.39761
2021-01-03,46.7932
2021-01-04,25.44047
2021-01-05,13.52728
2021-01-06,15.43502
2021-01-07,31.49041
2021-01-08,37.29143
2021-01-09,29.55933
2021-01-10,25.48714
2021-01-11,21.68332
2021-01-12,15.06553
2021-01-13,10.82027
2021-01-14,13.6109
2021-01-15,10.18435
2021-01-16,11.59814
2021-01-17,11.71288
2021-01-18,7.26148
2021-01-19,7.03589
2021-01-20,5.91964
2021-01-21,5.54237
2021-01-22,6.76169
2021-01-23,6.41165
2021-01-24,4.75866
2021-01-25,5.09898
2021-01-26,4.44556
2021-01-27,3.14845
2021-01-28,3.03177
2021-01-29,3.70075
2021-01-30,3.8641
2021-01-31,3.43043
2021-02-01,6.21523
2021-02-02,6.04993
2021-02-03,4.9084
2021-02-04,5.64933
2021-02-05,4.6867
2021-02-06,4.80922
2021-02-07,4.74116
2021-02-08,7.1623
2021-02-09,39.92649
2021-02-10,17.9359
2021-02-11,11.95013
2021-02-12,18.74295
2021-02-13,25.38018
2021-02-14,19.1455
2021-02-15,23.39271
2021-02-16,22.99793
2021-02-17,42.89798
2021-02-18,62.623
2021-02-19,51.90579
2021-02-20,100.0
2021-02-21,66.09038
2021-02-22,73.65718
2021-02-23,46.29924
2021-02-24,25.58243
2021-02-25,22.4437
2021-02-26,16.25957
2021-02-27,16.44432
2021-02-28,12.61327
