date,상속세및증여세법
2020-03-20,70.63953
2020-03-21,19.76744
2020-03-22,19.47674
2020-03-23,84.88372
2020-03-24,85.46511
2020-03-25,81.10465
2020-03-26,93.02325
2020-03-27,90.11627
2020-03-28,36.3372
2020-03-29,25.58139
2020-03-30,100.0
2020-03-31,89.53488
2020-04-01,69.47674
2020-04-02,73.25581
2020-04-03,60.46511
2020-04-04,18.02325
2020-04-05,18.31395
2020-04-06,69.18604
2020-04-07,67.15116
2020-04-08,65.11627
2020-04-09,59.01162
2020-04-10,52.32558
2020-04-11,14.53488
2020-04-12,18.02325
2020-04-13,67.15116
2020-04-14,61.04651
2020-04-15,22.09302
2020-04-16,62.5
2020-04-17,64.53488
2020-04-18,24.7093
2020-04-19,17.73255
2020-04-20,74.7093
2020-04-21,74.1279
2020-04-22,66.27906
2020-04-23,62.5
2020-04-24,63.66279
2020-04-25,24.1279
2020-04-26,21.22093
2020-04-27,55.23255
2020-04-28,66.27906
2020-04-29,56.10465
2020-04-30,14.53488
2020-05-01,19.47674
2020-05-02,15.40697
2020-05-03,17.15116
2020-05-04,45.93023
2020-05-05,20.93023
2020-05-06,52.90697
2020-05-07,40.98837
2020-05-08,42.73255
2020-05-09,11.3372
2020-05-10,14.53488
2020-05-11,45.93023
2020-05-12,50.58139
2020-05-13,43.02325
2020-05-14,38.66279
2020-05-15,36.6279
2020-05-16,13.08139
2020-05-17,12.2093
2020-05-18,50.0
2020-05-19,55.81395
2020-05-20,48.54651
2020-05-21,47.96511
2020-05-22,38.37209
2020-05-23,8.13953
2020-05-24,13.95348
2020-05-25,49.1279
2020-05-26,54.36046
2020-05-27,49.1279
2020-05-28,53.48837
2020-05-29,35.46511
2020-05-30,10.17441
2020-05-31,10.17441
2020-06-01,59.30232
2020-06-02,59.01162
2020-06-03,41.56976
2020-06-04,40.40697
2020-06-05,45.05813
2020-06-06,11.6279
2020-06-07,13.95348
2020-06-08,56.10465
2020-06-09,54.94186
2020-06-10,54.65116
2020-06-11,46.22093
2020-06-12,56.97674
2020-06-13,11.3372
2020-06-14,12.79069
2020-06-15,62.79069
2020-06-16,56.39534
2020-06-17,59.01162
2020-06-18,54.36046
2020-06-19,44.47674
2020-06-20,11.3372
2020-06-21,10.46511
2020-06-22,52.90697
2020-06-23,52.03488
2020-06-24,53.77906
2020-06-25,47.96511
2020-06-26,44.76744
2020-06-27,12.79069
2020-06-28,14.24418
2020-06-29,54.94186
2020-06-30,48.54651
2020-07-01,45.93023
2020-07-02,47.09302
2020-07-03,29.94186
2020-07-04,9.88372
2020-07-05,8.43023
2020-07-06,38.37209
2020-07-07,38.08139
2020-07-08,48.25581
2020-07-09,45.63953
2020-07-10,42.44186
2020-07-11,10.75581
2020-07-12,18.02325
2020-07-13,44.47674
2020-07-14,56.39534
2020-07-15,51.16279
2020-07-16,41.56976
2020-07-17,42.15116
2020-07-18,13.37209
2020-07-19,13.37209
2020-07-20,44.47674
2020-07-21,47.38372
2020-07-22,44.18604
2020-07-23,50.0
2020-07-24,37.5
2020-07-25,12.79069
2020-07-26,15.11627
2020-07-27,49.7093
2020-07-28,47.96511
2020-07-29,48.8372
2020-07-30,42.44186
2020-07-31,37.2093
2020-08-01,11.6279
2020-08-02,11.04651
2020-08-03,45.05813
2020-08-04,45.93023
2020-08-05,44.76744
2020-08-06,43.02325
2020-08-07,31.97674
2020-08-08,8.43023
2020-08-09,10.17441
2020-08-10,48.54651
2020-08-11,40.98837
2020-08-12,45.05813
2020-08-13,47.96511
2020-08-14,34.01162
2020-08-15,7.26744
2020-08-16,13.66279
2020-08-17,15.11627
2020-08-18,55.81395
2020-08-19,42.15116
2020-08-20,46.80232
2020-08-21,33.13953
2020-08-22,7.84883
2020-08-23,11.6279
2020-08-24,49.4186
2020-08-25,49.4186
2020-08-26,47.67441
2020-08-27,37.5
2020-08-28,35.46511
2020-08-29,11.04651
2020-08-30,15.98837
2020-08-31,54.94186
2020-09-01,34.01162
2020-09-02,44.76744
2020-09-03,45.93023
2020-09-04,38.08139
2020-09-05,9.59302
2020-09-06,11.04651
2020-09-07,47.67441
2020-09-08,40.40697
2020-09-09,50.87209
2020-09-10,46.51162
2020-09-11,41.56976
2020-09-12,9.59302
2020-09-13,14.82558
2020-09-14,51.16279
2020-09-15,43.89534
2020-09-16,46.51162
2020-09-17,43.31395
2020-09-18,38.95348
2020-09-19,9.88372
2020-09-20,15.40697
2020-09-21,41.56976
2020-09-22,39.53488
2020-09-23,43.89534
2020-09-24,51.16279
2020-09-25,33.43023
2020-09-26,13.08139
2020-09-27,9.59302
2020-09-28,37.79069
2020-09-29,33.13953
2020-09-30,5.52325
2020-10-01,5.81395
2020-10-02,11.6279
2020-10-03,10.46511
2020-10-04,11.9186
2020-10-05,38.08139
2020-10-06,51.16279
2020-10-07,50.87209
2020-10-08,46.22093
2020-10-09,12.79069
2020-10-10,6.68604
2020-10-11,11.9186
2020-10-12,39.24418
2020-10-13,42.73255
2020-10-14,47.38372
2020-10-15,43.60465
2020-10-16,40.40697
2020-10-17,6.97674
2020-10-18,13.08139
2020-10-19,48.54651
2020-10-20,50.29069
2020-10-21,45.63953
2020-10-22,44.76744
2020-10-23,42.15116
2020-10-24,11.9186
2020-10-25,25.87209
2020-10-26,58.72093
2020-10-27,57.26744
2020-10-28,51.74418
2020-10-29,42.73255
2020-10-30,35.75581
2020-10-31,10.46511
2020-11-01,10.46511
2020-11-02,39.24418
2020-11-03,40.69767
2020-11-04,40.98837
2020-11-05,51.16279
2020-11-06,45.34883
2020-11-07,11.9186
2020-11-08,13.37209
2020-11-09,35.17441
2020-11-10,40.69767
2020-11-11,41.56976
2020-11-12,42.15116
2020-11-13,39.53488
2020-11-14,12.2093
2020-11-15,14.53488
2020-11-16,47.67441
2020-11-17,38.95348
2020-11-18,54.06976
2020-11-19,52.32558
2020-11-20,44.47674
2020-11-21,20.63953
