date,오늘의순금시세
2020-03-20,100.0
2020-03-21,58.73965
2020-03-22,45.97782
2020-03-23,75.08361
2020-03-24,76.77345
2020-03-25,78.37528
2020-03-26,75.53247
2020-03-27,65.15578
2020-03-28,44.07674
2020-03-29,36.72768
2020-03-30,61.8201
2020-03-31,60.19186
2020-04-01,58.15877
2020-04-02,57.19943
2020-04-03,53.17725
2020-04-04,40.57384
2020-04-05,35.05544
2020-04-06,56.9706
2020-04-07,60.87836
2020-04-08,64.76852
2020-04-09,57.70991
2020-04-10,64.09963
2020-04-11,46.66431
2020-04-12,55.87924
2020-04-13,82.08061
2020-04-14,82.6527
2020-04-15,58.11476
2020-04-16,75.89332
2020-04-17,79.52825
2020-04-18,50.64249
2020-04-19,41.7268
2020-04-20,66.37915
2020-04-21,71.98556
2020-04-22,72.70726
2020-04-23,70.70058
2020-04-24,78.34888
2020-04-25,53.06284
2020-04-26,46.29466
2020-04-27,82.58229
2020-04-28,73.58739
2020-04-29,64.78612
2020-04-30,49.40151
2020-05-01,48.89104
2020-05-02,42.73895
2020-05-03,38.39992
2020-05-04,57.76271
2020-05-05,46.18024
2020-05-06,65.67505
2020-05-07,56.40732
2020-05-08,51.31138
2020-05-09,40.9963
2020-05-10,34.02569
2020-05-11,56.83858
2020-05-12,52.97482
2020-05-13,50.18482
2020-05-14,51.98028
2020-05-15,52.73719
2020-05-16,39.5881
2020-05-17,33.91128
2020-05-18,69.31878
2020-05-19,69.27477
2020-05-20,63.80918
2020-05-21,38.61116
2020-05-22,30.94525
2020-05-23,17.72575
2020-05-24,13.44833
2020-05-25,27.42474
2020-05-26,25.62929
2020-05-27,23.08572
2020-05-28,24.14187
2020-05-29,22.13518
2020-05-30,13.43953
2020-05-31,12.79704
2020-06-01,24.3355
2020-06-02,24.20348
2020-06-03,24.70515
2020-06-04,26.28938
2020-06-05,23.72821
2020-06-06,15.02376
2020-06-07,12.19855
2020-06-08,24.00105
2020-06-09,25.07481
2020-06-10,23.71941
2020-06-11,22.39922
2020-06-12,23.93064
2020-06-13,15.26139
2020-06-14,11.67928
2020-06-15,23.53458
2020-06-16,23.83383
2020-06-17,21.5367
2020-06-18,20.51575
2020-06-19,18.29783
2020-06-20,11.53846
2020-06-21,10.25347
2020-06-22,23.6754
2020-06-23,22.54884
2020-06-24,20.42774
2020-06-25,19.77644
2020-06-26,17.85777
2020-06-27,11.08959
2020-06-28,9.22372
2020-06-29,17.50572
2020-06-30,17.24168
2020-07-01,19.20436
2020-07-02,16.88963
2020-07-03,16.50237
2020-07-04,10.13025
2020-07-05,8.48442
2020-07-06,18.03379
2020-07-07,16.49357
2020-07-08,17.84897
2020-07-09,19.73244
2020-07-10,18.0866
2020-07-11,11.73208
2020-07-12,9.68139
2020-07-13,20.92941
2020-07-14,24.37951
2020-07-15,22.42562
2020-07-16,22.63685
2020-07-17,21.01742
2020-07-18,13.68597
2020-07-19,10.89596
2020-07-20,21.01742
2020-07-21,19.94367
2020-07-22,23.78982
2020-07-23,28.33127
2020-07-24,30.45238
2020-07-25,24.01865
2020-07-26,15.279
2020-07-27,32.32705
2020-07-28,39.6321
2020-07-29,39.17444
2020-07-30,31.9926
2020-07-31,29.68667
2020-08-01,18.8083
2020-08-02,15.41101
2020-08-03,25.58528
2020-08-04,25.40925
2020-08-05,35.91797
2020-08-06,33.15437
2020-08-07,31.9838
2020-08-08,19.08114
2020-08-09,14.6101
2020-08-10,28.04083
2020-08-11,27.8472
2020-08-12,41.04911
2020-08-13,33.4008
2020-08-14,26.12216
2020-08-15,17.64654
2020-08-16,13.35152
2020-08-17,19.34518
2020-08-18,27.86481
2020-08-19,26.02534
2020-08-20,24.88998
2020-08-21,24.15067
2020-08-22,13.58035
2020-08-23,11.18641
2020-08-24,22.30241
2020-08-25,23.25294
2020-08-26,20.90301
2020-08-27,21.25506
2020-08-28,18.05139
2020-08-29,13.05227
2020-08-30,10.68473
2020-08-31,19.66203
2020-09-01,19.81165
2020-09-02,18.87871
2020-09-03,17.98979
2020-09-04,19.05474
2020-09-05,11.47685
2020-09-06,8.66044
2020-09-07,16.97764
2020-09-08,16.15912
2020-09-09,18.38584
2020-09-10,16.44956
2020-09-11,14.5837
2020-09-12,8.62524
2020-09-13,7.20823
2020-09-14,14.73332
2020-09-15,14.65411
2020-09-16,14.70691
2020-09-17,13.38672
2020-09-18,13.80918
2020-09-19,8.97729
2020-09-20,6.83858
2020-09-21,13.83559
2020-09-22,14.5837
2020-09-23,15.44622
2020-09-24,18.18341
2020-09-25,15.17338
2020-09-26,8.66044
2020-09-27,7.25224
2020-09-28,13.47474
2020-09-29,12.05773
2020-09-30,6.06407
2020-10-01,6.79457
2020-10-02,7.71871
2020-10-03,7.24344
2020-10-04,7.05861
2020-10-05,13.69477
2020-10-06,12.82344
2020-10-07,11.89931
2020-10-08,11.58246
2020-10-09,8.07076
2020-10-10,7.10262
2020-10-11,6.04647
2020-10-12,11.38003
2020-10-13,11.1776
2020-10-14,11.42404
2020-10-15,11.31842
2020-10-16,10.50871
2020-10-17,6.65375
2020-10-18,5.44798
2020-10-19,11.38883
2020-10-20,10.55271
2020-10-21,10.39429
2020-10-22,10.50871
2020-10-23,9.33814
2020-10-24,6.49533
2020-10-25,5.00792
2020-10-26,10.94877
2020-10-27,10.70234
2020-10-28,10.58792
2020-10-29,10.61432
2020-10-30,12.43619
2020-10-31,6.66255
2020-11-01,5.23675
2020-11-02,10.58792
2020-11-03,9.61098
2020-11-04,10.4559
2020-11-05,11.70568
2020-11-06,11.47685
2020-11-07,7.31385
2020-11-08,6.05527
2020-11-09,11.57366
2020-11-10,13.71237
2020-11-11,12.04013
2020-11-12,11.56486
2020-11-13,10.40309
2020-11-14,6.33691
2020-11-15,5.43918
2020-11-16,10.81675
2020-11-17,10.31508
2020-11-18,11.38003
2020-11-19,11.10719
2020-11-20,11.50325
2020-11-21,6.81218
2020-11-22,5.5976
2020-11-23,10.50871
2020-11-24,11.8377
2020-11-25,12.89385
2020-11-26,13.47474
2020-11-27,11.33603
2020-11-28,8.66924
2020-11-29,6.04647
2020-11-30,12.41858
2020-12-01,13.2635
2020-12-02,13.43073
2020-12-03,13.42193
2020-12-04,11.61767
2020-12-05,7.09382
2020-12-06,6.39852
2020-12-07,13.10508
2020-12-08,12.5154
2020-12-09,11.89051
2020-12-10,11.65287
2020-12-11,11.33603
2020-12-12,7.0058
2020-12-13,5.94085
2020-12-14,11.72328
2020-12-15,11.8641
2020-12-16,11.8289
2020-12-17,11.44164
2020-12-18,11.21281
2020-12-19,6.65375
2020-12-20,5.01672
2020-12-21,11.07199
2020-12-22,10.51751
2020-12-23,10.36789
2020-12-24,9.60218
2020-12-25,6.2929
2020-12-26,6.57454
2020-12-27,5.52719
2020-12-28,10.82555
2020-12-29,9.87502
2020-12-30,9.38215
2020-12-31,7.75391
2021-01-01,6.87378
2021-01-02,5.32476
2021-01-03,5.28956
2021-01-04,9.70779
2021-01-05,10.81675
2021-01-06,11.30962
2021-01-07,10.86956
2021-01-08,10.4207
2021-01-09,6.54814
2021-01-10,5.39517
2021-01-11,11.35363
2021-01-12,10.95757
2021-01-13,10.83436
2021-01-14,10.35909
2021-01-15,8.71325
2021-01-16,5.83524
2021-01-17,4.47104
2021-01-18,9.43495
2021-01-19,8.91568
2021-01-20,8.87167
2021-01-21,8.49322
2021-01-22,8.16757
2021-01-23,5.28076
2021-01-24,4.71747
2021-01-25,7.76271
2021-01-26,7.93874
2021-01-27,7.56908
2021-01-28,6.92659
