date,월세지원금
2020-03-20,3.39943
2020-03-21,2.23087
2020-03-22,2.08923
2020-03-23,4.10764
2020-03-24,5.06373
2020-03-25,5.63031
2020-03-26,3.966
2020-03-27,3.93059
2020-03-28,2.86827
2020-03-29,3.04532
2020-03-30,7.33002
2020-03-31,8.39235
2020-04-01,8.5694
2020-04-02,5.73654
2020-04-03,6.83427
2020-04-04,4.00141
2020-04-05,2.83286
2020-04-06,5.38243
2020-04-07,4.85127
2020-04-08,5.70113
2020-04-09,5.34702
2020-04-10,4.10764
2020-04-11,3.11614
2020-04-12,2.9745
2020-04-13,3.50566
2020-04-14,4.03682
2020-04-15,3.43484
2020-04-16,5.09915
2020-04-17,4.24929
2020-04-18,2.6558
2020-04-19,2.69121
2020-04-20,7.33002
2020-04-21,5.24079
2020-04-22,5.45325
2020-04-23,4.99291
2020-04-24,5.98441
2020-04-25,2.47875
2020-04-26,3.47025
2020-04-27,5.41784
2020-04-28,6.51558
2020-04-29,6.44475
2020-04-30,5.52407
2020-05-01,5.45325
2020-05-02,2.93909
2020-05-03,3.82436
2020-05-04,7.22379
2020-05-05,4.63881
2020-05-06,5.45325
2020-05-07,6.2677
2020-05-08,5.09915
2020-05-09,3.43484
2020-05-10,3.71813
2020-05-11,6.33852
2020-05-12,5.91359
2020-05-13,4.63881
2020-05-14,4.92209
2020-05-15,4.39093
2020-05-16,2.62039
2020-05-17,2.6558
2020-05-18,5.31161
2020-05-19,4.88668
2020-05-20,4.53257
2020-05-21,4.24929
2020-05-22,4.17847
2020-05-23,3.36402
2020-05-24,2.33711
2020-05-25,4.70963
2020-05-26,4.67422
2020-05-27,4.49716
2020-05-28,4.32011
2020-05-29,3.71813
2020-05-30,2.79745
2020-05-31,2.79745
2020-06-01,4.70963
2020-06-02,3.93059
2020-06-03,2.93909
2020-06-04,2.51416
2020-06-05,2.05382
2020-06-06,1.94759
2020-06-07,1.52266
2020-06-08,2.30169
2020-06-09,3.32861
2020-06-10,4.56798
2020-06-11,4.00141
2020-06-12,3.39943
2020-06-13,1.45184
2020-06-14,2.93909
2020-06-15,5.52407
2020-06-16,10.94192
2020-06-17,6.51558
2020-06-18,4.92209
2020-06-19,4.03682
2020-06-20,1.73512
2020-06-21,2.08923
2020-06-22,4.78045
2020-06-23,3.68271
2020-06-24,2.72662
2020-06-25,3.08073
2020-06-26,2.19546
2020-06-27,1.69971
2020-06-28,2.19546
2020-06-29,3.6473
2020-06-30,2.93909
2020-07-01,1.94759
2020-07-02,1.52266
2020-07-03,1.77053
2020-07-04,0.74362
2020-07-05,1.23937
2020-07-06,2.16005
2020-07-07,1.3456
2020-07-08,1.87677
2020-07-09,2.6558
2020-07-10,2.26628
2020-07-11,1.69971
2020-07-12,1.38101
2020-07-13,1.6643
2020-07-14,1.983
2020-07-15,3.11614
2020-07-16,2.47875
2020-07-17,1.80594
2020-07-18,1.31019
2020-07-19,1.55807
2020-07-20,2.26628
2020-07-21,1.59348
2020-07-22,1.73512
2020-07-23,1.27478
2020-07-24,1.20396
2020-07-25,0.92067
2020-07-26,1.48725
2020-07-27,1.3456
2020-07-28,1.77053
2020-07-29,2.08923
2020-07-30,1.87677
2020-07-31,2.30169
2020-08-01,1.16855
2020-08-02,0.92067
2020-08-03,1.983
2020-08-04,2.05382
2020-08-05,2.30169
2020-08-06,2.69121
2020-08-07,2.62039
2020-08-08,1.80594
2020-08-09,1.84135
2020-08-10,2.93909
2020-08-11,2.83286
2020-08-12,3.22237
2020-08-13,2.6558
2020-08-14,1.52266
2020-08-15,0.53116
2020-08-16,1.16855
2020-08-17,1.80594
2020-08-18,1.73512
2020-08-19,2.86827
2020-08-20,3.11614
2020-08-21,3.08073
2020-08-22,1.31019
2020-08-23,0.95609
2020-08-24,2.72662
2020-08-25,2.01841
2020-08-26,1.94759
2020-08-27,2.23087
2020-08-28,1.91218
2020-08-29,1.48725
2020-08-30,1.20396
2020-08-31,2.01841
2020-09-01,2.23087
2020-09-02,1.6643
2020-09-03,1.69971
2020-09-04,2.69121
2020-09-05,2.51416
2020-09-06,1.59348
2020-09-07,2.54957
2020-09-08,3.08073
2020-09-09,3.61189
2020-09-10,3.36402
2020-09-11,2.08923
2020-09-12,1.62889
2020-09-13,1.69971
2020-09-14,2.58498
2020-09-15,1.62889
2020-09-16,1.983
2020-09-17,2.37252
2020-09-18,1.20396
2020-09-19,1.20396
2020-09-20,1.48725
2020-09-21,3.11614
2020-09-22,2.33711
2020-09-23,3.15155
2020-09-24,3.50566
2020-09-25,2.72662
2020-09-26,1.48725
2020-09-27,1.38101
2020-09-28,1.983
2020-09-29,1.80594
2020-09-30,0.92067
2020-10-01,1.13314
2020-10-02,1.31019
2020-10-03,1.16855
2020-10-04,1.62889
2020-10-05,4.32011
2020-10-06,3.71813
2020-10-07,2.93909
2020-10-08,2.79745
2020-10-09,1.31019
2020-10-10,1.23937
2020-10-11,1.13314
2020-10-12,3.15155
2020-10-13,2.72662
2020-10-14,1.87677
2020-10-15,2.08923
2020-10-16,1.48725
2020-10-17,1.45184
2020-10-18,1.84135
2020-10-19,2.47875
2020-10-20,2.01841
2020-10-21,1.62889
2020-10-22,1.6643
2020-10-23,2.08923
2020-10-24,1.31019
2020-10-25,1.62889
2020-10-26,4.2847
2020-10-27,3.04532
2020-10-28,2.58498
2020-10-29,3.25779
2020-10-30,2.58498
2020-10-31,1.69971
2020-11-01,1.27478
2020-11-02,2.47875
2020-11-03,2.86827
2020-11-04,2.62039
2020-11-05,2.51416
2020-11-06,1.84135
2020-11-07,1.31019
2020-11-08,2.16005
2020-11-09,3.08073
2020-11-10,2.40793
2020-11-11,2.05382
2020-11-12,1.77053
2020-11-13,1.48725
2020-11-14,1.31019
2020-11-15,1.02691
2020-11-16,3.6473
2020-11-17,3.82436
2020-11-18,3.04532
2020-11-19,4.00141
2020-11-20,3.08073
2020-11-21,1.62889
2020-11-22,2.05382
2020-11-23,4.46175
2020-11-24,9.91501
2020-11-25,7.2592
2020-11-26,4.53257
2020-11-27,4.00141
2020-11-28,3.2932
2020-11-29,3.61189
2020-11-30,5.87818
2020-12-01,5.84277
2020-12-02,5.45325
2020-12-03,4.17847
2020-12-04,3.75354
2020-12-05,2.40793
2020-12-06,2.86827
2020-12-07,4.35552
2020-12-08,4.78045
2020-12-09,4.78045
2020-12-10,3.75354
2020-12-11,2.72662
2020-12-12,4.60339
2020-12-13,5.77195
2020-12-14,6.79886
