date,상장주식
2020-11-07,2.73466
2020-11-08,2.66075
2020-11-09,5.54323
2020-11-10,3.99113
2020-11-11,3.84331
2020-11-12,9.01699
2020-11-13,7.39098
2020-11-14,2.36511
2020-11-15,2.95639
2020-11-16,5.69105
2020-11-17,8.79526
2020-11-18,11.16038
2020-11-19,6.87361
2020-11-20,6.50406
2020-11-21,2.73466
2020-11-22,3.47376
2020-11-23,6.35624
2020-11-24,5.24759
2020-11-25,9.01699
2020-11-26,10.19955
2020-11-27,7.02143
2020-11-28,3.54767
2020-11-29,4.50849
2020-11-30,5.91278
2020-12-01,5.98669
2020-12-02,9.16481
2020-12-03,6.50406
2020-12-04,7.46489
2020-12-05,4.43458
2020-12-06,6.7997
2020-12-07,8.49963
2020-12-08,8.79526
2020-12-09,9.46045
2020-12-10,8.57354
2020-12-11,7.24316
2020-12-12,2.66075
2020-12-13,3.7694
2020-12-14,8.57354
2020-12-15,8.20399
2020-12-16,8.13008
2020-12-17,9.23872
2020-12-18,7.09534
2020-12-19,4.50849
2020-12-20,5.61714
2020-12-21,13.5994
2020-12-22,16.70362
2020-12-23,17.51662
2020-12-24,8.64745
2020-12-25,5.54323
2020-12-26,2.66075
2020-12-27,3.99113
2020-12-28,7.16925
2020-12-29,7.90835
2020-12-30,10.12564
2020-12-31,4.36067
2021-01-01,3.91722
2021-01-02,5.91278
2021-01-03,4.5824
2021-01-04,9.31263
2021-01-05,11.60384
2021-01-06,12.34294
2021-01-07,11.45602
2021-01-08,9.16481
2021-01-09,6.7997
2021-01-10,6.57797
2021-01-11,11.23429
2021-01-12,8.94308
2021-01-13,9.16481
2021-01-14,11.16038
2021-01-15,7.76053
2021-01-16,4.36067
2021-01-17,4.73022
2021-01-18,6.50406
2021-01-19,7.09534
2021-01-20,8.20399
2021-01-21,10.42128
2021-01-22,7.24316
2021-01-23,5.76496
2021-01-24,6.13451
2021-01-25,10.27346
2021-01-26,8.05617
2021-01-27,10.34737
2021-01-28,13.5994
2021-01-29,9.68218
2021-01-30,4.36067
2021-01-31,3.54767
2021-02-01,8.64745
2021-02-02,10.86474
2021-02-03,10.12564
2021-02-04,5.91278
2021-02-05,10.64301
2021-02-06,4.5824
2021-02-07,4.21286
2021-02-08,11.52993
2021-02-09,10.34737
2021-02-10,7.83444
2021-02-11,3.32594
2021-02-12,4.43458
2021-02-13,4.95195
2021-02-14,4.87804
2021-02-15,11.52993
2021-02-16,11.89948
2021-02-17,9.01699
2021-02-18,7.46489
2021-02-19,5.46932
2021-02-20,4.73022
2021-02-21,5.83887
2021-02-22,7.31707
2021-02-23,9.46045
2021-02-24,14.85587
2021-02-25,10.12564
2021-02-26,7.90835
2021-02-27,3.0303
2021-02-28,4.21286
2021-03-01,5.09977
2021-03-02,6.57797
2021-03-03,6.20842
2021-03-04,5.24759
2021-03-05,4.73022
2021-03-06,3.47376
2021-03-07,4.06504
2021-03-08,5.83887
2021-03-09,9.38654
2021-03-10,7.61271
2021-03-11,13.37767
2021-03-12,8.64745
2021-03-13,5.91278
2021-03-14,3.99113
2021-03-15,7.68662
2021-03-16,9.90391
2021-03-17,10.42128
2021-03-18,15.96452
2021-03-19,9.83
2021-03-20,3.62158
2021-03-21,3.0303
2021-03-22,8.57354
2021-03-23,7.16925
2021-03-24,7.24316
2021-03-25,6.7997
2021-03-26,5.24759
2021-03-27,3.69549
2021-03-28,3.25203
2021-03-29,3.25203
2021-03-30,5.09977
2021-03-31,5.69105
2021-04-01,7.31707
2021-04-02,5.17368
2021-04-03,2.80857
2021-04-04,2.58684
2021-04-05,5.54323
2021-04-06,5.83887
2021-04-07,5.98669
2021-04-08,4.43458
2021-04-09,4.43458
2021-04-10,2.88248
2021-04-11,3.69549
2021-04-12,6.50406
2021-04-13,6.94752
2021-04-14,7.46489
2021-04-15,4.80413
2021-04-16,6.0606
2021-04-17,3.69549
2021-04-18,3.39985
2021-04-19,6.94752
2021-04-20,8.13008
