date,금시세전망
2020-03-20,38.26247
2020-03-21,27.54158
2020-03-22,22.67406
2020-03-23,31.30006
2020-03-24,32.3475
2020-03-25,34.81207
2020-03-26,28.71226
2020-03-27,23.16697
2020-03-28,19.22365
2020-03-29,16.57424
2020-03-30,25.4467
2020-03-31,26.3093
2020-04-01,22.30437
2020-04-02,22.05791
2020-04-03,22.4276
2020-04-04,17.37523
2020-04-05,15.89648
2020-04-06,24.09118
2020-04-07,34.87369
2020-04-08,26.06284
2020-04-09,20.02464
2020-04-10,28.28096
2020-04-11,18.73074
2020-04-12,21.01047
2020-04-13,36.29081
2020-04-14,39.49476
2020-04-15,27.91127
2020-04-16,35.61306
2020-04-17,40.35736
2020-04-18,20.02464
2020-04-19,17.6833
2020-04-20,23.96796
2020-04-21,28.15773
2020-04-22,27.47997
2020-04-23,36.96857
2020-04-24,40.72704
2020-04-25,23.22858
2020-04-26,22.30437
2020-04-27,38.26247
2020-04-28,30.80714
2020-04-29,22.79728
2020-04-30,20.45594
2020-05-01,21.1337
2020-05-02,16.51263
2020-05-03,15.34195
2020-05-04,20.76401
2020-05-05,18.60751
2020-05-06,27.72643
2020-05-07,24.70733
2020-05-08,19.59334
2020-05-09,14.78743
2020-05-10,14.41774
2020-05-11,18.9772
2020-05-12,18.17621
2020-05-13,17.49845
2020-05-14,18.66913
2020-05-15,23.22858
2020-05-16,19.22365
2020-05-17,17.49845
2020-05-18,34.44239
2020-05-19,26.43253
2020-05-20,26.86383
2020-05-21,21.9963
2020-05-22,21.565
2020-05-23,18.60751
2020-05-24,17.92975
2020-05-25,16.57424
2020-05-26,17.56007
2020-05-27,20.45594
2020-05-28,19.53173
2020-05-29,18.1146
2020-05-30,12.69254
2020-05-31,12.75415
2020-06-01,18.29944
2020-06-02,18.5459
2020-06-03,19.22365
2020-06-04,22.48921
2020-06-05,17.6833
2020-06-06,14.97227
2020-06-07,13.67837
2020-06-08,21.50338
2020-06-09,19.10043
2020-06-10,15.21873
2020-06-11,12.26124
2020-06-12,14.84904
2020-06-13,10.59765
2020-06-14,10.47443
2020-06-15,16.45101
2020-06-16,15.46518
2020-06-17,15.83487
2020-06-18,12.87738
2020-06-19,10.72088
2020-06-20,10.65927
2020-06-21,12.44608
2020-06-22,20.33271
2020-06-23,17.99137
2020-06-24,20.94886
2020-06-25,17.43684
2020-06-26,12.75415
2020-06-27,11.76833
2020-06-28,11.52187
2020-06-29,15.34195
2020-06-30,16.20455
2020-07-01,19.22365
2020-07-02,18.73074
2020-07-03,14.54097
2020-07-04,11.15218
2020-07-05,12.63093
2020-07-06,18.23783
2020-07-07,15.9581
2020-07-08,19.90141
2020-07-09,25.20024
2020-07-10,18.9772
2020-07-11,13.98644
2020-07-12,12.69254
2020-07-13,17.92975
2020-07-14,23.22858
2020-07-15,27.41836
2020-07-16,26.00123
2020-07-17,25.32347
2020-07-18,18.9772
2020-07-19,16.8207
2020-07-20,22.67406
2020-07-21,23.35181
2020-07-22,35.98274
2020-07-23,46.64202
2020-07-24,44.30067
2020-07-25,40.85027
2020-07-26,30.80714
2020-07-27,61.18299
2020-07-28,78.06531
2020-07-29,65.74245
2020-07-30,51.94085
2020-07-31,38.817
2020-08-01,30.86876
2020-08-02,25.0154
2020-08-03,30.06777
2020-08-04,32.47073
2020-08-05,50.09242
2020-08-06,43.06839
2020-08-07,51.3247
2020-08-08,32.84041
2020-08-09,25.13863
2020-08-10,43.43807
2020-08-11,50.8934
2020-08-12,100.0
2020-08-13,47.62784
2020-08-14,29.20517
2020-08-15,20.20948
2020-08-16,16.3894
2020-08-17,25.81638
2020-08-18,29.7597
2020-08-19,26.67898
