date,삼성SDI우
2020-03-20,1.43578
2020-03-21,0.26662
2020-03-22,0.24749
2020-03-23,1.44125
2020-03-24,1.32676
2020-03-25,1.31431
2020-03-26,1.09597
2020-03-27,0.91315
2020-03-28,0.19344
2020-03-29,0.18554
2020-03-30,0.83086
2020-03-31,0.79533
2020-04-01,0.72305
2020-04-02,0.66383
2020-04-03,0.62344
2020-04-04,0.12177
2020-04-05,0.10659
2020-04-06,0.66657
2020-04-07,0.68418
2020-04-08,0.70119
2020-04-09,0.65047
2020-04-10,0.65563
2020-04-11,0.13908
2020-04-12,0.13665
2020-04-13,0.59885
2020-04-14,0.56544
2020-04-15,0.14697
2020-04-16,1.01063
2020-04-17,1.29579
2020-04-18,0.19465
2020-04-19,0.157
2020-04-20,0.77589
2020-04-21,0.75494
2020-04-22,0.69511
2020-04-23,0.67811
2020-04-24,0.54176
2020-04-25,0.11144
2020-04-26,0.10416
2020-04-27,0.54236
2020-04-28,0.59004
2020-04-29,0.56423
2020-04-30,0.12116
2020-05-01,0.11418
2020-05-02,0.07318
2020-05-03,0.07288
2020-05-04,0.45096
2020-05-05,0.10932
2020-05-06,0.48072
2020-05-07,0.43972
2020-05-08,0.52536
2020-05-09,0.09079
2020-05-10,0.09079
2020-05-11,0.43911
2020-05-12,0.4048
2020-05-13,1.06013
2020-05-14,0.8594
2020-05-15,0.56119
2020-05-16,0.09444
2020-05-17,0.10598
2020-05-18,0.7516
2020-05-19,0.72092
2020-05-20,0.79016
2020-05-21,0.79958
2020-05-22,0.63741
2020-05-23,0.11509
2020-05-24,0.12511
2020-05-25,0.81567
2020-05-26,1.58337
2020-05-27,1.2144
2020-05-28,0.94139
2020-05-29,0.79502
2020-05-30,0.12754
2020-05-31,0.12055
2020-06-01,0.8348
2020-06-02,0.89979
2020-06-03,0.93046
2020-06-04,0.8755
2020-06-05,0.79867
2020-06-06,0.15973
2020-06-07,0.14789
2020-06-08,0.92135
2020-06-09,1.37171
2020-06-10,5.92443
2020-06-11,100.0
