date,증여
2020-03-20,17.94871
2020-03-21,13.55311
2020-03-22,14.32641
2020-03-23,22.71062
2020-03-24,21.97802
2020-03-25,22.75132
2020-03-26,23.23972
2020-03-27,19.69881
2020-03-28,13.26821
2020-03-29,14.32641
2020-03-30,22.42572
2020-03-31,19.04761
2020-04-01,19.69881
2020-04-02,23.93162
2020-04-03,19.73951
2020-04-04,12.69841
2020-04-05,11.19251
2020-04-06,19.04761
2020-04-07,20.02442
2020-04-08,19.94301
2020-04-09,22.14082
2020-04-10,21.44892
2020-04-11,11.23321
2020-04-12,14.69271
2020-04-13,21.36752
2020-04-14,19.73951
2020-04-15,11.88441
2020-04-16,19.57671
2020-04-17,16.97191
2020-04-18,12.90191
2020-04-19,12.53561
2020-04-20,20.96052
2020-04-21,24.62352
2020-04-22,24.58282
2020-04-23,22.95482
2020-04-24,21.61172
2020-04-25,11.84371
2020-04-26,12.94261
2020-04-27,21.81522
2020-04-28,21.00122
2020-04-29,18.35571
2020-04-30,14.00081
2020-05-01,15.50671
2020-05-02,12.12861
2020-05-03,15.99511
2020-05-04,21.40822
2020-05-05,16.11721
2020-05-06,22.01872
2020-05-07,29.34472
2020-05-08,22.46642
2020-05-09,15.62881
2020-05-10,13.02401
2020-05-11,25.23402
2020-05-12,22.79202
2020-05-13,22.91412
2020-05-14,20.18722
2020-05-15,19.65811
2020-05-16,11.96581
2020-05-17,12.53561
2020-05-18,23.19902
2020-05-19,24.86772
2020-05-20,20.87912
2020-05-21,20.06512
2020-05-22,18.76271
2020-05-23,13.30891
2020-05-24,13.10541
2020-05-25,21.73382
2020-05-26,22.18152
2020-05-27,18.72201
2020-05-28,23.56532
2020-05-29,18.31501
2020-05-30,12.08791
2020-05-31,11.59951
2020-06-01,20.18722
2020-06-02,20.02442
2020-06-03,18.96621
2020-06-04,19.29181
2020-06-05,17.98941
2020-06-06,10.74481
2020-06-07,13.91941
2020-06-08,22.26292
2020-06-09,21.73382
2020-06-10,22.99552
2020-06-11,22.99552
2020-06-12,20.55352
2020-06-13,16.93121
2020-06-14,15.42531
2020-06-15,24.50142
2020-06-16,22.34432
2020-06-17,27.67602
2020-06-18,28.53072
2020-06-19,21.81522
2020-06-20,15.75091
2020-06-21,17.21611
2020-06-22,28.24582
2020-06-23,28.16442
2020-06-24,27.79812
2020-06-25,27.30972
2020-06-26,21.53032
2020-06-27,13.26821
2020-06-28,14.97761
2020-06-29,23.48392
2020-06-30,22.38502
2020-07-01,21.53032
2020-07-02,21.12332
2020-07-03,21.20472
2020-07-04,13.67521
2020-07-05,14.89621
2020-07-06,24.86772
2020-07-07,34.59503
2020-07-08,41.59544
2020-07-09,32.92633
2020-07-10,56.36955
2020-07-11,57.30565
2020-07-12,69.63776
2020-07-13,100.0
2020-07-14,91.98209
2020-07-15,54.74155
2020-07-16,39.39763
2020-07-17,35.32763
2020-07-18,24.78632
2020-07-19,21.36752
2020-07-20,34.02523
2020-07-21,29.95522
2020-07-22,35.89743
2020-07-23,33.90313
2020-07-24,38.86853
2020-07-25,27.55392
2020-07-26,20.96052
2020-07-27,33.29263
2020-07-28,37.93243
2020-07-29,38.42083
2020-07-30,38.90923
2020-07-31,31.09483
2020-08-01,18.55921
2020-08-02,18.43711
2020-08-03,26.98412
2020-08-04,28.53072
2020-08-05,27.67602
2020-08-06,24.98982
2020-08-07,24.29792
2020-08-08,16.48351
2020-08-09,15.71021
2020-08-10,26.45502
2020-08-11,26.53642
2020-08-12,23.60602
2020-08-13,24.46072
2020-08-14,20.63492
2020-08-15,13.39031
2020-08-16,14.24501
2020-08-17,16.07651
2020-08-18,22.05942
2020-08-19,21.20472
2020-08-20,27.30972
2020-08-21,21.89662
2020-08-22,24.74562
2020-08-23,18.35571
2020-08-24,23.15832
2020-08-25,24.33862
2020-08-26,22.99552
2020-08-27,23.64672
2020-08-28,26.73992
2020-08-29,16.52421
2020-08-30,15.71021
2020-08-31,22.79202
2020-09-01,24.21652
2020-09-02,23.85022
2020-09-03,34.26943
2020-09-04,23.68742
2020-09-05,14.48921
2020-09-06,15.01831
