date,특판예금
2020-11-08,2.42877
2020-11-09,5.83839
2020-11-10,5.04437
2020-11-11,4.85754
2020-11-12,4.15693
2020-11-13,4.39047
2020-11-14,3.2695
2020-11-15,2.47547
2020-11-16,7.1929
2020-11-17,5.41802
2020-11-18,4.53059
2020-11-19,5.74497
2020-11-20,5.13778
2020-11-21,3.12937
2020-11-22,2.56889
2020-11-23,5.2312
2020-11-24,5.37132
2020-11-25,4.43717
2020-11-26,4.53059
2020-11-27,3.36291
2020-11-28,2.42877
2020-11-29,2.42877
2020-11-30,4.85754
2020-12-01,5.65156
2020-12-02,5.2312
2020-12-03,4.25035
2020-12-04,5.04437
2020-12-05,2.10182
2020-12-06,2.6623
2020-12-07,4.95095
2020-12-08,5.60485
2020-12-09,5.18449
2020-12-10,3.36291
2020-12-11,4.48388
2020-12-12,3.03596
2020-12-13,3.87669
2020-12-14,5.69827
2020-12-15,5.83839
2020-12-16,4.99766
2020-12-17,4.71742
2020-12-18,4.01681
2020-12-19,2.6623
2020-12-20,3.17608
2020-12-21,6.02522
2020-12-22,6.21205
2020-12-23,8.22045
2020-12-24,7.33302
2020-12-25,3.59645
2020-12-26,3.45632
2020-12-27,4.71742
2020-12-28,7.47314
2020-12-29,7.56655
2020-12-30,7.14619
2020-12-31,5.55815
2021-01-01,4.20364
2021-01-02,3.87669
2021-01-03,5.41802
2021-01-04,10.83605
2021-01-05,11.02288
2021-01-06,9.71508
2021-01-07,8.68752
2021-01-08,7.61326
2021-01-09,5.13778
2021-01-10,6.49229
2021-01-11,9.94862
2021-01-12,9.2013
2021-01-13,8.45399
2021-01-14,9.34142
2021-01-15,9.06118
2021-01-16,5.60485
2021-01-17,8.12704
2021-01-18,12.93787
2021-01-19,10.5091
2021-01-20,9.62167
2021-01-21,10.04203
2021-01-22,7.8468
2021-01-23,3.9234
2021-01-24,9.90191
2021-01-25,13.35824
2021-01-26,10.08874
2021-01-27,7.75338
2021-01-28,8.73423
2021-01-29,8.17375
2021-01-30,5.18449
2021-01-31,5.41802
2021-02-01,11.44325
2021-02-02,10.18215
2021-02-03,8.78094
2021-02-04,9.24801
2021-02-05,8.45399
2021-02-06,4.34376
2021-02-07,4.06352
2021-02-08,8.96777
2021-02-09,7.14619
2021-02-10,6.16534
2021-02-11,2.89584
2021-02-12,3.64315
2021-02-13,3.36291
2021-02-14,3.73657
2021-02-15,9.10789
