date,근저당권말소
2020-03-20,67.28723
2020-03-21,24.73404
2020-03-22,22.87234
2020-03-23,75.0
2020-03-24,63.29787
2020-03-25,68.88297
2020-03-26,63.56382
2020-03-27,65.95744
2020-03-28,25.79787
2020-03-29,18.35106
2020-03-30,68.0851
2020-03-31,68.61702
2020-04-01,63.56382
2020-04-02,59.30851
2020-04-03,63.03191
2020-04-04,27.12765
2020-04-05,19.68085
2020-04-06,59.04255
2020-04-07,57.71276
2020-04-08,54.78723
2020-04-09,60.37234
2020-04-10,68.88297
2020-04-11,30.5851
2020-04-12,24.73404
2020-04-13,63.56382
2020-04-14,66.2234
2020-04-15,30.31914
2020-04-16,69.9468
2020-04-17,71.80851
2020-04-18,28.45744
2020-04-19,23.93617
2020-04-20,78.7234
2020-04-21,69.9468
2020-04-22,66.2234
2020-04-23,70.47872
2020-04-24,64.89361
2020-04-25,32.4468
2020-04-26,22.87234
2020-04-27,85.63829
2020-04-28,78.7234
2020-04-29,81.11702
2020-04-30,32.4468
2020-05-01,36.96808
2020-05-02,19.41489
2020-05-03,22.34042
2020-05-04,81.91489
2020-05-05,40.69148
2020-05-06,72.07446
2020-05-07,63.82978
2020-05-08,56.38297
2020-05-09,33.24468
2020-05-10,24.73404
2020-05-11,68.0851
2020-05-12,62.5
2020-05-13,55.31914
2020-05-14,52.12765
2020-05-15,55.5851
2020-05-16,25.79787
2020-05-17,21.54255
2020-05-18,49.46808
2020-05-19,48.13829
2020-05-20,53.19148
2020-05-21,47.34042
2020-05-22,48.40425
2020-05-23,26.59574
2020-05-24,21.01063
2020-05-25,46.27659
2020-05-26,46.27659
2020-05-27,49.20212
2020-05-28,41.48936
2020-05-29,40.42553
2020-05-30,20.21276
2020-05-31,14.3617
2020-06-01,55.31914
2020-06-02,60.90425
2020-06-03,63.56382
2020-06-04,64.3617
2020-06-05,52.12765
2020-06-06,29.78723
2020-06-07,31.38297
2020-06-08,67.55319
2020-06-09,83.77659
2020-06-10,78.45744
2020-06-11,57.97872
2020-06-12,56.64893
2020-06-13,31.11702
2020-06-14,23.67021
2020-06-15,78.19148
2020-06-16,72.87234
2020-06-17,66.48936
2020-06-18,83.77659
2020-06-19,64.89361
