date,KOSDAQ
2020-03-20,17.3913
2020-03-21,3.74243
2020-03-22,3.19207
2020-03-23,15.90533
2020-03-24,12.32801
2020-03-25,10.95211
2020-03-26,12.87837
2020-03-27,10.07154
2020-03-28,2.64171
2020-03-29,2.03632
2020-03-30,9.46615
2020-03-31,10.01651
2020-04-01,10.07154
2020-04-02,8.09025
2020-04-03,7.87011
2020-04-04,2.3115
2020-04-05,1.81618
2020-04-06,7.42982
2020-04-07,7.48486
2020-04-08,6.65932
2020-04-09,6.27407
2020-04-10,8.75068
2020-04-11,1.65107
2020-04-12,1.87121
2020-04-13,8.3104
2020-04-14,5.99889
2020-04-15,2.09135
2020-04-16,6.9345
2020-04-17,8.03522
2020-04-18,1.7061
2020-04-19,1.59603
2020-04-20,4.23775
2020-04-21,8.80572
2020-04-22,6.43918
2020-04-23,4.07264
2020-04-24,4.51293
2020-04-25,1.48596
2020-04-26,1.59603
2020-04-27,4.18271
2020-04-28,5.17336
2020-04-29,4.18271
2020-04-30,1.43093
2020-05-01,1.21078
2020-05-02,1.43093
2020-05-03,1.541
2020-05-04,3.79746
2020-05-05,1.81618
2020-05-06,4.51293
2020-05-07,3.46725
2020-05-08,2.86186
2020-05-09,1.59603
2020-05-10,1.37589
2020-05-11,4.78811
2020-05-12,6.164
2020-05-13,5.06329
2020-05-14,6.21904
2020-05-15,3.46725
2020-05-16,1.37589
2020-05-17,1.32085
2020-05-18,3.74243
2020-05-19,3.52228
2020-05-20,4.78811
2020-05-21,4.18271
2020-05-22,3.41221
2020-05-23,1.43093
2020-05-24,1.26582
2020-05-25,4.78811
2020-05-26,5.55861
2020-05-27,5.33847
2020-05-28,7.76004
2020-05-29,5.66868
2020-05-30,1.81618
2020-05-31,1.43093
2020-06-01,3.79746
2020-06-02,4.56796
2020-06-03,7.37479
2020-06-04,5.66868
2020-06-05,5.55861
2020-06-06,1.21078
2020-06-07,1.65107
2020-06-08,4.84314
2020-06-09,5.72372
2020-06-10,5.3935
2020-06-11,5.22839
2020-06-12,5.17336
2020-06-13,1.21078
2020-06-14,1.26582
2020-06-15,8.3104
2020-06-16,7.48486
2020-06-17,6.54925
2020-06-18,4.45789
2020-06-19,4.45789
2020-06-20,1.21078
2020-06-21,1.26582
2020-06-22,4.78811
2020-06-23,5.3935
2020-06-24,5.55861
2020-06-25,5.83379
2020-06-26,3.96257
2020-06-27,1.65107
2020-06-28,1.43093
2020-06-29,4.73307
2020-06-30,5.94386
2020-07-01,4.40286
2020-07-02,3.30214
2020-07-03,3.30214
2020-07-04,1.59603
2020-07-05,1.37589
2020-07-06,3.57732
2020-07-07,5.17336
2020-07-08,2.97193
2020-07-09,5.06329
2020-07-10,4.18271
2020-07-11,1.21078
2020-07-12,1.26582
2020-07-13,4.623
2020-07-14,6.98954
2020-07-15,6.10897
2020-07-16,4.89818
2020-07-17,3.02696
2020-07-18,0.9356
2020-07-19,1.04567
2020-07-20,3.41221
2020-07-21,3.63236
2020-07-22,2.91689
2020-07-23,4.95321
2020-07-24,5.17336
2020-07-25,1.37589
2020-07-26,0.7705
2020-07-27,4.07264
2020-07-28,3.57732
2020-07-29,3.30214
2020-07-30,3.02696
2020-07-31,4.73307
2020-08-01,1.10071
2020-08-02,1.32085
2020-08-03,4.07264
2020-08-04,4.56796
2020-08-05,3.24711
2020-08-06,4.12768
2020-08-07,5.88882
2020-08-08,1.48596
2020-08-09,0.55035
2020-08-10,5.88882
2020-08-11,4.23775
2020-08-12,5.17336
2020-08-13,4.95321
2020-08-14,4.40286
2020-08-15,2.36653
2020-08-16,1.65107
2020-08-17,0.99064
2020-08-18,8.4755
2020-08-19,6.7694
2020-08-20,8.64061
2020-08-21,6.164
2020-08-22,0.99064
2020-08-23,1.98128
2020-08-24,4.623
2020-08-25,4.67804
2020-08-26,3.63236
2020-08-27,4.56796
2020-08-28,3.74243
2020-08-29,1.21078
2020-08-30,1.26582
2020-08-31,4.623
2020-09-01,4.01761
2020-09-02,5.33847
2020-09-03,5.94386
2020-09-04,8.97083
2020-09-05,2.53164
2020-09-06,2.4766
2020-09-07,5.72372
2020-09-08,4.78811
2020-09-09,6.71436
2020-09-10,5.72372
2020-09-11,5.33847
2020-09-12,2.09135
2020-09-13,1.43093
2020-09-14,4.78811
2020-09-15,4.45789
2020-09-16,5.50357
2020-09-17,4.623
2020-09-18,4.18271
2020-09-19,1.76114
2020-09-20,1.37589
2020-09-21,6.27407
2020-09-22,6.49422
2020-09-23,6.32911
2020-09-24,9.0809
2020-09-25,5.66868
2020-09-26,1.59603
2020-09-27,1.48596
2020-09-28,4.95321
2020-09-29,3.46725
2020-09-30,0.88057
2020-10-01,0.88057
2020-10-02,1.37589
2020-10-03,1.15575
2020-10-04,1.541
2020-10-05,4.95321
2020-10-06,4.23775
2020-10-07,4.73307
2020-10-08,3.19207
2020-10-09,1.26582
2020-10-10,1.37589
2020-10-11,1.37589
2020-10-12,4.29279
2020-10-13,5.50357
2020-10-14,4.01761
2020-10-15,7.04457
2020-10-16,5.06329
2020-10-17,2.3115
2020-10-18,1.7061
2020-10-19,5.94386
2020-10-20,7.76004
2020-10-21,5.50357
2020-10-22,5.33847
2020-10-23,5.50357
2020-10-24,1.21078
2020-10-25,1.15575
2020-10-26,9.41111
2020-10-27,7.87011
2020-10-28,5.94386
2020-10-29,6.7694
2020-10-30,5.55861
2020-10-31,1.81618
2020-11-01,1.65107
2020-11-02,5.11832
2020-11-03,5.94386
2020-11-04,4.34782
2020-11-05,4.23775
2020-11-06,4.23775
2020-11-07,1.87121
2020-11-08,1.76114
2020-11-09,4.40286
2020-11-10,5.61364
2020-11-11,4.623
2020-11-12,5.3935
2020-11-13,3.68739
2020-11-14,1.59603
2020-11-15,1.541
2020-11-16,5.11832
2020-11-17,4.40286
2020-11-18,3.8525
2020-11-19,5.33847
2020-11-20,4.56796
2020-11-21,1.65107
2020-11-22,1.541
2020-11-23,5.55861
2020-11-24,5.72372
2020-11-25,5.55861
2020-11-26,5.61364
2020-11-27,4.89818
2020-11-28,1.04567
2020-11-29,1.48596
2020-11-30,6.71436
2020-12-01,3.8525
2020-12-02,3.68739
2020-12-03,5.83379
2020-12-04,5.3935
2020-12-05,2.25646
2020-12-06,1.37589
2020-12-07,6.21904
2020-12-08,5.28343
2020-12-09,4.51293
2020-12-10,4.45789
2020-12-11,4.51293
2020-12-12,2.03632
2020-12-13,1.7061
2020-12-14,5.99889
2020-12-15,5.06329
2020-12-16,4.12768
2020-12-17,5.11832
2020-12-18,3.90753
2020-12-19,1.7061
2020-12-20,1.21078
2020-12-21,4.78811
2020-12-22,5.28343
2020-12-23,5.00825
2020-12-24,4.34782
2020-12-25,0.7705
2020-12-26,2.09135
2020-12-27,1.81618
2020-12-28,5.11832
2020-12-29,6.164
2020-12-30,5.83379
2020-12-31,2.97193
2021-01-01,1.7061
2021-01-02,2.03632
2021-01-03,1.87121
2021-01-04,6.82443
2021-01-05,8.09025
2021-01-06,9.30104
2021-01-07,7.26472
2021-01-08,9.74133
2021-01-09,2.69675
2021-01-10,3.74243
2021-01-11,11.61254
2021-01-12,8.25536
2021-01-13,7.98018
2021-01-14,5.94386
2021-01-15,7.92515
2021-01-16,3.41221
2021-01-17,3.02696
2021-01-18,7.81507
2021-01-19,8.03522
2021-01-20,7.04457
2021-01-21,6.27407
2021-01-22,5.55861
2021-01-23,2.58668
2021-01-24,1.98128
2021-01-25,6.164
2021-01-26,9.90643
2021-01-27,7.48486
2021-01-28,7.04457
2021-01-29,8.42047
2021-01-30,2.91689
2021-01-31,2.42157
2021-02-01,5.88882
2021-02-02,6.9345
2021-02-03,6.05393
2021-02-04,5.11832
2021-02-05,4.23775
2021-02-06,2.3115
2021-02-07,1.48596
2021-02-08,5.33847
2021-02-09,4.67804
2021-02-10,4.01761
2021-02-11,1.37589
2021-02-12,0.9356
2021-02-13,1.43093
2021-02-14,1.43093
2021-02-15,5.17336
2021-02-16,7.37479
2021-02-17,5.72372
2021-02-18,6.60429
2021-02-19,4.73307
2021-02-20,1.76114
2021-02-21,1.7061
2021-02-22,4.73307
2021-02-23,5.77875
2021-02-24,6.27407
2021-02-25,5.55861
2021-02-26,5.77875
2021-02-27,2.03632
2021-02-28,1.81618
2021-03-01,1.87121
2021-03-02,4.51293
2021-03-03,4.18271
2021-03-04,4.73307
2021-03-05,5.3935
2021-03-06,1.37589
2021-03-07,1.26582
2021-03-08,5.33847
2021-03-09,6.21904
2021-03-10,6.38414
2021-03-11,5.28343
2021-03-12,5.50357
2021-03-13,2.25646
2021-03-14,1.48596
2021-03-15,4.29279
2021-03-16,5.11832
2021-03-17,5.66868
2021-03-18,3.52228
2021-03-19,4.67804
2021-03-20,2.09135
2021-03-21,1.87121
2021-03-22,4.84314
2021-03-23,4.67804
2021-03-24,5.22839
2021-03-25,3.68739
2021-03-26,3.30214
2021-03-27,1.81618
2021-03-28,1.541
2021-03-29,4.40286
2021-03-30,3.13703
2021-03-31,3.74243
2021-04-01,3.79746
2021-04-02,3.35718
2021-04-03,1.32085
2021-04-04,1.65107
2021-04-05,4.40286
2021-04-06,3.79746
2021-04-07,2.58668
2021-04-08,2.97193
2021-04-09,4.12768
2021-04-10,1.15575
2021-04-11,1.15575
2021-04-12,6.43918
2021-04-13,4.67804
2021-04-14,3.63236
2021-04-15,4.23775
2021-04-16,4.623
2021-04-17,1.21078
2021-04-18,1.98128
2021-04-19,3.30214
2021-04-20,3.74243
