date,자녀증여
2020-03-20,11.46245
2020-03-21,7.11462
2020-03-22,10.4743
2020-03-23,16.20553
2020-03-24,10.07905
2020-03-25,17.98418
2020-03-26,16.79841
2020-03-27,9.0909
2020-03-28,9.0909
2020-03-29,6.12648
2020-03-30,15.41501
2020-03-31,13.2411
2020-04-01,14.82213
2020-04-02,12.84584
2020-04-03,11.06719
2020-04-04,9.88142
2020-04-05,7.31225
2020-04-06,9.68379
2020-04-07,8.89328
2020-04-08,12.05533
2020-04-09,11.66007
2020-04-10,9.48616
2020-04-11,8.89328
2020-04-12,5.53359
2020-04-13,9.48616
2020-04-14,10.27667
2020-04-15,5.33596
2020-04-16,8.69565
2020-04-17,9.28853
2020-04-18,5.53359
2020-04-19,9.48616
2020-04-20,9.68379
2020-04-21,10.4743
2020-04-22,12.84584
2020-04-23,14.42687
2020-04-24,16.20553
2020-04-25,6.91699
2020-04-26,6.32411
2020-04-27,11.46245
2020-04-28,11.26482
2020-04-29,9.0909
2020-04-30,6.32411
2020-05-01,6.71936
2020-05-02,4.54545
2020-05-03,8.30039
2020-05-04,15.21739
2020-05-05,7.31225
2020-05-06,13.83399
2020-05-07,14.03162
2020-05-08,12.64822
2020-05-09,4.94071
2020-05-10,7.50988
2020-05-11,6.71936
2020-05-12,9.0909
2020-05-13,13.43873
2020-05-14,8.10276
2020-05-15,6.91699
2020-05-16,6.71936
2020-05-17,7.31225
2020-05-18,9.68379
2020-05-19,9.0909
2020-05-20,11.8577
2020-05-21,12.64822
2020-05-22,9.88142
2020-05-23,5.53359
2020-05-24,5.92885
2020-05-25,10.07905
2020-05-26,7.7075
2020-05-27,7.7075
2020-05-28,6.32411
2020-05-29,5.92885
2020-05-30,5.33596
2020-05-31,7.7075
2020-06-01,9.28853
2020-06-02,9.0909
2020-06-03,10.27667
2020-06-04,8.49802
2020-06-05,8.89328
2020-06-06,4.94071
2020-06-07,6.71936
2020-06-08,10.4743
2020-06-09,13.83399
2020-06-10,13.04347
2020-06-11,11.8577
2020-06-12,7.7075
2020-06-13,10.27667
2020-06-14,10.27667
2020-06-15,15.01976
2020-06-16,12.84584
2020-06-17,12.45059
2020-06-18,14.82213
2020-06-19,9.0909
2020-06-20,7.31225
2020-06-21,9.88142
2020-06-22,10.27667
2020-06-23,11.46245
2020-06-24,9.0909
2020-06-25,12.84584
2020-06-26,7.31225
2020-06-27,9.48616
2020-06-28,5.53359
2020-06-29,12.25296
2020-06-30,13.63636
2020-07-01,9.88142
2020-07-02,13.04347
2020-07-03,9.68379
2020-07-04,10.86956
