date,금가격
2020-03-20,47.6204
2020-03-21,29.98005
2020-03-22,25.50584
2020-03-23,40.92333
2020-03-24,46.62296
2020-03-25,44.5711
2020-03-26,40.98033
2020-03-27,36.13565
2020-03-28,23.53946
2020-03-29,18.26731
2020-03-30,27.6147
2020-03-31,26.64576
2020-04-01,24.62239
2020-04-02,22.42804
2020-04-03,24.22342
2020-04-04,17.64035
2020-04-05,15.275
2020-04-06,32.80136
2020-04-07,30.49301
2020-04-08,28.61214
2020-04-09,25.67683
2020-04-10,33.91279
2020-04-11,21.08862
2020-04-12,26.70276
2020-04-13,39.41293
2020-04-14,41.94927
2020-04-15,22.941
2020-04-16,32.2599
2020-04-17,31.68994
2020-04-18,21.23111
2020-04-19,19.49273
2020-04-20,26.64576
2020-04-21,33.51382
2020-04-22,34.14078
2020-04-23,32.71587
2020-04-24,33.96979
2020-04-25,19.43573
2020-04-26,20.40467
2020-04-27,34.08378
2020-04-28,27.5577
2020-04-29,24.16642
2020-04-30,17.29837
2020-05-01,18.95126
2020-05-02,15.55998
2020-05-03,15.38899
2020-05-04,21.77258
2020-05-05,19.06526
2020-05-06,25.13536
2020-05-07,22.31404
2020-05-08,20.43317
2020-05-09,15.84497
2020-05-10,14.84753
2020-05-11,18.63778
2020-05-12,17.66885
2020-05-13,18.49529
2020-05-14,18.80877
2020-05-15,21.28811
2020-05-16,15.3605
2020-05-17,13.7076
2020-05-18,26.1328
2020-05-19,25.13536
2020-05-20,20.91764
2020-05-21,18.12482
2020-05-22,18.83727
2020-05-23,13.33713
2020-05-24,12.90966
2020-05-25,20.29068
2020-05-26,20.29068
2020-05-27,20.31917
2020-05-28,20.34767
2020-05-29,17.61185
2020-05-30,13.7076
2020-05-31,13.33713
2020-06-01,18.95126
2020-06-02,19.83471
2020-06-03,21.94357
2020-06-04,17.64035
2020-06-05,18.15332
2020-06-06,12.14021
2020-06-07,10.54431
2020-06-08,18.55229
2020-06-09,20.34767
2020-06-10,16.8139
2020-06-11,17.32687
2020-06-12,19.12225
2020-06-13,11.48475
2020-06-14,13.47962
2020-06-15,20.29068
2020-06-16,17.72584
2020-06-17,15.55998
2020-06-18,16.21544
2020-06-19,14.87603
2020-06-20,12.11171
2020-06-21,11.25676
2020-06-22,20.49016
2020-06-23,20.74665
2020-06-24,21.34511
2020-06-25,20.14819
2020-06-26,16.32943
2020-06-27,12.2257
2020-06-28,11.96922
2020-06-29,17.98233
2020-06-30,17.07039
2020-07-01,23.79595
2020-07-02,19.72071
2020-07-03,16.75691
2020-07-04,12.45369
2020-07-05,14.99002
2020-07-06,21.77258
2020-07-07,19.69222
2020-07-08,23.71045
2020-07-09,22.00056
2020-07-10,19.06526
2020-07-11,13.42262
2020-07-12,13.62211
2020-07-13,22.39954
2020-07-14,33.25733
2020-07-15,28.46964
2020-07-16,24.42291
2020-07-17,22.02906
2020-07-18,16.95639
2020-07-19,15.53149
2020-07-20,20.37617
2020-07-21,22.79851
2020-07-22,34.14078
2020-07-23,35.02422
2020-07-24,50.89769
2020-07-25,46.70846
2020-07-26,26.18979
2020-07-27,59.36164
2020-07-28,77.25847
2020-07-29,67.71159
2020-07-30,42.77571
2020-07-31,39.72641
2020-08-01,28.29866
2020-08-02,27.10173
2020-08-03,36.53462
2020-08-04,30.89199
2020-08-05,73.89569
2020-08-06,46.79395
2020-08-07,43.28868
2020-08-08,31.11997
2020-08-09,24.08093
2020-08-10,40.21088
2020-08-11,45.54003
2020-08-12,93.10344
2020-08-13,48.95981
2020-08-14,33.96979
2020-08-15,22.74152
2020-08-16,19.09375
2020-08-17,21.80108
2020-08-18,33.7133
2020-08-19,30.60701
2020-08-20,32.34539
2020-08-21,27.50071
2020-08-22,16.24394
2020-08-23,14.59105
2020-08-24,26.44628
2020-08-25,26.18979
2020-08-26,25.02137
2020-08-27,25.02137
2020-08-28,21.97207
2020-08-29,16.41493
2020-08-30,15.3035
2020-08-31,20.88914
2020-09-01,22.39954
2020-09-02,24.30891
2020-09-03,21.82958
2020-09-04,23.85294
2020-09-05,17.04189
2020-09-06,18.66628
2020-09-07,25.04987
2020-09-08,22.17155
2020-09-09,21.85807
2020-09-10,21.77258
2020-09-11,20.20518
2020-09-12,16.44343
2020-09-13,14.56255
2020-09-14,17.78284
2020-09-15,18.95126
2020-09-16,20.68965
2020-09-17,20.06269
2020-09-18,21.00313
2020-09-19,14.22057
2020-09-20,14.67654
2020-09-21,21.28811
2020-09-22,21.82958
2020-09-23,24.85038
2020-09-24,28.09917
2020-09-25,24.73639
2020-09-26,14.42006
2020-09-27,13.87859
2020-09-28,19.52123
2020-09-29,17.01339
2020-09-30,13.22314
2020-10-01,13.7361
2020-10-02,14.02108
2020-10-03,14.04958
2020-10-04,13.42262
2020-10-05,20.40467
2020-10-06,19.20775
2020-10-07,18.01082
2020-10-08,17.92533
2020-10-09,14.53405
2020-10-10,14.13508
2020-10-11,13.7931
2020-10-12,20.54716
2020-10-13,19.32174
2020-10-14,21.88657
2020-10-15,18.72328
2020-10-16,18.55229
2020-10-17,13.22314
2020-10-18,14.44856
2020-10-19,18.15332
2020-10-20,18.23881
2020-10-21,20.40467
2020-10-22,19.32174
2020-10-23,19.15075
2020-10-24,14.50555
2020-10-25,13.39412
2020-10-26,20.54716
2020-10-27,19.54972
2020-10-28,19.9772
2020-10-29,20.37617
2020-10-30,22.82701
2020-10-31,14.30607
2020-11-01,14.33456
2020-11-02,20.46166
2020-11-03,18.63778
2020-11-04,20.60416
2020-11-05,21.63009
2020-11-06,25.22086
2020-11-07,17.29837
2020-11-08,16.01595
2020-11-09,23.42547
2020-11-10,30.77799
2020-11-11,26.1043
2020-11-12,21.85807
2020-11-13,21.97207
2020-11-14,15.81647
2020-11-15,14.84753
2020-11-16,24.39441
2020-11-17,21.4021
2020-11-18,22.51353
2020-11-19,21.03163
2020-11-20,21.25961
2020-11-21,16.21544
2020-11-22,17.04189
2020-11-23,22.82701
2020-11-24,28.75463
2020-11-25,29.06811
2020-11-26,30.03704
2020-11-27,32.03191
2020-11-28,31.14847
2020-11-29,20.31917
2020-11-30,31.09147
2020-12-01,29.1251
2020-12-02,32.34539
2020-12-03,33.05785
2020-12-04,33.65631
2020-12-05,24.39441
2020-12-06,23.51097
2020-12-07,32.37389
2020-12-08,29.66657
2020-12-09,26.33228
2020-12-10,28.61214
2020-12-11,28.01367
2020-12-12,20.23368
2020-12-13,21.08862
2020-12-14,26.18979
2020-12-15,24.02393
2020-12-16,28.12767
2020-12-17,28.27016
2020-12-18,32.65887
2020-12-19,22.59903
2020-12-20,22.57053
2020-12-21,30.89199
2020-12-22,27.38671
2020-12-23,28.21316
2020-12-24,31.63294
2020-12-25,23.39697
2020-12-26,21.54459
2020-12-27,22.51353
2020-12-28,29.92305
2020-12-29,29.1536
2020-12-30,31.23396
2020-12-31,31.66144
2021-01-01,36.67711
2021-01-02,28.52664
2021-01-03,35.16671
2021-01-04,44.71359
2021-01-05,41.97777
2021-01-06,41.4648
2021-01-07,36.76261
2021-01-08,39.9259
2021-01-09,39.84041
2021-01-10,37.53206
2021-01-11,52.32259
2021-01-12,39.9544
2021-01-13,34.19777
2021-01-14,32.97235
