date,내연금알아보기
2020-03-20,6.85859
2020-03-21,3.72565
2020-03-22,3.21761
2020-03-23,5.58848
2020-03-24,6.51989
2020-03-25,6.1812
2020-03-26,7.53598
2020-03-27,6.43522
2020-03-28,5.08044
2020-03-29,5.67315
2020-03-30,8.55207
2020-03-31,6.51989
2020-04-01,7.28196
2020-04-02,6.01185
2020-04-03,6.1812
2020-04-04,5.50381
2020-04-05,4.14902
2020-04-06,7.28196
2020-04-07,7.19729
2020-04-08,6.1812
2020-04-09,4.48772
2020-04-10,5.33446
2020-04-11,2.87891
2020-04-12,4.06435
2020-04-13,5.58848
2020-04-14,4.57239
2020-04-15,3.895
2020-04-16,3.5563
2020-04-17,28.78916
2020-04-18,54.61473
2020-04-19,14.56392
2020-04-20,10.4149
2020-04-21,6.85859
2020-04-22,8.21337
2020-04-23,11.85436
2020-04-24,5.08044
2020-04-25,5.33446
2020-04-26,4.40304
2020-04-27,7.87468
2020-04-28,7.95935
2020-04-29,26.16426
2020-04-30,5.67315
2020-05-01,3.81033
2020-05-02,3.47163
2020-05-03,6.43522
2020-05-04,6.77392
2020-05-05,5.16511
2020-05-06,9.73751
2020-05-07,10.24555
2020-05-08,8.80609
2020-05-09,5.08044
2020-05-10,4.82641
2020-05-11,9.39881
2020-05-12,10.33022
2020-05-13,9.48348
2020-05-14,60.20321
2020-05-15,24.21676
2020-05-16,11.17696
2020-05-17,12.44707
2020-05-18,13.80186
2020-05-19,17.01947
2020-05-20,14.90262
2020-05-21,17.35817
2020-05-22,20.15241
2020-05-23,10.24555
2020-05-24,9.06011
2020-05-25,14.05588
2020-05-26,12.95512
2020-05-27,17.61219
2020-05-28,16.5961
2020-05-29,13.71718
2020-05-30,8.72142
2020-05-31,8.80609
2020-06-01,12.19305
2020-06-02,14.05588
2020-06-03,14.81795
2020-06-04,10.4149
2020-06-05,11.17696
2020-06-06,6.1812
2020-06-07,7.70533
2020-06-08,5.58848
2020-06-09,6.94326
2020-06-10,7.53598
2020-06-11,6.09652
2020-06-12,6.51989
2020-06-13,6.1812
2020-06-14,2.96359
2020-06-15,4.91109
2020-06-16,8.55207
2020-06-17,7.53598
2020-06-18,6.26587
2020-06-19,6.09652
2020-06-20,2.96359
2020-06-21,6.01185
2020-06-22,5.50381
2020-06-23,5.50381
2020-06-24,8.89077
2020-06-25,7.87468
2020-06-26,8.4674
2020-06-27,5.92718
2020-06-28,7.36663
2020-06-29,9.65283
2020-06-30,8.72142
2020-07-01,8.80609
2020-07-02,9.99153
2020-07-03,9.56816
2020-07-04,8.4674
2020-07-05,7.45131
2020-07-06,10.24555
2020-07-07,10.49957
2020-07-08,11.00762
2020-07-09,8.63674
2020-07-10,8.04403
2020-07-11,7.53598
2020-07-12,6.01185
2020-07-13,11.26164
2020-07-14,13.88653
2020-07-15,10.16088
2020-07-16,10.66892
2020-07-17,9.48348
2020-07-18,6.1812
2020-07-19,6.68924
2020-07-20,13.29381
2020-07-21,14.14055
2020-07-22,14.56392
2020-07-23,14.39458
2020-07-24,11.68501
2020-07-25,8.55207
2020-07-26,6.68924
2020-07-27,12.53175
2020-07-28,14.6486
2020-07-29,14.56392
2020-07-30,13.37849
2020-07-31,10.0762
2020-08-01,8.21337
2020-08-02,6.09652
2020-08-03,9.82218
2020-08-04,9.90685
2020-08-05,12.61642
2020-08-06,12.3624
2020-08-07,11.09229
2020-08-08,9.82218
2020-08-09,8.72142
2020-08-10,15.24132
2020-08-11,25.4022
2020-08-12,16.34208
2020-08-13,13.54784
2020-08-14,8.38272
2020-08-15,16.00338
2020-08-16,6.26587
2020-08-17,11.09229
2020-08-18,10.83827
2020-08-19,14.22523
2020-08-20,10.49957
2020-08-21,9.39881
2020-08-22,6.26587
2020-08-23,5.8425
2020-08-24,16.2574
2020-08-25,13.63251
2020-08-26,13.20914
2020-08-27,14.05588
2020-08-28,13.88653
2020-08-29,7.70533
2020-08-30,7.62066
2020-08-31,10.58425
2020-09-01,10.92294
2020-09-02,8.80609
2020-09-03,9.56816
2020-09-04,6.35055
2020-09-05,3.5563
2020-09-06,5.58848
2020-09-07,7.11261
2020-09-08,6.68924
2020-09-09,7.45131
2020-09-10,7.62066
2020-09-11,6.85859
2020-09-12,2.11685
2020-09-13,3.21761
2020-09-14,4.74174
2020-09-15,5.67315
2020-09-16,6.60457
2020-09-17,6.09652
2020-09-18,7.62066
2020-09-19,3.04826
2020-09-20,2.28619
2020-09-21,4.40304
2020-09-22,6.43522
2020-09-23,6.85859
2020-09-24,6.09652
2020-09-25,8.21337
2020-09-26,4.48772
2020-09-27,3.21761
2020-09-28,6.43522
2020-09-29,5.75783
2020-09-30,2.62489
2020-10-01,2.79424
2020-10-02,4.06435
2020-10-03,3.97967
2020-10-04,5.08044
2020-10-05,17.10414
2020-10-06,9.99153
2020-10-07,7.53598
2020-10-08,6.85859
2020-10-09,4.91109
2020-10-10,4.65707
2020-10-11,3.81033
2020-10-12,10.24555
2020-10-13,8.1287
2020-10-14,8.72142
2020-10-15,6.60457
2020-10-16,6.94326
2020-10-17,7.87468
2020-10-18,8.97544
2020-10-19,10.92294
2020-10-20,14.14055
2020-10-21,13.80186
2020-10-22,8.55207
2020-10-23,11.68501
2020-10-24,8.21337
2020-10-25,6.68924
2020-10-26,13.37849
2020-10-27,15.91871
2020-10-28,14.98729
2020-10-29,100.0
2020-10-30,20.4911
2020-10-31,9.22946
2020-11-01,7.70533
2020-11-02,12.61642
2020-11-03,12.19305
2020-11-04,10.16088
2020-11-05,11.51566
2020-11-06,9.31414
2020-11-07,8.4674
2020-11-08,6.60457
2020-11-09,14.14055
2020-11-10,14.6486
2020-11-11,12.3624
2020-11-12,10.33022
2020-11-13,8.29805
2020-11-14,5.16511
2020-11-15,7.11261
2020-11-16,13.29381
2020-11-17,11.34631
2020-11-18,11.93903
2020-11-19,13.63251
2020-11-20,11.26164
2020-11-21,12.53175
2020-11-22,7.11261
2020-11-23,10.33022
2020-11-24,13.20914
2020-11-25,13.80186
2020-11-26,12.78577
2020-11-27,15.07197
2020-11-28,8.97544
2020-11-29,7.36663
2020-11-30,11.93903
2020-12-01,11.93903
2020-12-02,16.5961
2020-12-03,14.73327
2020-12-04,13.03979
2020-12-05,8.89077
2020-12-06,9.22946
2020-12-07,12.95512
2020-12-08,16.00338
2020-12-09,16.5961
2020-12-10,15.74936
2020-12-11,12.95512
2020-12-12,9.82218
2020-12-13,9.22946
2020-12-14,12.95512
2020-12-15,10.4149
2020-12-16,10.83827
2020-12-17,8.21337
2020-12-18,7.19729
2020-12-19,6.09652
2020-12-20,5.92718
2020-12-21,8.55207
2020-12-22,9.31414
2020-12-23,7.28196
2020-12-24,10.16088
2020-12-25,7.53598
2020-12-26,6.85859
2020-12-27,9.73751
2020-12-28,14.98729
2020-12-29,26.67231
2020-12-30,16.9348
2020-12-31,11.76968
2021-01-01,10.66892
2021-01-02,10.16088
2021-01-03,10.83827
2021-01-04,23.79339
2021-01-05,22.60795
2021-01-06,19.98306
2021-01-07,14.47925
2021-01-08,11.17696
2021-01-09,12.0237
2021-01-10,10.4149
2021-01-11,15.66469
2021-01-12,13.71718
2021-01-13,17.18882
2021-01-14,9.65283
2021-01-15,12.3624
2021-01-16,7.87468
2021-01-17,7.87468
2021-01-18,9.90685
2021-01-19,12.95512
2021-01-20,14.6486
2021-01-21,12.95512
2021-01-22,9.65283
2021-01-23,6.85859
2021-01-24,8.72142
2021-01-25,14.98729
2021-01-26,14.14055
2021-01-27,18.96697
2021-01-28,19.39034
2021-01-29,17.18882
2021-01-30,9.06011
2021-01-31,9.31414
2021-02-01,12.7011
2021-02-02,17.69686
2021-02-03,9.99153
2021-02-04,16.85012
2021-02-05,9.99153
2021-02-06,8.55207
2021-02-07,8.04403
2021-02-08,11.51566
2021-02-09,10.49957
2021-02-10,11.93903
2021-02-11,7.62066
2021-02-12,6.94326
2021-02-13,13.29381
2021-02-14,12.95512
2021-02-15,13.03979
2021-02-16,15.66469
2021-02-17,14.6486
2021-02-18,12.95512
2021-02-19,9.48348
2021-02-20,8.80609
2021-02-21,6.94326
2021-02-22,10.0762
2021-02-23,9.31414
2021-02-24,14.90262
2021-02-25,13.54784
2021-02-26,9.22946
2021-02-27,7.45131
2021-02-28,6.43522
2021-03-01,7.19729
2021-03-02,11.68501
2021-03-03,10.92294
2021-03-04,9.31414
2021-03-05,5.58848
2021-03-06,3.72565
2021-03-07,6.94326
2021-03-08,11.93903
2021-03-09,12.10838
2021-03-10,9.56816
2021-03-11,11.51566
2021-03-12,9.39881
2021-03-13,6.77392
2021-03-14,8.63674
2021-03-15,25.57154
2021-03-16,62.23539
2021-03-17,24.30143
2021-03-18,15.83403
2021-03-19,20.15241
2021-03-20,15.49534
2021-03-21,12.27773
2021-03-22,14.3099
2021-03-23,16.68077
2021-03-24,17.27349
2021-03-25,22.86198
2021-03-26,17.18882
2021-03-27,18.03556
2021-03-28,15.74936
2021-03-29,18.8823
