date,스타벅스주가
2020-03-20,11.70238
2020-03-21,7.41561
2020-03-22,6.31929
2020-03-23,8.47499
2020-03-24,11.36979
2020-03-25,9.50973
2020-03-26,10.51983
2020-03-27,10.33505
2020-03-28,7.73589
2020-03-29,7.71125
2020-03-30,8.6844
2020-03-31,9.37423
2020-04-01,7.89603
2020-04-02,8.96772
2020-04-03,9.11554
2020-04-04,7.83444
2020-04-05,6.38088
2020-04-06,8.94308
2020-04-07,11.38211
2020-04-08,9.01699
2020-04-09,10.88938
2020-04-10,9.01699
2020-04-11,6.17147
2020-04-12,4.85341
2020-04-13,6.03596
2020-04-14,9.22641
2020-04-15,7.73589
2020-04-16,6.92288
2020-04-17,8.65976
2020-04-18,13.00813
2020-04-19,8.75831
2020-04-20,13.0574
2020-04-21,10.38433
2020-04-22,11.69007
2020-04-23,11.27124
2020-04-24,8.17935
2020-04-25,5.74033
2020-04-26,3.79403
2020-04-27,5.53091
2020-04-28,7.08302
2020-04-29,8.78295
2020-04-30,8.37644
2020-05-01,5.77728
2020-05-02,6.13451
2020-05-03,3.31362
2020-05-04,6.1961
2020-05-05,8.22862
2020-05-06,8.04385
2020-05-07,7.31707
2020-05-08,8.49963
2020-05-09,6.15915
2020-05-10,4.00344
2020-05-11,6.1961
2020-05-12,7.44025
2020-05-13,6.30697
2020-05-14,7.11998
2020-05-15,5.38309
2020-05-16,3.88026
2020-05-17,2.77161
2020-05-18,5.9251
2020-05-19,8.32717
2020-05-20,6.61492
2020-05-21,8.43803
2020-05-22,7.23084
2020-05-23,5.39541
2020-05-24,4.86573
2020-05-25,7.3417
2020-05-26,9.99014
2020-05-27,8.78295
2020-05-28,7.98226
2020-05-29,6.3932
2020-05-30,4.61936
2020-05-31,3.84331
2020-06-01,6.3316
2020-06-02,7.18157
2020-06-03,8.80758
2020-06-04,9.74377
2020-06-05,8.84454
2020-06-06,7.0707
2020-06-07,5.61714
2020-06-08,7.48952
2020-06-09,9.39886
2020-06-10,10.35969
2020-06-11,13.34072
2020-06-12,12.60162
2020-06-13,6.78738
2020-06-14,4.18822
2020-06-15,7.15693
2020-06-16,8.48731
2020-06-17,7.28011
2020-06-18,6.88593
2020-06-19,5.86351
2020-06-20,4.48386
2020-06-21,3.58462
2020-06-22,5.23527
2020-06-23,6.56565
2020-06-24,6.41783
2020-06-25,6.50406
2020-06-26,5.54323
2020-06-27,5.24759
2020-06-28,3.55999
2020-06-29,5.97437
2020-06-30,6.36856
2020-07-01,5.70337
2020-07-02,5.77728
2020-07-03,5.03818
2020-07-04,2.74698
2020-07-05,2.51293
2020-07-06,4.61936
2020-07-07,6.98447
2020-07-08,5.87583
2020-07-09,7.42793
2020-07-10,5.72801
2020-07-11,3.95417
2020-07-12,5.25991
2020-07-13,5.56787
2020-07-14,7.74821
2020-07-15,8.78295
2020-07-16,8.0808
2020-07-17,6.23306
2020-07-18,4.40995
2020-07-19,2.95639
2020-07-20,4.66863
