date,저축은행적금
2020-03-20,0.3218
2020-03-21,0.28568
2020-03-22,0.26926
2020-03-23,0.28896
2020-03-24,0.27911
2020-03-25,0.41375
2020-03-26,0.4236
2020-03-27,0.33822
2020-03-28,0.14776
2020-03-29,0.24628
2020-03-30,0.22657
2020-03-31,0.31523
2020-04-01,0.29553
2020-04-02,0.25284
2020-04-03,0.24299
2020-04-04,0.19045
2020-04-05,0.16747
2020-04-06,0.3415
2020-04-07,0.35136
2020-04-08,0.24956
2020-04-09,0.27583
2020-04-10,0.22986
2020-04-11,0.14776
2020-04-12,0.21015
2020-04-13,0.27583
2020-04-14,0.29882
2020-04-15,0.31852
2020-04-16,0.34479
2020-04-17,0.3218
2020-04-18,0.24299
2020-04-19,0.23642
2020-04-20,0.33165
2020-04-21,0.36449
2020-04-22,0.38091
2020-04-23,0.33494
2020-04-24,0.27583
2020-04-25,0.27255
2020-04-26,0.24628
2020-04-27,0.39404
2020-04-28,0.34479
2020-04-29,0.36449
2020-04-30,0.17403
2020-05-01,0.22329
2020-05-02,0.2003
2020-05-03,0.21344
2020-05-04,0.4039
2020-05-05,0.3021
2020-05-06,0.41046
2020-05-07,0.3021
2020-05-08,0.29882
2020-05-09,0.21015
2020-05-10,0.19702
2020-05-11,0.36777
2020-05-12,0.24628
2020-05-13,0.29882
2020-05-14,0.22329
2020-05-15,0.28896
2020-05-16,0.15105
2020-05-17,0.1609
2020-05-18,0.29225
2020-05-19,0.27255
2020-05-20,0.33165
2020-05-21,0.35792
2020-05-22,0.22001
2020-05-23,0.18717
2020-05-24,0.20687
2020-05-25,0.4039
2020-05-26,0.29882
2020-05-27,0.25941
2020-05-28,0.26598
2020-05-29,0.30538
2020-05-30,0.17732
2020-05-31,0.23314
2020-06-01,0.31852
2020-06-02,0.22657
2020-06-03,0.29882
2020-06-04,0.32509
2020-06-05,0.27583
2020-06-06,0.20687
2020-06-07,0.25284
2020-06-08,0.33165
2020-06-09,0.25613
2020-06-10,0.3218
2020-06-11,0.22657
2020-06-12,0.21015
2020-06-13,0.13791
2020-06-14,0.17075
2020-06-15,0.3021
2020-06-16,0.26926
2020-06-17,0.22329
2020-06-18,0.22001
2020-06-19,0.24299
2020-06-20,0.1412
2020-06-21,0.19702
2020-06-22,0.2824
2020-06-23,0.20359
2020-06-24,0.26926
2020-06-25,0.3415
2020-06-26,0.25941
2020-06-27,0.13791
2020-06-28,0.21344
2020-06-29,0.25284
2020-06-30,0.31195
2020-07-01,0.32509
2020-07-02,0.22657
2020-07-03,0.31195
2020-07-04,0.14776
2020-07-05,0.22986
2020-07-06,0.32837
2020-07-07,0.26269
2020-07-08,0.26926
2020-07-09,0.24628
2020-07-10,0.20359
2020-07-11,0.19702
2020-07-12,0.2003
2020-07-13,0.3218
2020-07-14,0.22657
2020-07-15,0.3021
2020-07-16,0.23314
2020-07-17,0.24299
2020-07-18,0.13134
2020-07-19,0.18717
2020-07-20,0.35464
2020-07-21,0.37106
2020-07-22,0.29882
2020-07-23,0.19045
2020-07-24,0.24628
2020-07-25,0.21344
2020-07-26,0.2003
2020-07-27,0.26598
2020-07-28,0.22986
2020-07-29,0.3218
2020-07-30,0.2003
2020-07-31,0.3021
2020-08-01,0.21344
2020-08-02,0.22001
2020-08-03,0.27911
2020-08-04,0.3021
2020-08-05,0.28568
2020-08-06,0.27911
2020-08-07,0.3021
2020-08-08,0.10836
2020-08-09,0.22986
