date,NAVER주가
2020-03-20,0.61616
2020-03-21,0.09226
2020-03-22,0.11203
2020-03-23,0.61616
2020-03-24,0.62275
2020-03-25,0.65241
2020-03-26,0.84681
2020-03-27,0.70513
2020-03-28,0.19111
2020-03-29,0.12191
2020-03-30,0.60628
2020-03-31,0.58321
2020-04-01,0.44812
2020-04-02,0.66888
2020-04-03,0.83034
2020-04-04,0.16804
2020-04-05,0.20099
2020-04-06,0.78421
2020-04-07,0.8567
2020-04-08,0.99179
2020-04-09,0.80727
2020-04-10,0.75126
2020-04-11,0.23724
2020-04-12,0.19111
2020-04-13,0.68206
2020-04-14,0.62934
2020-04-15,0.21088
2020-04-16,0.83693
2020-04-17,0.87647
2020-04-18,0.15157
2020-04-19,0.16804
2020-04-20,0.89953
2020-04-21,0.8567
2020-04-22,0.78421
2020-04-23,1.6442
2020-04-24,1.59478
2020-04-25,0.37233
2020-04-26,0.34597
2020-04-27,1.37072
2020-04-28,1.32459
2020-04-29,1.37401
2020-04-30,0.2603
2020-05-01,0.28337
2020-05-02,0.15816
2020-05-03,0.21088
2020-05-04,1.35424
2020-05-05,0.26689
2020-05-06,1.75953
2020-05-07,1.80566
2020-05-08,1.62114
2020-05-09,0.35256
2020-05-10,0.1944
2020-05-11,1.40367
2020-05-12,1.98359
2020-05-13,1.69033
2020-05-14,1.82213
2020-05-15,1.69363
2020-05-16,0.28996
2020-05-17,0.18452
2020-05-18,1.29164
2020-05-19,1.55194
2020-05-20,1.60137
2020-05-21,1.99677
2020-05-22,1.7101
2020-05-23,0.21747
2020-05-24,0.2636
2020-05-25,2.53385
2020-05-26,3.00833
2020-05-27,2.53715
2020-05-28,2.59316
2020-05-29,2.94243
2020-05-30,0.55026
2020-05-31,0.32291
2020-06-01,2.92266
2020-06-02,2.47784
2020-06-03,2.69201
2020-06-04,2.6327
2020-06-05,2.67883
2020-06-06,0.28007
2020-06-07,0.3262
2020-06-08,2.92596
2020-06-09,2.3065
2020-06-10,2.94902
2020-06-11,2.8963
2020-06-12,3.24887
2020-06-13,0.28996
2020-06-14,0.23394
2020-06-15,2.76121
2020-06-16,2.52726
2020-06-17,2.66236
2020-06-18,2.25048
2020-06-19,2.16152
2020-06-20,0.22735
2020-06-21,0.20758
2020-06-22,2.97868
2020-06-23,3.45316
2020-06-24,2.8996
2020-06-25,2.90619
2020-06-26,2.99515
2020-06-27,0.24053
2020-06-28,0.22076
2020-06-29,2.22083
2020-06-30,2.25048
2020-07-01,1.91439
2020-07-02,2.31638
2020-07-03,2.27684
2020-07-04,0.25371
2020-07-05,0.23724
2020-07-06,2.6327
2020-07-07,2.49761
2020-07-08,2.7678
2020-07-09,3.28841
2020-07-10,4.43836
2020-07-11,0.50743
2020-07-12,0.42176
2020-07-13,4.26043
2020-07-14,3.77277
2020-07-15,3.98365
2020-07-16,3.70358
2020-07-17,3.72994
2020-07-18,0.30973
2020-07-19,0.25042
2020-07-20,3.5553
2020-07-21,2.86994
2020-07-22,2.9622
2020-07-23,3.60143
2020-07-24,3.33783
2020-07-25,0.31302
2020-07-26,0.30314
2020-07-27,3.18956
2020-07-28,2.70849
2020-07-29,2.85676
2020-07-30,2.97538
2020-07-31,3.31477
2020-08-01,0.35586
2020-08-02,0.25042
2020-08-03,3.53224
2020-08-04,3.78595
2020-08-05,3.65745
2020-08-06,3.21262
2020-08-07,3.6212
2020-08-08,0.30643
2020-08-09,0.30643
2020-08-10,3.1632
2020-08-11,2.85347
2020-08-12,2.93255
2020-08-13,2.89301
2020-08-14,2.37899
2020-08-15,0.18781
2020-08-16,0.27678
2020-08-17,0.34927
2020-08-18,3.094
2020-08-19,2.56351
2020-08-20,2.74803
2020-08-21,3.094
2020-08-22,0.24712
2020-08-23,0.16475
2020-08-24,2.5009
2020-08-25,2.82052
2020-08-26,2.99515
2020-08-27,2.8996
2020-08-28,3.51906
2020-08-29,0.41187
2020-08-30,0.20429
2020-08-31,3.37078
2020-09-01,2.95561
2020-09-02,2.90619
2020-09-03,2.52726
2020-09-04,3.31477
2020-09-05,0.36245
2020-09-06,0.21088
2020-09-07,3.92434
2020-09-08,3.80243
2020-09-09,3.72664
2020-09-10,3.2291
2020-09-11,2.86665
2020-09-12,0.33279
2020-09-13,0.2603
2020-09-14,2.94902
2020-09-15,3.50258
2020-09-16,3.31477
2020-09-17,3.50917
2020-09-18,3.69369
2020-09-19,0.37233
2020-09-20,0.32291
2020-09-21,3.25216
2020-09-22,3.26205
2020-09-23,3.27523
2020-09-24,2.75462
2020-09-25,2.62282
2020-09-26,0.28337
2020-09-27,0.20099
2020-09-28,2.67554
2020-09-29,1.92098
2020-09-30,0.14827
2020-10-01,0.12191
2020-10-02,0.12191
2020-10-03,0.11203
2020-10-04,0.17463
2020-10-05,2.53715
2020-10-06,2.75462
2020-10-07,2.08573
2020-10-08,1.7793
2020-10-09,0.22735
2020-10-10,0.15486
2020-10-11,0.14827
2020-10-12,2.12198
2020-10-13,1.90121
2020-10-14,1.89462
2020-10-15,1.95723
2020-10-16,1.91769
2020-10-17,0.15486
2020-10-18,0.08896
2020-10-19,1.91769
2020-10-20,2.02642
2020-10-21,2.20106
2020-10-22,1.63102
2020-10-23,1.81225
2020-10-24,0.17793
2020-10-25,0.1285
2020-10-26,2.22742
2020-10-27,1.81554
2020-10-28,2.32956
2020-10-29,2.41194
2020-10-30,1.84849
2020-10-31,0.21088
2020-11-01,0.15486
2020-11-02,1.80895
2020-11-03,2.34933
2020-11-04,2.88642
2020-11-05,2.85017
2020-11-06,2.78757
2020-11-07,0.17793
2020-11-08,0.17463
2020-11-09,2.56351
2020-11-10,3.18956
2020-11-11,3.03469
2020-11-12,2.62941
2020-11-13,2.55362
2020-11-14,0.24383
2020-11-15,0.20758
2020-11-16,2.62611
2020-11-17,2.8337
2020-11-18,2.64918
2020-11-19,2.72167
2020-11-20,2.54374
2020-11-21,0.29655
2020-11-22,0.2636
2020-11-23,2.81722
2020-11-24,2.5701
2020-11-25,2.46795
2020-11-26,2.51738
2020-11-27,2.33615
2020-11-28,0.27678
2020-11-29,0.27678
2020-11-30,2.37899
2020-12-01,2.72496
2020-12-02,2.40205
2020-12-03,2.64918
2020-12-04,3.05446
2020-12-05,0.41846
2020-12-06,0.34927
2020-12-07,2.80075
2020-12-08,2.56021
2020-12-09,2.39546
2020-12-10,2.38558
2020-12-11,2.35263
2020-12-12,0.25042
2020-12-13,0.32291
2020-12-14,2.47784
2020-12-15,1.94405
2020-12-16,1.98688
2020-12-17,1.7793
2020-12-18,1.59807
2020-12-19,0.20758
2020-12-20,0.18122
2020-12-21,2.00006
2020-12-22,2.22412
2020-12-23,2.06267
2020-12-24,1.77271
2020-12-25,0.24383
2020-12-26,0.24383
2020-12-27,0.20429
2020-12-28,1.99677
2020-12-29,1.82543
2020-12-30,2.44818
2020-12-31,0.42176
2021-01-01,0.38881
2021-01-02,0.34268
2021-01-03,0.53708
2021-01-04,3.02151
2021-01-05,2.92266
2021-01-06,3.25216
2021-01-07,3.92105
2021-01-08,6.13858
2021-01-09,1.58489
2021-01-10,1.38719
2021-01-11,7.15015
2021-01-12,5.8618
2021-01-13,5.97054
2021-01-14,6.97551
2021-01-15,5.931
2021-01-16,0.87647
2021-01-17,0.76773
2021-01-18,4.86671
2021-01-19,4.8074
2021-01-20,4.99851
2021-01-21,6.4549
2021-01-22,10.11565
2021-01-23,1.89792
2021-01-24,1.68704
2021-01-25,8.60324
2021-01-26,7.58509
2021-01-27,6.97551
2021-01-28,10.02668
2021-01-29,9.32155
2021-01-30,1.39049
2021-01-31,1.06428
2021-02-01,8.00026
2021-02-02,9.25895
2021-02-03,8.40884
2021-02-04,7.56532
2021-02-05,7.39398
2021-02-06,1.0544
2021-02-07,0.75126
2021-02-08,6.1287
2021-02-09,5.61797
2021-02-10,6.15835
2021-02-11,0.88635
2021-02-12,0.7875
2021-02-13,0.8567
2021-02-14,0.83034
2021-02-15,9.13374
2021-02-16,10.24086
2021-02-17,8.70539
2021-02-18,8.74163
2021-02-19,8.5637
2021-02-20,1.37731
2021-02-21,1.22903
2021-02-22,8.65926
2021-02-23,7.99037
2021-02-24,8.20125
2021-02-25,7.74654
2021-02-26,7.5126
2021-02-27,1.04781
2021-02-28,1.22574
2021-03-01,1.17961
2021-03-02,7.2457
2021-03-03,9.18646
2021-03-04,8.46156
2021-03-05,8.44508
2021-03-06,1.2488
2021-03-07,1.2488
2021-03-08,7.96731
2021-03-09,7.66746
2021-03-10,7.31819
2021-03-11,8.41543
2021-03-12,8.75152
2021-03-13,1.16643
2021-03-14,0.93248
2021-03-15,7.15674
2021-03-16,6.64931
2021-03-17,6.64931
2021-03-18,10.09917
2021-03-19,8.60324
2021-03-20,1.31141
2021-03-21,1.00168
2021-03-22,7.60815
2021-03-23,7.52907
2021-03-24,7.04141
2021-03-25,6.93268
2021-03-26,6.49444
2021-03-27,0.87976
2021-03-28,0.85011
2021-03-29,6.59988
2021-03-30,6.8503
2021-03-31,6.0595
2021-04-01,6.44502
2021-04-02,5.98701
2021-04-03,0.80068
2021-04-04,0.6557
2021-04-05,5.99031
2021-04-06,7.32808
2021-04-07,6.12211
2021-04-08,5.82556
2021-04-09,5.32142
2021-04-10,0.74796
2021-04-11,0.71831
2021-04-12,6.09245
2021-04-13,5.75636
2021-04-14,6.84371
2021-04-15,6.82724
2021-04-16,5.36096
2021-04-17,0.88306
2021-04-18,0.66888
2021-04-19,5.41698
2021-04-20,5.09407
2021-04-21,5.89475
2021-04-22,5.40709
2021-04-23,4.98533
2021-04-24,0.68536
2021-04-25,0.63923
2021-04-26,5.28188
2021-04-27,4.97874
2021-04-28,4.87989
2021-04-29,5.85851
2021-04-30,6.90961
2021-05-01,1.04122
2021-05-02,0.7875
2021-05-03,6.75804
2021-05-04,5.82885
2021-05-05,0.8534
2021-05-06,5.69376
2021-05-07,5.51583
2021-05-08,0.71501
2021-05-09,0.60298
2021-05-10,6.38571
2021-05-11,8.17819
2021-05-12,7.5126
2021-05-13,6.44502
2021-05-14,6.0595
2021-05-15,0.66559
2021-05-16,0.64582
2021-05-17,5.01169
2021-05-18,5.43345
2021-05-19,0.73149
2021-05-20,4.74809
2021-05-21,5.42027
2021-05-22,0.55685
2021-05-23,0.40199
2021-05-24,4.60641
2021-05-25,4.62618
2021-05-26,5.60809
2021-05-27,5.58502
2021-05-28,5.71353
2021-05-29,0.76444
2021-05-30,0.54697
2021-05-31,4.84694
2021-06-01,5.27859
2021-06-02,5.28518
2021-06-03,4.98533
2021-06-04,4.97215
2021-06-05,0.62275
2021-06-06,0.61616
2021-06-07,5.19951
2021-06-08,5.27529
2021-06-09,4.65913
2021-06-10,9.00853
2021-06-11,7.23582
2021-06-12,0.97202
2021-06-13,0.91271
2021-06-14,8.92615
2021-06-15,8.21773
2021-06-16,8.59665
2021-06-17,8.43849
2021-06-18,9.8817
2021-06-19,1.19938
2021-06-20,1.06758
2021-06-21,7.88493
2021-06-22,7.30501
2021-06-23,15.97746
2021-06-24,13.96751
2021-06-25,12.31342
2021-06-26,1.37401
2021-06-27,1.09394
2021-06-28,8.67573
2021-06-29,7.82233
2021-06-30,10.18814
2021-07-01,8.88002
2021-07-02,8.13206
2021-07-03,1.00827
2021-07-04,0.7249
2021-07-05,7.93436
2021-07-06,7.47306
2021-07-07,8.98876
2021-07-08,10.25404
2021-07-09,9.2227
2021-07-10,1.19608
2021-07-11,0.91601
2021-07-12,7.76961
2021-07-13,12.51441
2021-07-14,11.2063
2021-07-15,9.73013
2021-07-16,10.24086
2021-07-17,1.15984
2021-07-18,1.04451
2021-07-19,9.08102
2021-07-20,9.60492
2021-07-21,10.31005
2021-07-22,11.04154
2021-07-23,11.56545
2021-07-24,1.61125
2021-07-25,1.11371
2021-07-26,9.91795
2021-07-27,8.47803
2021-07-28,9.15021
2021-07-29,8.02991
2021-07-30,7.48624
2021-07-31,0.86658
2021-08-01,0.71172
2021-08-02,7.86187
2021-08-03,8.49451
2021-08-04,8.45826
2021-08-05,9.24247
2021-08-06,8.13535
2021-08-07,0.75785
2021-08-08,0.67218
2021-08-09,7.87175
2021-08-10,6.97881
2021-08-11,7.03153
2021-08-12,6.6559
2021-08-13,6.67567
2021-08-14,0.74137
2021-08-15,0.59969
2021-08-16,0.84681
2021-08-17,7.16003
2021-08-18,7.3116
2021-08-19,6.37253
2021-08-20,5.67728
2021-08-21,0.63593
2021-08-22,0.5272
2021-08-23,6.02326
2021-08-24,6.29345
2021-08-25,6.29674
2021-08-26,6.61965
2021-08-27,6.08916
2021-08-28,0.71831
2021-08-29,0.53049
2021-08-30,5.6674
2021-08-31,6.48456
2021-09-01,6.46808
2021-09-02,5.58502
2021-09-03,6.36923
2021-09-04,0.81386
2021-09-05,0.76444
2021-09-06,5.69046
2021-09-07,5.29506
2021-09-08,13.13058
2021-09-09,11.16346
2021-09-10,9.56209
2021-09-11,0.99179
2021-09-12,0.80727
2021-09-13,7.59497
2021-09-14,9.45335
2021-09-15,7.12049
2021-09-16,6.07598
2021-09-17,5.75966
2021-09-18,0.64911
2021-09-19,0.41517
2021-09-20,0.44812
2021-09-21,0.3921
2021-09-22,0.62934
2021-09-23,5.72341
2021-09-24,5.66081
2021-09-25,0.62275
2021-09-26,0.50084
2021-09-27,4.64265
2021-09-28,5.23905
2021-09-29,5.10066
2021-09-30,4.99192
2021-10-01,4.46802
2021-10-02,0.66559
2021-10-03,0.45471
2021-10-04,0.77762
2021-10-05,4.76786
2021-10-06,4.98533
2021-10-07,5.56525
2021-10-08,4.54051
2021-10-09,0.51731
2021-10-10,0.45471
2021-10-11,0.56344
2021-10-12,4.75798
2021-10-13,4.49438
2021-10-14,4.64924
2021-10-15,4.80411
2021-10-16,0.68865
2021-10-17,0.41517
2021-10-18,4.45813
2021-10-19,4.90955
2021-10-20,4.76127
2021-10-21,4.62618
2021-10-22,4.49438
2021-10-23,0.56344
2021-10-24,0.38881
2021-10-25,4.23407
2021-10-26,4.9392
2021-10-27,4.55039
2021-10-28,4.47131
2021-10-29,4.01331
2021-10-30,0.53708
2021-10-31,0.44153
2021-11-01,3.94411
2021-11-02,7.32149
2021-11-03,8.54393
2021-11-04,11.24584
2021-11-05,7.62792
2021-11-06,2.24389
2021-11-07,2.05937
2021-11-08,7.47635
2021-11-09,9.87841
2021-11-10,7.09743
2021-11-11,7.54225
2021-11-12,7.36432
2021-11-13,2.41194
2021-11-14,2.35592
2021-11-15,8.12217
2021-11-16,7.72348
2021-11-17,9.06784
2021-11-18,10.76806
2021-11-19,7.51589
2021-11-20,2.5701
2021-11-21,2.34933
2021-11-22,9.16339
2021-11-23,9.60822
2021-11-24,10.28369
2021-11-25,8.58347
2021-11-26,9.30837
2021-11-27,2.63929
2021-11-28,2.40205
2021-11-29,8.40884
2021-11-30,8.87673
2021-12-01,9.37427
2021-12-02,9.75649
2021-12-03,7.59827
2021-12-04,2.35592
2021-12-05,2.16152
2021-12-06,9.17657
2021-12-07,8.88661
2021-12-08,8.27704
2021-12-09,8.40225
2021-12-10,6.31651
2021-12-11,1.99677
2021-12-12,2.1088
2021-12-13,6.90632
2021-12-14,7.30172
2021-12-15,7.10731
2021-12-16,7.45988
2021-12-17,6.86678
2021-12-18,1.96711
2021-12-19,1.86497
2021-12-20,10.6725
2021-12-21,8.31328
2021-12-22,7.98378
2021-12-23,8.18148
2021-12-24,8.567
2021-12-25,2.42512
2021-12-26,2.54374
2021-12-27,7.25229
2021-12-28,7.92777
2021-12-29,7.47965
2021-12-30,8.07275
2021-12-31,3.03799
2022-01-01,2.01654
2022-01-02,2.31309
2022-01-03,8.4319
2022-01-04,14.61333
2022-01-05,17.25921
2022-01-06,25.43741
2022-01-07,19.27246
2022-01-08,5.91782
2022-01-09,5.21928
2022-01-10,25.28913
2022-01-11,22.22478
2022-01-12,20.15881
