date,코스모스코인
2021-01-13,2.27345
2021-01-14,3.42619
2021-01-15,21.83797
2021-01-16,12.87223
2021-01-17,16.61863
2021-01-18,12.10374
2021-01-19,7.74895
2021-01-20,6.66026
2021-01-21,4.61095
2021-01-22,3.84245
2021-01-23,3.84245
2021-01-24,3.26609
2021-01-25,4.57893
2021-01-26,4.41882
2021-01-27,4.61095
2021-01-28,4.41882
2021-01-29,4.25872
2021-01-30,2.91386
2021-01-31,4.0666
2021-02-01,3.17002
2021-02-02,4.00256
2021-02-03,3.04194
2021-02-04,2.9779
2021-02-05,3.58629
2021-02-06,12.45597
2021-02-07,6.5642
2021-02-08,11.75152
2021-02-09,6.78834
2021-02-10,5.02721
2021-02-11,7.07652
2021-02-12,20.90938
2021-02-13,13.80083
2021-02-14,12.32788
2021-02-15,14.3772
2021-02-16,34.67819
2021-02-17,35.92699
2021-02-18,41.21037
2021-02-19,26.51296
2021-02-20,23.72718
2021-02-21,16.07428
2021-02-22,26.00064
2021-02-23,13.83285
2021-02-24,13.70477
2021-02-25,9.41402
2021-02-26,7.74895
2021-02-27,9.86231
2021-02-28,10.11847
2021-03-01,5.21934
2021-03-02,6.78834
2021-03-03,7.07652
2021-03-04,10.37463
2021-03-05,10.05443
2021-03-06,6.59622
2021-03-07,4.41882
2021-03-08,4.61095
2021-03-09,6.24399
2021-03-10,6.37207
2021-03-11,6.08389
2021-03-12,8.16522
2021-03-13,6.66026
2021-03-14,6.14793
2021-03-15,7.62087
2021-03-16,11.59141
2021-03-17,9.12584
2021-03-18,12.26384
2021-03-19,10.50272
2021-03-20,8.96573
2021-03-21,6.17995
2021-03-22,9.34998
2021-03-23,7.0445
2021-03-24,9.89433
2021-03-25,7.46077
2021-03-26,7.813
2021-03-27,6.98046
2021-03-28,8.42138
2021-03-29,11.36727
2021-03-30,15.9462
2021-03-31,22.57444
2021-04-01,20.04482
2021-04-02,19.75664
2021-04-03,25.07204
2021-04-04,17.00288
2021-04-05,19.78866
2021-04-06,24.20749
2021-04-07,16.90682
2021-04-08,12.13576
2021-04-09,13.99295
2021-04-10,17.54723
2021-04-11,13.89689
2021-04-12,20.07684
2021-04-13,17.61127
2021-04-14,23.72718
2021-04-15,21.51777
2021-04-16,12.45597
2021-04-17,15.20973
2021-04-18,13.57668
2021-04-19,16.39449
2021-04-20,15.14569
2021-04-21,13.57668
2021-04-22,11.14313
2021-04-23,9.382
2021-04-24,6.69228
2021-04-25,5.66762
2021-04-26,5.95581
2021-04-27,9.382
2021-04-28,8.58149
2021-04-29,5.95581
2021-04-30,6.01985
2021-05-01,6.17995
2021-05-02,9.79827
2021-05-03,9.02977
2021-05-04,14.6974
2021-05-05,15.43387
2021-05-06,19.94876
2021-05-07,17.32308
2021-05-08,34.83829
2021-05-09,13.1284
2021-05-10,12.48799
2021-05-11,7.52481
2021-05-12,9.44604
2021-05-13,6.50016
2021-05-14,6.34005
2021-05-15,19.98078
2021-05-16,12.55203
2021-05-17,8.48543
2021-05-18,9.83029
2021-05-19,11.46333
2021-05-20,13.25648
2021-05-21,9.25392
2021-05-22,14.6974
2021-05-23,7.84502
2021-05-24,7.68491
2021-05-25,6.40409
2021-05-26,5.76368
2021-05-27,5.6356
2021-05-28,4.61095
2021-05-29,4.41882
2021-05-30,2.36951
2021-05-31,3.84245
2021-06-01,4.35478
2021-06-02,4.61095
2021-06-03,11.97566
2021-06-04,5.66762
2021-06-05,3.10598
2021-06-06,3.61831
2021-06-07,4.32276
2021-06-08,2.52961
2021-06-09,2.59365
2021-06-10,2.40153
2021-06-11,3.29811
2021-06-12,3.49023
2021-06-13,2.46557
2021-06-14,2.17739
2021-06-15,3.52225
2021-06-16,2.62568
2021-06-17,4.73903
2021-06-18,2.72174
2021-06-19,1.44092
