date,CMA금리비교
2020-03-20,61.64987
2020-03-21,40.49118
2020-03-22,40.05037
2020-03-23,65.80604
2020-03-24,59.31989
2020-03-25,69.33249
2020-03-26,70.84382
2020-03-27,63.66498
2020-03-28,45.2141
2020-03-29,43.01007
2020-03-30,62.34256
2020-03-31,70.52896
2020-04-01,66.1209
2020-04-02,59.44584
2020-04-03,51.00755
2020-04-04,33.75314
2020-04-05,37.34256
2020-04-06,53.52644
2020-04-07,51.00755
2020-04-08,49.49622
2020-04-09,47.79596
2020-04-10,49.49622
2020-04-11,34.31989
2020-04-12,34.88664
2020-04-13,46.41057
2020-04-14,51.19647
2020-04-15,49.87405
2020-04-16,54.84886
2020-04-17,51.1335
2020-04-18,30.98236
2020-04-19,38.22418
2020-04-20,52.58186
2020-04-21,55.91939
2020-04-22,52.07808
2020-04-23,46.53652
2020-04-24,50.25188
2020-04-25,33.87909
2020-04-26,36.33501
2020-04-27,50.81863
2020-04-28,45.15113
2020-04-29,51.5743
2020-04-30,30.41561
2020-05-01,29.34508
2020-05-02,21.91435
2020-05-03,27.83375
2020-05-04,46.28463
2020-05-05,36.96473
2020-05-06,50.69269
2020-05-07,43.57682
2020-05-08,39.10579
2020-05-09,28.14861
2020-05-10,24.62216
2020-05-11,41.1209
2020-05-12,46.78841
2020-05-13,42.31738
2020-05-14,42.50629
2020-05-15,44.52141
2020-05-16,30.91939
2020-05-17,26.95214
2020-05-18,44.96221
2020-05-19,43.70277
2020-05-20,46.97732
2020-05-21,45.27707
2020-05-22,39.79848
2020-05-23,27.83375
2020-05-24,29.78589
2020-05-25,51.44836
2020-05-26,50.75566
2020-05-27,44.26952
2020-05-28,43.76574
2020-05-29,47.67002
2020-05-30,30.03778
2020-05-31,28.8413
2020-06-01,47.67002
2020-06-02,44.33249
2020-06-03,43.19899
2020-06-04,41.68765
2020-06-05,35.70528
2020-06-06,25.12594
2020-06-07,25.25188
2020-06-08,54.47103
2020-06-09,53.96725
2020-06-10,52.45591
2020-06-11,50.88161
2020-06-12,44.96221
2020-06-13,25.81863
