date,코덱스레버리지
2020-03-20,100.0
2020-03-21,18.86521
2020-03-22,14.79641
2020-03-23,78.69695
2020-03-24,86.86039
2020-03-25,99.2563
2020-03-26,81.91581
2020-03-27,71.81129
2020-03-28,13.14822
2020-03-29,13.05346
2020-03-30,64.78493
2020-03-31,57.29053
2020-04-01,53.87354
2020-04-02,56.43484
2020-04-03,45.30236
2020-04-04,8.48216
2020-04-05,7.58341
2020-04-06,51.81186
2020-04-07,56.91437
2020-04-08,46.46815
2020-04-09,46.45954
2020-04-10,41.59823
2020-04-11,6.47217
2020-04-12,6.21087
2020-04-13,36.38086
2020-04-14,37.0097
2020-04-15,8.53385
2020-04-16,32.26038
2020-04-17,46.1322
2020-04-18,6.96031
2020-04-19,6.09027
2020-04-20,36.5876
2020-04-21,39.94716
2020-04-22,35.90708
2020-04-23,36.08798
2020-04-24,28.92953
2020-04-25,4.71486
2020-04-26,4.43059
2020-04-27,33.65588
2020-04-28,29.78808
2020-04-29,28.15425
2020-04-30,5.09676
2020-05-01,5.69976
2020-05-02,3.79314
2020-05-03,3.37104
2020-05-04,27.42778
2020-05-05,5.38677
2020-05-06,26.50605
2020-05-07,22.99718
2020-05-08,23.28432
2020-05-09,3.59788
2020-05-10,3.33371
2020-05-11,22.11853
2020-05-12,21.74524
2020-05-13,22.13288
2020-05-14,22.33101
2020-05-15,20.58806
2020-05-16,2.903
2020-05-17,2.75656
2020-05-18,20.75748
2020-05-19,28.18009
2020-05-20,23.20105
2020-05-21,23.35037
2020-05-22,21.56721
2020-05-23,2.61586
2020-05-24,2.2598
2020-05-25,20.92402
2020-05-26,26.56061
2020-05-27,23.22689
2020-05-28,23.63176
2020-05-29,19.59742
2020-05-30,2.58714
2020-05-31,1.95543
2020-06-01,24.34675
2020-06-02,24.37259
2020-06-03,37.27387
2020-06-04,32.57336
2020-06-05,29.44064
2020-06-06,4.46792
2020-06-07,3.30213
2020-06-08,27.92453
2020-06-09,25.9289
2020-06-10,23.43077
2020-06-11,24.92677
2020-06-12,27.16074
2020-06-13,3.08677
2020-06-14,2.6216
2020-06-15,26.15
2020-06-16,29.77373
2020-06-17,23.03738
2020-06-18,18.22776
2020-06-19,17.40366
2020-06-20,2.56704
2020-06-21,2.26842
2020-06-22,17.30603
2020-06-23,18.55223
2020-06-24,19.78406
2020-06-25,19.95061
2020-06-26,17.16533
2020-06-27,3.11548
2020-06-28,2.63021
2020-06-29,19.05472
2020-06-30,18.54074
2020-07-01,15.83299
2020-07-02,15.46258
2020-07-03,14.73611
2020-07-04,2.02722
2020-07-05,1.82622
2020-07-06,18.74174
2020-07-07,18.10716
2020-07-08,14.99454
2020-07-09,14.57818
2020-07-10,13.65359
2020-07-11,1.74007
2020-07-12,1.64532
2020-07-13,15.58605
2020-07-14,13.59329
2020-07-15,16.57382
2020-07-16,13.5014
2020-07-17,12.39878
2020-07-18,1.79463
2020-07-19,1.65967
2020-07-20,11.79865
2020-07-21,16.05122
2020-07-22,13.64497
2020-07-23,13.0994
2020-07-24,12.05708
2020-07-25,1.78889
2020-07-26,1.43858
2020-07-27,12.93286
2020-07-28,17.86883
2020-07-29,15.32762
2020-07-30,14.38006
2020-07-31,12.21788
2020-08-01,1.90087
2020-08-02,1.54769
2020-08-03,11.58042
2020-08-04,13.74834
2020-08-05,16.34698
2020-08-06,18.93125
2020-08-07,17.43524
2020-08-08,2.27703
2020-08-09,1.91523
2020-08-10,19.19542
2020-08-11,23.25848
2020-08-12,20.31528
2020-08-13,20.78332
2020-08-14,16.31539
2020-08-15,2.14494
2020-08-16,1.88652
2020-08-17,3.29638
2020-08-18,18.69867
2020-08-19,14.87394
2020-08-20,23.08907
2020-08-21,20.42439
2020-08-22,2.27416
2020-08-23,2.11336
2020-08-24,15.19841
2020-08-25,15.54298
2020-08-26,13.90914
2020-08-27,13.13673
2020-08-28,13.34635
2020-08-29,1.65393
2020-08-30,1.37253
2020-08-31,14.15609
2020-09-01,12.25521
2020-09-02,12.75483
2020-09-03,14.96295
2020-09-04,14.81077
2020-09-05,2.11049
2020-09-06,1.41273
2020-09-07,12.61701
2020-09-08,13.46407
2020-09-09,12.7376
2020-09-10,12.13748
2020-09-11,10.58404
2020-09-12,1.5161
2020-09-13,1.2548
2020-09-14,12.72899
2020-09-15,13.31763
2020-09-16,12.62275
2020-09-17,11.33348
2020-09-18,10.19353
2020-09-19,1.43283
2020-09-20,1.27203
2020-09-21,11.35358
2020-09-22,14.44323
2020-09-23,13.7828
2020-09-24,16.06845
2020-09-25,11.54884
2020-09-26,1.83196
2020-09-27,1.40412
2020-09-28,11.67805
2020-09-29,9.56469
2020-09-30,1.2749
2020-10-01,0.92746
2020-10-02,1.39263
2020-10-03,1.16579
2020-10-04,1.16292
2020-10-05,10.68167
2020-10-06,10.40888
2020-10-07,10.37443
2020-10-08,10.13897
2020-10-09,1.28926
2020-10-10,0.92746
2020-10-11,0.92172
2020-10-12,9.30626
2020-10-13,9.28616
2020-10-14,8.57405
2020-10-15,8.68891
2020-10-16,9.0909
2020-10-17,1.05093
2020-10-18,0.92746
2020-10-19,8.27255
2020-10-20,9.06219
2020-10-21,8.68029
2020-10-22,8.70901
2020-10-23,8.23522
2020-10-24,0.96479
2020-10-25,0.90162
2020-10-26,8.36444
2020-10-27,8.17492
2020-10-28,8.10314
2020-10-29,10.65583
2020-10-30,10.46918
2020-10-31,1.71423
2020-11-01,1.53907
2020-11-02,10.32849
2020-11-03,10.92861
2020-11-04,11.322
2020-11-05,13.00178
2020-11-06,11.35071
2020-11-07,1.67116
2020-11-08,1.40986
2020-11-09,14.4059
2020-11-10,12.86108
2020-11-11,14.46333
2020-11-12,11.58329
2020-11-13,11.70677
2020-11-14,2.55556
2020-11-15,2.10187
2020-11-16,18.9772
2020-11-17,15.2099
2020-11-18,12.52799
2020-11-19,10.78217
2020-11-20,9.84034
2020-11-21,1.53907
2020-11-22,1.36392
2020-11-23,16.6054
2020-11-24,16.08281
2020-11-25,15.22712
2020-11-26,12.71463
2020-11-27,11.48854
2020-11-28,1.73433
2020-11-29,1.62522
