date,2차전지
2020-03-20,1.88269
2020-03-21,1.11943
2020-03-22,1.16338
2020-03-23,1.89425
2020-03-24,1.885
2020-03-25,1.81561
2020-03-26,1.73235
2020-03-27,1.7601
2020-03-28,1.07549
2020-03-29,1.16338
2020-03-30,1.77861
2020-03-31,1.71153
2020-04-01,1.76704
2020-04-02,1.60051
2020-04-03,1.66527
2020-04-04,0.92052
2020-04-05,0.9344
2020-04-06,1.53807
2020-04-07,1.79017
2020-04-08,2.7107
2020-04-09,2.15561
2020-04-10,1.69765
2020-04-11,1.45018
2020-04-12,1.58664
2020-04-13,2.05153
2020-04-14,2.22499
2020-04-15,1.50337
2020-04-16,3.58266
2020-04-17,3.4832
2020-04-18,1.75548
2020-04-19,1.80405
2020-04-20,2.15329
2020-04-21,1.91044
2020-04-22,1.85262
2020-04-23,1.87575
2020-04-24,1.75779
2020-04-25,0.90433
2020-04-26,1.11018
2020-04-27,1.85956
2020-04-28,1.8318
2020-04-29,1.61902
2020-04-30,0.95984
2020-05-01,0.87195
2020-05-02,0.60597
2020-05-03,0.72393
2020-05-04,1.02229
2020-05-05,0.87658
2020-05-06,1.30446
2020-05-07,1.36922
2020-05-08,1.28827
2020-05-09,0.9159
2020-05-10,0.83726
2020-05-11,1.32991
2020-05-12,1.3114
2020-05-13,7.1445
2020-05-14,3.64742
2020-05-15,2.18567
2020-05-16,1.25358
2020-05-17,1.24202
2020-05-18,3.393
2020-05-19,2.79859
2020-05-20,3.00212
2020-05-21,3.14321
2020-05-22,1.85493
2020-05-23,1.18651
2020-05-24,1.69997
2020-05-25,4.34128
2020-05-26,8.49292
2020-05-27,5.3127
2020-05-28,3.95272
2020-05-29,2.4956
2020-05-30,1.34147
2020-05-31,1.57507
2020-06-01,2.7292
2020-06-02,2.60199
2020-06-03,3.62892
2020-06-04,3.51096
2020-06-05,3.03219
2020-06-06,1.49412
2020-06-07,1.65602
2020-06-08,2.52798
2020-06-09,2.58349
2020-06-10,2.80321
2020-06-11,4.27652
2020-06-12,2.52336
2020-06-13,1.22583
2020-06-14,1.51725
2020-06-15,2.58812
2020-06-16,2.32213
2020-06-17,2.9443
2020-06-18,2.51179
2020-06-19,3.02294
2020-06-20,1.71847
2020-06-21,1.89194
2020-06-22,4.04524
2020-06-23,3.58266
2020-06-24,3.20566
2020-06-25,2.53492
2020-06-26,2.75002
2020-06-27,1.42473
2020-06-28,1.56119
2020-06-29,2.19724
2020-06-30,2.14867
2020-07-01,2.16254
2020-07-02,2.48866
2020-07-03,2.57193
2020-07-04,1.83874
2020-07-05,1.8318
2020-07-06,3.84401
2020-07-07,3.81395
2020-07-08,3.77463
2020-07-09,3.96197
2020-07-10,2.72458
2020-07-11,1.38773
2020-07-12,1.45943
2020-07-13,3.13627
2020-07-14,2.78471
2020-07-15,2.72458
2020-07-16,3.77925
2020-07-17,3.37218
2020-07-18,1.5797
2020-07-19,1.49643
2020-07-20,2.86798
2020-07-21,3.04375
2020-07-22,3.12933
2020-07-23,2.93967
2020-07-24,2.05153
2020-07-25,1.11249
2020-07-26,1.46405
2020-07-27,1.9937
2020-07-28,2.7824
2020-07-29,2.66444
2020-07-30,2.32213
2020-07-31,4.03598
2020-08-01,2.1001
2020-08-02,2.61587
2020-08-03,6.18697
2020-08-04,4.68128
2020-08-05,8.40965
2020-08-06,7.41742
2020-08-07,10.69247
2020-08-08,4.62808
2020-08-09,5.23175
2020-08-10,9.49208
2020-08-11,7.9517
2020-08-12,6.42288
2020-08-13,6.17078
2020-08-14,7.6996
2020-08-15,2.87029
2020-08-16,2.1001
2020-08-17,3.00444
2020-08-18,5.79147
2020-08-19,4.33435
2020-08-20,4.42455
2020-08-21,4.14932
2020-08-22,1.82486
2020-08-23,1.81099
2020-08-24,3.58497
2020-08-25,3.68905
2020-08-26,4.48237
2020-08-27,4.67665
2020-08-28,3.40457
2020-08-29,1.7948
2020-08-30,1.85262
2020-08-31,3.68674
2020-09-01,3.5179
2020-09-02,3.51327
2020-09-03,3.75612
2020-09-04,2.86335
2020-09-05,1.5982
2020-09-06,1.70922
2020-09-07,4.20714
2020-09-08,6.47608
2020-09-09,4.43611
2020-09-10,3.42307
2020-09-11,3.26579
2020-09-12,1.77167
2020-09-13,1.8133
2020-09-14,4.14238
2020-09-15,3.6081
2020-09-16,3.54565
2020-09-17,3.38838
2020-09-18,3.45314
2020-09-19,1.76242
2020-09-20,1.84568
2020-09-21,3.68674
2020-09-22,3.59653
2020-09-23,5.9233
2020-09-24,5.3127
2020-09-25,2.76852
2020-09-26,1.48487
2020-09-27,1.85493
2020-09-28,2.78471
2020-09-29,1.9937
2020-09-30,1.03848
2020-10-01,1.18188
2020-10-02,0.90433
2020-10-03,1.2027
2020-10-04,1.23508
2020-10-05,2.22037
2020-10-06,2.3522
2020-10-07,2.18799
2020-10-08,1.89425
2020-10-09,0.92746
2020-10-10,0.93671
2020-10-11,1.03386
2020-10-12,1.91044
2020-10-13,2.10704
2020-10-14,1.99139
2020-10-15,2.08853
2020-10-16,1.65602
2020-10-17,0.98991
2020-10-18,0.95522
2020-10-19,3.1409
2020-10-20,2.13016
2020-10-21,1.87575
2020-10-22,1.90119
