date,보험비교사이트
2020-03-20,29.98324
2020-03-21,20.77051
2020-03-22,22.94807
2020-03-23,35.00837
2020-03-24,42.21105
2020-03-25,43.38358
2020-03-26,32.66331
2020-03-27,28.47571
2020-03-28,18.25795
2020-03-29,18.42546
2020-03-30,41.37353
2020-03-31,34.33835
2020-04-01,30.82077
2020-04-02,25.79564
2020-04-03,24.95812
2020-04-04,14.23785
2020-04-05,16.0804
2020-04-06,24.62311
2020-04-07,27.80569
2020-04-08,30.15075
2020-04-09,23.11557
2020-04-10,24.1206
2020-04-11,14.23785
2020-04-12,10.21775
2020-04-13,22.44556
2020-04-14,21.94304
2020-04-15,12.56281
2020-04-16,24.1206
2020-04-17,20.60301
2020-04-18,11.22278
2020-04-19,12.89782
2020-04-20,27.13567
2020-04-21,31.49078
2020-04-22,27.80569
2020-04-23,37.01842
2020-04-24,26.29815
2020-04-25,16.41541
2020-04-26,12.89782
2020-04-27,22.11055
2020-04-28,25.62814
2020-04-29,19.26298
2020-04-30,13.73534
2020-05-01,13.40033
2020-05-02,8.54271
2020-05-03,17.08542
2020-05-04,27.80569
2020-05-05,16.2479
2020-05-06,23.78559
2020-05-07,24.62311
2020-05-08,17.25293
2020-05-09,13.90284
2020-05-10,11.55778
2020-05-11,26.63316
2020-05-12,29.81574
2020-05-13,28.81072
2020-05-14,30.15075
2020-05-15,26.96817
2020-05-16,13.73534
2020-05-17,16.41541
2020-05-18,37.68844
2020-05-19,33.16582
2020-05-20,28.97822
2020-05-21,27.30318
2020-05-22,29.98324
2020-05-23,13.23283
2020-05-24,15.91289
2020-05-25,27.97319
2020-05-26,31.15577
2020-05-27,29.31323
2020-05-28,28.47571
2020-05-29,22.44556
2020-05-30,14.23785
2020-05-31,16.58291
2020-06-01,27.47068
2020-06-02,24.95812
2020-06-03,25.96314
2020-06-04,34.67336
2020-06-05,28.47571
2020-06-06,14.74036
2020-06-07,14.07035
2020-06-08,27.47068
2020-06-09,32.49581
2020-06-10,32.66331
2020-06-11,27.47068
2020-06-12,21.94304
2020-06-13,13.06532
2020-06-14,11.55778
2020-06-15,26.29815
2020-06-16,25.79564
2020-06-17,30.48576
2020-06-18,25.79564
2020-06-19,19.76549
2020-06-20,10.38525
2020-06-21,10.55276
2020-06-22,27.97319
2020-06-23,25.46063
2020-06-24,20.93802
2020-06-25,28.97822
2020-06-26,22.44556
2020-06-27,14.07035
2020-06-28,13.40033
2020-06-29,28.97822
2020-06-30,25.62814
2020-07-01,19.59798
2020-07-02,20.60301
2020-07-03,22.61306
2020-07-04,11.55778
2020-07-05,11.89279
2020-07-06,26.46566
2020-07-07,26.80067
2020-07-08,25.29313
2020-07-09,23.45058
2020-07-10,21.44053
2020-07-11,13.23283
2020-07-12,13.40033
2020-07-13,31.32328
2020-07-14,28.47571
2020-07-15,29.64824
2020-07-16,25.79564
2020-07-17,25.29313
2020-07-18,17.08542
2020-07-19,14.40536
2020-07-20,31.82579
2020-07-21,23.28308
2020-07-22,33.66834
2020-07-23,21.27303
2020-07-24,20.77051
2020-07-25,13.90284
2020-07-26,12.73031
2020-07-27,31.15577
2020-07-28,23.61809
2020-07-29,23.61809
2020-07-30,22.61306
2020-07-31,18.09045
2020-08-01,10.05025
2020-08-02,10.72026
2020-08-03,20.60301
2020-08-04,22.44556
2020-08-05,25.46063
2020-08-06,22.78056
2020-08-07,30.65326
2020-08-08,17.08542
2020-08-09,17.42043
2020-08-10,27.47068
2020-08-11,31.82579
2020-08-12,25.96314
2020-08-13,25.62814
2020-08-14,22.61306
2020-08-15,16.2479
2020-08-16,14.90787
2020-08-17,18.76046
2020-08-18,30.82077
2020-08-19,27.47068
2020-08-20,26.80067
2020-08-21,21.94304
2020-08-22,15.07537
2020-08-23,16.41541
2020-08-24,35.67839
2020-08-25,26.63316
2020-08-26,29.31323
2020-08-27,29.48073
2020-08-28,20.77051
2020-08-29,16.2479
2020-08-30,20.77051
2020-08-31,25.96314
2020-09-01,24.45561
2020-09-02,23.61809
2020-09-03,27.97319
2020-09-04,31.32328
2020-09-05,15.91289
2020-09-06,17.75544
2020-09-07,26.96817
2020-09-08,29.64824
2020-09-09,36.51591
2020-09-10,30.15075
2020-09-11,28.3082
2020-09-12,16.0804
2020-09-13,19.26298
2020-09-14,25.79564
2020-09-15,28.3082
2020-09-16,23.78559
2020-09-17,21.77554
2020-09-18,24.45561
2020-09-19,16.41541
2020-09-20,12.2278
2020-09-21,27.47068
2020-09-22,26.46566
2020-09-23,27.80569
2020-09-24,26.13065
2020-09-25,25.62814
2020-09-26,13.73534
2020-09-27,15.07537
2020-09-28,23.61809
2020-09-29,20.268
2020-09-30,11.05527
2020-10-01,10.05025
2020-10-02,9.38023
2020-10-03,10.55276
2020-10-04,13.40033
2020-10-05,31.82579
2020-10-06,31.65829
2020-10-07,30.98827
2020-10-08,25.62814
2020-10-09,15.91289
2020-10-10,13.40033
2020-10-11,12.73031
2020-10-12,23.11557
2020-10-13,27.97319
2020-10-14,27.97319
2020-10-15,28.47571
2020-10-16,23.61809
2020-10-17,13.06532
2020-10-18,10.21775
2020-10-19,26.13065
2020-10-20,29.64824
2020-10-21,29.48073
2020-10-22,29.64824
2020-10-23,23.28308
2020-10-24,10.05025
2020-10-25,9.54773
2020-10-26,31.49078
2020-10-27,22.27805
2020-10-28,24.79061
2020-10-29,26.80067
2020-10-30,24.62311
2020-10-31,7.20268
2020-11-01,10.88777
2020-11-02,24.62311
2020-11-03,22.11055
2020-11-04,27.47068
2020-11-05,19.76549
2020-11-06,20.77051
2020-11-07,11.39028
2020-11-08,9.38023
2020-11-09,23.61809
2020-11-10,33.83584
2020-11-11,21.94304
2020-11-12,23.95309
2020-11-13,21.27303
2020-11-14,9.38023
2020-11-15,10.88777
2020-11-16,28.1407
2020-11-17,26.80067
2020-11-18,26.63316
2020-11-19,27.97319
2020-11-20,22.11055
