date,급등주
2020-03-20,19.57478
2020-03-21,12.46334
2020-03-22,12.02346
2020-03-23,28.81231
2020-03-24,38.78299
2020-03-25,45.2346
2020-03-26,54.91202
2020-03-27,44.35483
2020-03-28,16.20234
2020-03-29,19.42815
2020-03-30,48.09384
2020-03-31,55.8651
2020-04-01,57.69794
2020-04-02,50.95307
2020-04-03,43.32844
2020-04-04,12.68328
2020-04-05,12.31671
2020-04-06,41.42228
2020-04-07,49.78005
2020-04-08,46.62756
2020-04-09,47.14076
2020-04-10,38.70967
2020-04-11,13.12316
2020-04-12,12.31671
2020-04-13,36.80351
2020-04-14,34.01759
2020-04-15,13.19648
2020-04-16,33.13782
2020-04-17,35.41055
2020-04-18,14.88269
2020-04-19,13.63636
2020-04-20,30.71847
2020-04-21,31.67155
2020-04-22,32.33137
2020-04-23,38.56304
2020-04-24,28.29912
2020-04-25,12.31671
2020-04-26,11.87683
2020-04-27,31.81818
2020-04-28,34.75073
2020-04-29,29.32551
2020-04-30,12.31671
2020-05-01,10.04398
2020-05-02,4.47214
2020-05-03,5.57184
2020-05-04,24.63343
2020-05-05,11.7302
2020-05-06,28.44574
2020-05-07,25.95307
2020-05-08,23.60703
2020-05-09,8.87096
2020-05-10,7.77126
2020-05-11,23.68035
2020-05-12,20.67448
2020-05-13,17.88856
2020-05-14,19.20821
2020-05-15,17.74193
2020-05-16,7.03812
2020-05-17,8.50439
2020-05-18,21.92082
2020-05-19,24.12023
2020-05-20,22.28739
2020-05-21,26.24633
2020-05-22,18.6217
2020-05-23,8.06451
2020-05-24,8.13782
2020-05-25,23.16715
2020-05-26,24.70674
2020-05-27,26.17302
2020-05-28,23.90029
2020-05-29,18.03519
2020-05-30,7.62463
2020-05-31,6.81818
2020-06-01,22.21407
2020-06-02,21.55425
2020-06-03,23.9736
2020-06-04,24.04692
2020-06-05,27.05278
2020-06-06,9.97067
2020-06-07,10.92375
2020-06-08,25.95307
2020-06-09,29.47214
2020-06-10,30.05865
2020-06-11,25.73313
2020-06-12,17.66862
2020-06-13,7.91788
2020-06-14,7.18475
2020-06-15,17.52199
2020-06-16,18.91495
2020-06-17,22.8739
2020-06-18,26.39296
2020-06-19,20.16129
2020-06-20,7.69794
2020-06-21,6.9648
2020-06-22,20.60117
2020-06-23,24.04692
2020-06-24,26.90615
2020-06-25,19.06158
2020-06-26,20.96774
2020-06-27,7.84457
2020-06-28,7.55131
2020-06-29,20.2346
2020-06-30,22.3607
2020-07-01,22.21407
2020-07-02,20.60117
2020-07-03,21.11436
2020-07-04,6.30498
2020-07-05,8.21114
2020-07-06,21.40762
2020-07-07,24.4868
2020-07-08,26.02639
2020-07-09,26.02639
2020-07-10,24.12023
2020-07-11,9.67741
2020-07-12,10.26392
2020-07-13,25.0
2020-07-14,27.27272
2020-07-15,27.78592
2020-07-16,25.07331
2020-07-17,21.62756
2020-07-18,6.9648
2020-07-19,10.70381
2020-07-20,25.21994
2020-07-21,30.64516
2020-07-22,33.13782
2020-07-23,26.97947
2020-07-24,23.90029
2020-07-25,9.75073
2020-07-26,9.38416
2020-07-27,34.82404
2020-07-28,31.9648
2020-07-29,28.59237
2020-07-30,25.95307
2020-07-31,20.60117
2020-08-01,8.06451
2020-08-02,9.23753
2020-08-03,30.64516
2020-08-04,33.13782
2020-08-05,28.51906
2020-08-06,27.85923
2020-08-07,25.0
2020-08-08,9.75073
2020-08-09,11.217
2020-08-10,32.84457
2020-08-11,35.63049
2020-08-12,28.81231
2020-08-13,27.41935
2020-08-14,23.38709
2020-08-15,9.6041
2020-08-16,7.62463
2020-08-17,10.33724
2020-08-18,24.34017
2020-08-19,23.9736
2020-08-20,25.80645
2020-08-21,24.19354
2020-08-22,9.16422
2020-08-23,10.04398
2020-08-24,32.25806
2020-08-25,35.04398
2020-08-26,38.63636
2020-08-27,41.71554
2020-08-28,29.10557
2020-08-29,10.04398
2020-08-30,12.82991
2020-08-31,37.17008
2020-09-01,39.51612
2020-09-02,38.56304
2020-09-03,38.26979
2020-09-04,27.12609
2020-09-05,12.09677
2020-09-06,11.95014
2020-09-07,41.86217
2020-09-08,43.25513
2020-09-09,42.08211
2020-09-10,43.91495
2020-09-11,37.46334
2020-09-12,14.44281
2020-09-13,14.73607
2020-09-14,38.48973
2020-09-15,46.33431
2020-09-16,44.79472
2020-09-17,41.64222
2020-09-18,34.01759
2020-09-19,11.7302
2020-09-20,11.87683
2020-09-21,36.58357
2020-09-22,31.52492
2020-09-23,33.21114
2020-09-24,35.04398
2020-09-25,31.45161
2020-09-26,10.48387
2020-09-27,9.82404
2020-09-28,32.25806
2020-09-29,29.98533
2020-09-30,8.72434
2020-10-01,6.01173
2020-10-02,7.33137
2020-10-03,6.37829
2020-10-04,7.62463
2020-10-05,30.13196
2020-10-06,31.45161
2020-10-07,32.62463
2020-10-08,35.26392
2020-10-09,10.41055
2020-10-10,8.57771
2020-10-11,8.50439
2020-10-12,34.31085
2020-10-13,36.7302
2020-10-14,32.478
2020-10-15,25.51319
2020-10-16,24.19354
2020-10-17,7.55131
2020-10-18,9.23753
2020-10-19,26.46627
2020-10-20,26.83284
2020-10-21,26.39296
2020-10-22,26.97947
2020-10-23,22.06744
2020-10-24,7.03812
2020-10-25,6.59824
2020-10-26,25.43988
2020-10-27,25.58651
2020-10-28,24.34017
2020-10-29,21.62756
2020-10-30,18.6217
2020-10-31,6.9648
2020-11-01,6.23167
2020-11-02,20.45454
2020-11-03,22.72727
2020-11-04,21.92082
2020-11-05,23.31378
2020-11-06,27.27272
2020-11-07,8.57771
2020-11-08,9.97067
2020-11-09,28.44574
2020-11-10,34.6041
2020-11-11,34.01759
2020-11-12,37.97653
2020-11-13,31.81818
2020-11-14,10.41055
2020-11-15,10.1173
2020-11-16,36.65689
2020-11-17,43.1085
2020-11-18,36.14369
2020-11-19,41.4956
2020-11-20,35.26392
2020-11-21,13.3431
2020-11-22,10.04398
2020-11-23,40.24926
2020-11-24,38.04985
2020-11-25,37.82991
2020-11-26,36.58357
2020-11-27,31.01173
2020-11-28,15.17595
2020-11-29,11.65689
2020-11-30,37.46334
2020-12-01,37.60997
2020-12-02,39.66275
2020-12-03,38.8563
2020-12-04,42.15542
2020-12-05,16.27565
2020-12-06,14.95601
2020-12-07,41.27565
2020-12-08,42.5953
2020-12-09,46.92082
2020-12-10,43.18181
2020-12-11,39.95601
2020-12-12,16.20234
2020-12-13,16.34897
2020-12-14,44.7214
2020-12-15,47.80058
2020-12-16,49.4868
2020-12-17,47.43401
2020-12-18,49.56011
2020-12-19,18.84164
2020-12-20,19.86803
2020-12-21,56.01173
2020-12-22,55.49853
2020-12-23,45.67448
2020-12-24,43.40175
2020-12-25,14.3695
2020-12-26,10.41055
2020-12-27,13.92961
2020-12-28,47.94721
2020-12-29,44.79472
2020-12-30,44.20821
2020-12-31,13.92961
