date,크립토
2020-03-20,0.44308
2020-03-21,0.37491
2020-03-22,0.48852
2020-03-23,0.57941
2020-03-24,0.6703
2020-03-25,0.47716
2020-03-26,0.63621
2020-03-27,0.45444
2020-03-28,0.27266
2020-03-29,0.39763
2020-03-30,0.32947
2020-03-31,0.38627
2020-04-01,0.4658
2020-04-02,0.34083
2020-04-03,0.44308
2020-04-04,0.4658
2020-04-05,0.3181
2020-04-06,0.53396
2020-04-07,0.39763
2020-04-08,0.37491
2020-04-09,0.55669
2020-04-10,0.4658
2020-04-11,0.62485
2020-04-12,0.34083
2020-04-13,0.37491
2020-04-14,0.30674
2020-04-15,0.29538
2020-04-16,0.45444
2020-04-17,0.48852
2020-04-18,0.30674
2020-04-19,0.27266
2020-04-20,0.34083
2020-04-21,0.39763
2020-04-22,0.42035
2020-04-23,0.63621
2020-04-24,0.54533
2020-04-25,0.2613
2020-04-26,0.23858
2020-04-27,0.5226
2020-04-28,0.2613
2020-04-29,0.34083
2020-04-30,0.43172
2020-05-01,0.22722
2020-05-02,0.17041
2020-05-03,0.27266
2020-05-04,0.39763
2020-05-05,0.27266
2020-05-06,0.36355
2020-05-07,0.43172
2020-05-08,0.3181
2020-05-09,0.38627
2020-05-10,0.24994
2020-05-11,0.51124
2020-05-12,0.51124
2020-05-13,0.45444
2020-05-14,0.35219
2020-05-15,0.30674
2020-05-16,0.21586
2020-05-17,0.11361
2020-05-18,0.32947
2020-05-19,0.42035
2020-05-20,0.39763
2020-05-21,0.38627
2020-05-22,0.42035
2020-05-23,0.20449
2020-05-24,0.36355
2020-05-25,0.47716
2020-05-26,0.63621
2020-05-27,0.35219
2020-05-28,0.5226
2020-05-29,0.48852
2020-05-30,0.45444
2020-05-31,0.47716
2020-06-01,0.51124
2020-06-02,0.68166
2020-06-03,0.85207
2020-06-04,0.64758
2020-06-05,0.59077
2020-06-06,0.49988
2020-06-07,0.37491
2020-06-08,0.54533
2020-06-09,0.48852
2020-06-10,0.62485
2020-06-11,0.32947
2020-06-12,0.32947
2020-06-13,0.27266
2020-06-14,0.18177
2020-06-15,0.43172
2020-06-16,0.54533
2020-06-17,0.48852
2020-06-18,0.37491
2020-06-19,0.38627
2020-06-20,0.23858
2020-06-21,0.4658
2020-06-22,0.48852
2020-06-23,0.44308
2020-06-24,0.45444
