date,오늘증시
2020-03-20,20.91683
2020-03-21,2.74706
2020-03-22,1.26123
2020-03-23,19.21216
2020-03-24,20.36397
2020-03-25,17.93941
2020-03-26,18.97028
2020-03-27,17.06404
2020-03-28,2.5167
2020-03-29,1.14604
2020-03-30,16.52844
2020-03-31,13.8217
2020-04-01,16.24625
2020-04-02,15.99285
2020-04-03,12.89449
2020-04-04,1.77954
2020-04-05,0.80626
2020-04-06,12.83114
2020-04-07,12.66989
2020-04-08,11.86938
2020-04-09,10.57935
2020-04-10,11.46625
2020-04-11,1.5319
2020-04-12,0.92144
2020-04-13,12.91177
2020-04-14,9.06473
2020-04-15,8.90347
2020-04-16,10.27413
2020-04-17,10.0668
2020-04-18,1.5607
2020-04-19,0.73139
2020-04-20,10.06104
2020-04-21,13.67196
2020-04-22,11.78299
2020-04-23,9.80188
2020-04-24,10.70029
2020-04-25,1.42824
2020-04-26,0.61621
2020-04-27,8.7307
2020-04-28,9.082
2020-04-29,8.59824
2020-04-30,3.02925
2020-05-01,10.75788
2020-05-02,0.96751
2020-05-03,0.46648
2020-05-04,10.34899
2020-05-05,1.76802
2020-05-06,8.26422
2020-05-07,7.17
2020-05-08,6.24856
2020-05-09,0.82354
2020-05-10,0.3513
2020-05-11,7.17576
2020-05-12,7.28518
2020-05-13,7.06058
2020-05-14,7.1988
2020-05-15,6.74959
2020-05-16,0.72563
2020-05-17,0.29371
2020-05-18,6.12186
2020-05-19,6.71504
2020-05-20,6.70352
2020-05-21,6.53075
2020-05-22,7.25063
2020-05-23,0.96751
2020-05-24,0.40889
2020-05-25,6.23704
2020-05-26,6.7208
2020-05-27,7.14121
2020-05-28,9.17415
2020-05-29,7.14121
2020-05-30,0.66804
2020-05-31,0.21884
2020-06-01,6.45588
2020-06-02,6.38101
2020-06-03,7.49251
2020-06-04,7.44068
2020-06-05,6.1161
2020-06-06,0.78322
2020-06-07,0.3225
2020-06-08,6.93388
2020-06-09,7.04906
2020-06-10,6.40405
2020-06-11,7.89564
2020-06-12,10.55632
2020-06-13,0.95024
2020-06-14,0.43192
2020-06-15,18.33678
2020-06-16,11.44321
2020-06-17,10.42386
2020-06-18,7.41188
2020-06-19,6.12186
2020-06-20,0.66228
2020-06-21,0.27067
2020-06-22,6.62289
2020-06-23,6.55954
2020-06-24,5.81087
2020-06-25,8.21815
2020-06-26,6.33494
2020-06-27,0.84082
2020-06-28,0.38009
2020-06-29,8.28726
2020-06-30,6.55954
2020-07-01,6.39253
2020-07-02,5.2868
2020-07-03,5.1601
2020-07-04,0.69684
2020-07-05,0.28219
2020-07-06,6.23704
2020-07-07,7.44068
2020-07-08,6.46164
2020-07-09,5.96636
2020-07-10,5.8627
2020-07-11,0.78898
2020-07-12,0.28795
2020-07-13,5.42501
2020-07-14,6.70352
2020-07-15,6.07002
2020-07-16,6.91085
2020-07-17,6.25431
2020-07-18,0.72563
2020-07-19,0.26491
2020-07-20,6.12186
2020-07-21,6.19096
2020-07-22,6.54803
2020-07-23,6.69776
2020-07-24,6.80142
2020-07-25,0.73139
2020-07-26,0.27643
2020-07-27,5.41349
2020-07-28,6.27735
2020-07-29,6.5941
2020-07-30,5.736
2020-07-31,5.75904
2020-08-01,0.66804
2020-08-02,0.37433
2020-08-03,5.45381
2020-08-04,5.77631
2020-08-05,5.99516
2020-08-06,6.16793
2020-08-07,7.44644
2020-08-08,0.75443
2020-08-09,0.37433
2020-08-10,6.3695
2020-08-11,6.35798
2020-08-12,8.56369
2020-08-13,6.64017
2020-08-14,9.57728
2020-08-15,0.93296
2020-08-16,0.38009
2020-08-17,14.61644
2020-08-18,11.84058
2020-08-19,7.49251
2020-08-20,12.38193
2020-08-21,9.24902
2020-08-22,0.97903
2020-08-23,0.3513
2020-08-24,6.59986
2020-08-25,6.26007
2020-08-26,7.34277
2020-08-27,7.60193
2020-08-28,6.92236
2020-08-29,0.89265
2020-08-30,0.31674
2020-08-31,7.14697
2020-09-01,6.12762
2020-09-02,6.3407
2020-09-03,6.06427
2020-09-04,9.69246
2020-09-05,1.14604
2020-09-06,0.31674
2020-09-07,6.73231
2020-09-08,7.68832
2020-09-09,8.30453
2020-09-10,6.93388
2020-09-11,6.58258
2020-09-12,0.88689
2020-09-13,0.38009
2020-09-14,5.83966
2020-09-15,6.61137
2020-09-16,7.02603
2020-09-17,8.2815
2020-09-18,6.68048
2020-09-19,0.92144
2020-09-20,0.41465
2020-09-21,8.8862
2020-09-22,12.03063
2020-09-23,8.82861
2020-09-24,12.78507
2020-09-25,8.14328
2020-09-26,1.06542
2020-09-27,0.3513
2020-09-28,6.26007
2020-09-29,6.04699
2020-09-30,1.62404
2020-10-01,0.8005
2020-10-02,1.12301
2020-10-03,0.81778
2020-10-04,0.39737
2020-10-05,6.40405
2020-10-06,6.1161
2020-10-07,6.13337
2020-10-08,5.92029
2020-10-09,2.01566
2020-10-10,0.63349
2020-10-11,0.33978
2020-10-12,5.59778
2020-10-13,6.67472
2020-10-14,7.30246
2020-10-15,8.70767
2020-10-16,7.86109
2020-10-17,0.87537
2020-10-18,0.31674
2020-10-19,6.50771
2020-10-20,7.11817
2020-10-21,5.80511
2020-10-22,6.4674
2020-10-23,5.81087
2020-10-24,0.74291
2020-10-25,0.33402
2020-10-26,7.45219
2020-10-27,6.16793
2020-10-28,5.82239
2020-10-29,6.96844
2020-10-30,8.22391
2020-10-31,0.9272
2020-11-01,0.43192
2020-11-02,5.82239
2020-11-03,5.37318
2020-11-04,5.85118
2020-11-05,5.95484
2020-11-06,6.50771
2020-11-07,0.86961
2020-11-08,0.42616
2020-11-09,5.97788
2020-11-10,7.48675
2020-11-11,6.87053
2020-11-12,6.35222
2020-11-13,6.28887
2020-11-14,0.78322
2020-11-15,0.38009
2020-11-16,6.04123
2020-11-17,7.06058
2020-11-18,6.01819
2020-11-19,6.23128
2020-11-20,5.60354
2020-11-21,0.75443
2020-11-22,0.4492
2020-11-23,5.97788
2020-11-24,6.40405
2020-11-25,8.7595
2020-11-26,6.88781
2020-11-27,6.01819
2020-11-28,0.69684
2020-11-29,0.39161
2020-11-30,7.17
2020-12-01,6.4674
2020-12-02,6.9166
2020-12-03,100.0
2020-12-04,7.18152
2020-12-05,0.92144
2020-12-06,0.43192
2020-12-07,7.84381
2020-12-08,9.62335
2020-12-09,7.87836
2020-12-10,8.06841
2020-12-11,6.90509
2020-12-12,0.89841
2020-12-13,0.43192
2020-12-14,7.38885
2020-12-15,7.49251
2020-12-16,6.99723
2020-12-17,7.14121
2020-12-18,6.45012
2020-12-19,0.73139
2020-12-20,0.25915
2020-12-21,6.4386
2020-12-22,10.7982
2020-12-23,8.38516
2020-12-24,7.33126
2020-12-25,1.86017
2020-12-26,0.63349
2020-12-27,0.32826
2020-12-28,6.61713
2020-12-29,7.41188
2020-12-30,8.52338
2020-12-31,13.1882
2021-01-01,0.59894
2021-01-02,0.40313
2021-01-03,0.3225
2021-01-04,15.91799
2021-01-05,9.63487
2021-01-06,11.13222
2021-01-07,10.28564
2021-01-08,11.25316
2021-01-09,1.3073
2021-01-10,0.68532
2021-01-11,16.16563
2021-01-12,16.1829
2021-01-13,13.74107
2021-01-14,12.09974
2021-01-15,15.17507
2021-01-16,1.42248
2021-01-17,0.70836
2021-01-18,16.48237
2021-01-19,13.83897
2021-01-20,12.04215
2021-01-21,11.55263
2021-01-22,12.01912
2021-01-23,1.47431
2021-01-24,0.70836
2021-01-25,10.2914
2021-01-26,14.71435
2021-01-27,13.63165
2021-01-28,18.31951
2021-01-29,22.63879
2021-01-30,2.21723
2021-01-31,0.75443
2021-02-01,15.69338
2021-02-02,13.30338
2021-02-03,12.34162
2021-02-04,13.695
2021-02-05,12.25524
2021-02-06,1.58949
2021-02-07,0.69108
2021-02-08,11.48928
2021-02-09,10.59663
2021-02-10,10.58511
2021-02-11,2.0099
2021-02-12,0.96751
2021-02-13,0.90992
2021-02-14,0.73139
2021-02-15,10.27413
2021-02-16,10.66574
2021-02-17,12.15733
2021-02-18,13.63165
2021-02-19,12.71596
2021-02-20,1.38792
2021-02-21,0.77747
2021-02-22,12.07095
2021-02-23,12.28979
2021-02-24,19.21792
2021-02-25,13.98871
2021-02-26,17.44989
2021-02-27,1.81409
2021-02-28,0.66228
2021-03-01,2.25178
2021-03-02,12.76779
2021-03-03,11.7254
2021-03-04,13.15365
2021-03-05,13.04998
2021-03-06,1.55494
2021-03-07,0.7026
2021-03-08,13.06726
2021-03-09,14.19027
2021-03-10,14.95047
2021-03-11,11.93273
2021-03-12,10.37779
2021-03-13,1.38792
2021-03-14,0.5471
2021-03-15,10.06104
2021-03-16,9.15687
2021-03-17,9.48514
2021-03-18,8.82861
2021-03-19,9.43331
2021-03-20,1.25547
2021-03-21,0.61045
2021-03-22,9.12232
2021-03-23,10.4469
