date,나무증권
2020-03-20,6.78487
2020-03-21,2.84376
2020-03-22,2.84376
2020-03-23,6.51053
2020-03-24,6.29307
2020-03-25,8.36734
2020-03-26,7.84208
2020-03-27,8.1733
2020-03-28,3.05787
2020-03-29,2.88056
2020-03-30,5.52358
2020-03-31,5.57042
2020-04-01,4.88457
2020-04-02,4.05152
2020-04-03,3.70357
2020-04-04,2.091
2020-04-05,1.68952
2020-04-06,4.17865
2020-04-07,4.23887
2020-04-08,4.08163
2020-04-09,3.90431
2020-04-10,3.48277
2020-04-11,1.9371
2020-04-12,1.73636
2020-04-13,3.36901
2020-04-14,2.82703
2020-04-15,1.95048
2020-04-16,2.98093
2020-04-17,3.2285
2020-04-18,1.80662
2020-04-19,1.72632
2020-04-20,3.18835
2020-04-21,3.25526
2020-04-22,3.30879
2020-04-23,3.32552
2020-04-24,2.97423
2020-04-25,1.53897
2020-04-26,1.51221
2020-04-27,2.80026
2020-04-28,2.65975
2020-04-29,2.70659
2020-04-30,1.69621
2020-05-01,1.39511
2020-05-02,0.94011
2020-05-03,1.10739
2020-05-04,2.76012
2020-05-05,1.16761
2020-05-06,2.40883
2020-05-07,2.63967
2020-05-08,2.33522
2020-05-09,1.34158
2020-05-10,1.16426
2020-05-11,2.41217
2020-05-12,2.84041
2020-05-13,3.02776
2020-05-14,2.72666
2020-05-15,2.65975
2020-05-16,1.20441
2020-05-17,1.41853
2020-05-18,2.87387
2020-05-19,3.58982
2020-05-20,3.46938
2020-05-21,3.05118
2020-05-22,2.74339
2020-05-23,1.20776
2020-05-24,1.33824
2020-05-25,3.17832
2020-05-26,4.30578
2020-05-27,4.637
2020-05-28,4.63365
2020-05-29,3.36567
2020-05-30,1.63265
2020-05-31,1.56908
2020-06-01,3.456
2020-06-02,3.61993
2020-06-03,4.46637
2020-06-04,3.88424
2020-06-05,3.50953
2020-06-06,1.76982
2020-06-07,1.74974
2020-06-08,3.74707
2020-06-09,3.63332
2020-06-10,3.36901
2020-06-11,3.18166
2020-06-12,3.22181
2020-06-13,1.37169
2020-06-14,1.19437
2020-06-15,2.91736
2020-06-16,2.6932
2020-06-17,2.45232
2020-06-18,2.15791
2020-06-19,2.23151
2020-06-20,0.84978
2020-06-21,1.14084
2020-06-22,2.66309
2020-06-23,3.11809
2020-06-24,2.74673
2020-06-25,1.90364
2020-06-26,1.94379
2020-06-27,0.79625
2020-06-28,0.88323
2020-06-29,1.79658
2020-06-30,1.6661
2020-07-01,1.73636
2020-07-02,1.99063
2020-07-03,1.7832
2020-07-04,0.67915
2020-07-05,0.92004
2020-07-06,1.84342
2020-07-07,2.17129
2020-07-08,1.95717
2020-07-09,1.97724
2020-07-10,1.94379
2020-07-11,0.91669
2020-07-12,1.08062
2020-07-13,2.53596
2020-07-14,2.15456
2020-07-15,1.95383
2020-07-16,4.47641
2020-07-17,1.72632
2020-07-18,0.82636
2020-07-19,0.79959
2020-07-20,2.10438
2020-07-21,2.32184
2020-07-22,2.38541
2020-07-23,2.24155
2020-07-24,1.99732
2020-07-25,0.80963
2020-07-26,1.01706
2020-07-27,2.32853
2020-07-28,2.23151
2020-07-29,2.15122
2020-07-30,2.25828
2020-07-31,2.18467
2020-08-01,1.11743
2020-08-02,1.22783
2020-08-03,2.57276
2020-08-04,2.51254
