date,한국ANKOR유전
2020-03-20,0.37349
2020-03-21,0.15562
2020-03-22,0.07114
2020-03-23,0.33348
2020-03-24,0.35571
2020-03-25,0.32458
2020-03-26,0.38683
2020-03-27,0.41351
2020-03-28,0.10671
2020-03-29,0.07558
2020-03-30,0.26233
2020-03-31,0.32458
2020-04-01,0.39573
2020-04-02,0.27567
2020-04-03,0.3068
2020-04-04,0.0578
2020-04-05,0.13783
2020-04-06,0.27123
2020-04-07,0.33348
2020-04-08,0.29346
2020-04-09,0.31569
2020-04-10,0.28457
2020-04-11,0.08448
2020-04-12,0.09337
2020-04-13,0.32014
2020-04-14,0.28901
2020-04-15,0.09782
2020-04-16,0.2401
2020-04-17,0.32903
2020-04-18,0.13783
2020-04-19,0.1156
2020-04-20,0.26678
2020-04-21,0.35126
2020-04-22,0.44464
2020-04-23,0.40462
2020-04-24,0.38239
2020-04-25,0.08448
2020-04-26,0.12005
2020-04-27,0.31569
2020-04-28,0.40017
2020-04-29,0.32903
2020-04-30,0.07114
2020-05-01,0.05335
2020-05-02,0.06224
2020-05-03,0.0578
2020-05-04,0.28457
2020-05-05,0.16896
2020-05-06,0.35126
2020-05-07,0.27567
2020-05-08,0.19119
2020-05-09,0.04446
2020-05-10,0.06669
2020-05-11,0.22232
2020-05-12,0.28901
2020-05-13,0.20008
2020-05-14,0.20453
2020-05-15,0.2401
2020-05-16,0.06669
2020-05-17,0.06224
2020-05-18,0.19119
2020-05-19,0.27123
2020-05-20,0.31569
2020-05-21,0.24455
2020-05-22,0.19564
2020-05-23,0.06224
2020-05-24,0.04446
2020-05-25,0.23566
2020-05-26,0.22232
2020-05-27,0.20898
2020-05-28,0.20898
2020-05-29,0.18674
2020-05-30,0.07558
2020-05-31,0.04446
2020-06-01,0.20453
2020-06-02,0.2401
2020-06-03,0.27123
2020-06-04,0.1823
2020-06-05,0.18674
2020-06-06,0.0578
2020-06-07,0.09337
2020-06-08,0.22232
2020-06-09,0.25789
2020-06-10,0.14228
2020-06-11,0.16007
2020-06-12,0.18674
2020-06-13,0.08892
2020-06-14,0.05335
2020-06-15,0.21787
2020-06-16,0.28901
2020-06-17,0.16007
2020-06-18,0.17785
2020-06-19,0.24899
2020-06-20,0.03112
2020-06-21,0.03557
2020-06-22,0.10671
2020-06-23,0.16896
2020-06-24,0.16007
2020-06-25,0.15562
2020-06-26,0.16007
2020-06-27,0.08003
2020-06-28,0.02223
2020-06-29,0.15117
2020-06-30,0.16007
2020-07-01,0.14673
2020-07-02,0.14673
2020-07-03,0.12449
2020-07-04,0.04001
2020-07-05,0.02667
2020-07-06,0.15117
2020-07-07,0.21787
2020-07-08,0.12005
