date,보험
2020-03-20,59.54465
2020-03-21,40.70052
2020-03-22,36.007
2020-03-23,67.46059
2020-03-24,96.42732
2020-03-25,100.0
2020-03-26,79.75481
2020-03-27,65.0788
2020-03-28,39.92994
2020-03-29,40.38528
2020-03-30,78.17863
2020-03-31,73.41506
2020-04-01,66.72504
2020-04-02,63.36252
2020-04-03,59.26444
2020-04-04,33.66024
2020-04-05,35.02626
2020-04-06,70.01751
2020-04-07,66.90017
2020-04-08,67.70577
2020-04-09,63.29246
2020-04-10,63.50262
2020-04-11,32.99474
2020-04-12,35.13134
2020-04-13,64.37828
2020-04-14,55.13134
2020-04-15,35.69176
2020-04-16,55.8669
2020-04-17,53.73029
2020-04-18,31.59369
2020-04-19,35.16637
2020-04-20,64.2732
2020-04-21,63.08231
2020-04-22,61.08581
2020-04-23,59.19439
2020-04-24,51.66374
2020-04-25,32.85464
2020-04-26,32.22416
2020-04-27,60.87565
2020-04-28,57.96847
2020-04-29,51.59369
2020-04-30,31.69877
2020-05-01,34.81611
2020-05-02,26.58493
2020-05-03,29.98248
2020-05-04,54.60595
2020-05-05,33.66024
2020-05-06,60.17513
2020-05-07,55.79684
2020-05-08,49.45709
2020-05-09,32.25919
2020-05-10,32.39929
2020-05-11,60.52539
2020-05-12,58.17863
2020-05-13,55.41155
2020-05-14,57.12784
2020-05-15,51.2084
2020-05-16,30.12259
2020-05-17,30.47285
2020-05-18,60.98073
2020-05-19,62.34676
2020-05-20,55.8669
2020-05-21,54.99124
2020-05-22,49.38704
2020-05-23,29.10683
2020-05-24,31.27845
2020-05-25,58.56392
2020-05-26,58.63397
2020-05-27,55.23642
2020-05-28,59.05429
2020-05-29,49.17688
2020-05-30,29.77232
2020-05-31,31.31348
2020-06-01,57.12784
2020-06-02,56.91768
2020-06-03,60.70052
2020-06-04,55.3415
2020-06-05,47.91593
2020-06-06,28.65148
2020-06-07,30.68301
2020-06-08,59.05429
2020-06-09,55.83187
2020-06-10,58.91418
2020-06-11,54.92119
2020-06-12,51.8739
2020-06-13,28.5464
2020-06-14,31.59369
2020-06-15,55.90192
2020-06-16,56.25218
2020-06-17,59.15936
2020-06-18,56.88266
2020-06-19,47.00525
2020-06-20,28.89667
2020-06-21,28.72154
2020-06-22,58.42381
2020-06-23,57.44308
2020-06-24,55.06129
2020-06-25,57.44308
2020-06-26,47.77583
2020-06-27,27.14535
2020-06-28,29.59719
2020-06-29,58.77408
2020-06-30,49.42206
2020-07-01,47.95096
2020-07-02,51.45359
2020-07-03,48.72154
2020-07-04,30.50788
2020-07-05,29.66725
2020-07-06,56.56742
2020-07-07,61.64623
2020-07-08,53.73029
2020-07-09,56.60245
2020-07-10,48.72154
2020-07-11,29.31698
2020-07-12,31.45359
2020-07-13,58.98423
2020-07-14,59.75481
2020-07-15,53.97548
2020-07-16,52.50437
2020-07-17,46.23467
2020-07-18,28.37127
2020-07-19,26.4098
2020-07-20,57.51313
2020-07-21,56.21716
2020-07-22,55.3415
2020-07-23,54.25569
2020-07-24,53.8704
2020-07-25,29.42206
2020-07-26,29.0718
2020-07-27,58.45884
2020-07-28,53.55516
2020-07-29,51.66374
2020-07-30,52.50437
2020-07-31,45.88441
2020-08-01,26.47985
2020-08-02,26.54991
2020-08-03,53.30998
2020-08-04,52.71453
2020-08-05,56.28721
2020-08-06,51.8739
2020-08-07,47.91593
2020-08-08,27.98598
2020-08-09,27.25043
2020-08-10,71.80385
2020-08-11,77.30297
2020-08-12,65.00875
2020-08-13,57.44308
2020-08-14,52.22416
2020-08-15,30.08756
2020-08-16,28.86164
2020-08-17,38.07355
2020-08-18,54.08056
2020-08-19,56.007
2020-08-20,50.92819
2020-08-21,48.93169
2020-08-22,29.91243
2020-08-23,28.51138
2020-08-24,61.15586
2020-08-25,68.26619
2020-08-26,55.2014
2020-08-27,56.007
2020-08-28,49.8774
2020-08-29,36.91768
2020-08-30,43.04728
2020-08-31,67.63572
2020-09-01,59.92994
2020-09-02,55.06129
2020-09-03,52.88966
2020-09-04,50.22767
2020-09-05,30.26269
2020-09-06,29.91243
2020-09-07,60.17513
2020-09-08,55.06129
2020-09-09,56.39229
2020-09-10,61.05078
2020-09-11,49.8774
2020-09-12,30.15761
2020-09-13,33.09982
2020-09-14,61.40105
2020-09-15,59.43957
2020-09-16,60.98073
2020-09-17,57.37302
2020-09-18,50.89316
2020-09-19,31.94395
2020-09-20,27.56567
2020-09-21,54.08056
2020-09-22,60.28021
2020-09-23,59.68476
2020-09-24,56.07705
2020-09-25,50.19264
2020-09-26,27.42556
2020-09-27,30.29772
2020-09-28,52.64448
2020-09-29,43.08231
2020-09-30,24.37828
2020-10-01,21.40105
2020-10-02,23.57267
2020-10-03,26.44483
2020-10-04,30.43782
2020-10-05,60.84063
2020-10-06,57.05779
2020-10-07,59.08931
2020-10-08,54.88616
2020-10-09,31.55866
2020-10-10,28.09106
2020-10-11,28.37127
2020-10-12,66.2697
2020-10-13,60.31523
2020-10-14,58.87915
2020-10-15,54.676
2020-10-16,55.76182
2020-10-17,28.82661
2020-10-18,28.89667
2020-10-19,60.59544
2020-10-20,63.81786
2020-10-21,59.22942
2020-10-22,55.16637
2020-10-23,49.03677
2020-10-24,26.61996
2020-10-25,29.03677
2020-10-26,57.30297
2020-10-27,63.08231
2020-10-28,57.65323
2020-10-29,57.44308
2020-10-30,47.00525
2020-10-31,26.76007
2020-11-01,29.8774
2020-11-02,62.06654
2020-11-03,54.11558
2020-11-04,49.56217
2020-11-05,48.02101
2020-11-06,45.28896
2020-11-07,28.26619
2020-11-08,25.42907
2020-11-09,58.56392
2020-11-10,56.6725
2020-11-11,49.91243
2020-11-12,50.99824
2020-11-13,49.84238
2020-11-14,25.84938
2020-11-15,27.6007
2020-11-16,56.74255
2020-11-17,53.13485
2020-11-18,54.74605
2020-11-19,54.74605
2020-11-20,46.44483
2020-11-21,28.51138
2020-11-22,31.38353
2020-11-23,56.53239
2020-11-24,55.83187
2020-11-25,53.66024
2020-11-26,52.64448
2020-11-27,46.97022
2020-11-28,28.96672
2020-11-29,30.68301
2020-11-30,60.52539
2020-12-01,53.27495
2020-12-02,54.0105
2020-12-03,56.28721
2020-12-04,49.66725
2020-12-05,30.4028
2020-12-06,31.10332
2020-12-07,60.10507
2020-12-08,55.44658
2020-12-09,62.10157
2020-12-10,70.75306
2020-12-11,59.78984
2020-12-12,30.99824
2020-12-13,33.45008
2020-12-14,60.38528
2020-12-15,60.63047
2020-12-16,62.83712
2020-12-17,55.37653
2020-12-18,51.55866
2020-12-19,29.52714
2020-12-20,30.99824
2020-12-21,55.55166
2020-12-22,58.31873
2020-12-23,60.0
2020-12-24,46.33975
2020-12-25,27.95096
2020-12-26,30.4028
2020-12-27,35.76182
2020-12-28,73.90542
2020-12-29,70.82311
2020-12-30,66.02451
2020-12-31,51.90893
2021-01-01,28.05604
2021-01-02,32.01401
2021-01-03,31.83887
2021-01-04,63.85288
2021-01-05,64.83362
2021-01-06,56.42732
2021-01-07,58.1436
2021-01-08,55.55166
2021-01-09,34.78108
2021-01-10,32.6795
2021-01-11,66.05954
2021-01-12,57.96847
2021-01-13,63.64273
2021-01-14,65.46409
2021-01-15,55.69176
2021-01-16,32.74956
2021-01-17,35.2014
2021-01-18,70.01751
2021-01-19,61.54115
2021-01-20,63.32749
2021-01-21,61.75131
2021-01-22,58.31873
2021-01-23,36.35726
2021-01-24,32.36427
2021-01-25,64.13309
2021-01-26,65.53415
2021-01-27,63.74781
2021-01-28,58.94921
2021-01-29,50.82311
2021-01-30,33.38003
2021-01-31,30.08756
2021-02-01,56.77758
2021-02-02,62.17162
2021-02-03,54.676
2021-02-04,53.73029
2021-02-05,48.30122
2021-02-06,30.61295
2021-02-07,29.7373
2021-02-08,53.97548
2021-02-09,48.61646
2021-02-10,44.09807
2021-02-11,27.00525
2021-02-12,26.05954
2021-02-13,25.67425
2021-02-14,31.83887
2021-02-15,63.92294
2021-02-16,64.06304
2021-02-17,64.86865
2021-02-18,59.92994
2021-02-19,56.6725
2021-02-20,32.50437
2021-02-21,30.36777
2021-02-22,63.99299
2021-02-23,69.31698
2021-02-24,62.06654
2021-02-25,58.03852
2021-02-26,44.97373
2021-02-27,25.18388
2021-02-28,25.70928
2021-03-01,30.89316
2021-03-02,59.64973
2021-03-03,51.97898
2021-03-04,46.79509
2021-03-05,42.31173
2021-03-06,25.21891
